rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.50530612244897,84.32,603787,新日股份,bottom_area,2026-04-21,12.74,17.11,2026-04-16,12.35,3.15789473684211,3.15789473684211,27.819988310929283,25.5406195207481,False,0.1572,2.0753,2,2,2,100.0,56.730295566502456,92.85714285714283,16.84210526315789,3.15789473684211,历史2/2次成功; 当前距低点3.16%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
2,91.46892874341056,79.51220603185361,001391,国货航,bottom_area,2026-04-21,5.32,7.73,2026-04-03,5.2,2.3076923076923097,3.4615384615384563,32.729624838292374,31.177231565329883,False,0.0,0.5352,1,1,1,100.0,30.39647577092513,30.39647577092513,17.69230769230769,2.3076923076923097,历史1/1次成功; 当前距低点2.31%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,83.13534530275244,74.05786435618164,603535,嘉诚国际,bottom_area,2026-04-21,8.24,11.77,2026-03-23,7.95,3.6477987421383653,8.553459119496862,32.4553950722175,29.99150382327952,True,-0.1212,0.561,1,1,1,100.0,30.778739184178,30.778739184178,16.352201257861637,3.6477987421383653,历史1/1次成功; 当前距低点3.65%; 最新日涨幅-0.12%; 状态bottom_area; 底部已确认
4,78.90687936505248,67.27165838083442,002045,国光电器,bottom_area,2026-04-21,11.39,16.38,2026-03-23,11.25,1.2444444444444496,7.111111111111118,31.318681318681314,30.463980463980455,True,-3.9629,4.8815,4,8,4,50.0,33.38167588262236,40.89958158995815,18.75555555555555,1.2444444444444496,历史4/8次成功; 当前距低点1.24%; 最新日涨幅-3.96%; 状态bottom_area; 底部已确认
5,75.28038341712988,68.36547144935055,001298,好上好,bottom_area,2026-04-21,21.81,30.62,2026-04-17,20.83,4.704752760441673,7.201152184349496,31.97256694970608,28.772044415414765,False,-0.2743,4.1179,3,4,3,75.0,26.490901844933123,34.86910994764398,15.295247239558329,4.704752760441673,历史3/4次成功; 当前距低点4.70%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
6,74.90957013485027,65.89267743343311,600121,郑州煤电,bottom_area,2026-04-21,4.18,5.69,2026-04-07,4.06,2.955665024630545,6.896551724137938,28.646748681898078,26.537785588752204,False,0.2398,3.1253,3,6,3,50.0,23.44942843865986,29.452054794520542,17.04433497536946,2.955665024630545,历史3/6次成功; 当前距低点2.96%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
7,74.1639902814416,67.077680062635,000966,长源电力,bottom_area,2026-04-21,4.43,5.95,2026-04-20,4.24,4.481132075471686,5.424528301886782,28.739495798319325,25.546218487394967,False,2.3095,2.8721,2,3,2,66.66666666666666,29.075239398084808,37.20930232558138,15.518867924528315,4.481132075471686,历史2/3次成功; 当前距低点4.48%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
8,67.87154535077406,61.86423845411602,002481,双塔食品,bottom_area,2026-04-21,4.49,6.06,2026-03-23,4.28,4.906542056074765,9.345794392523352,29.37293729372936,25.907590759075898,True,0.6726,0.9794,2,5,2,40.0,38.17824915035744,54.6583850931677,15.093457943925237,4.906542056074765,历史2/5次成功; 当前距低点4.91%; 最新日涨幅0.67%; 状态bottom_area; 底部已确认
9,67.52207084341292,60.94856111102015,600327,大东方,bottom_area,2026-04-21,3.82,5.38,2026-03-23,3.66,4.371584699453543,10.655737704918025,31.970260223048324,28.99628252788104,True,-0.2611,1.3196,2,4,2,50.0,27.5041625041625,33.030303030303024,15.628415300546457,4.371584699453543,历史2/4次成功; 当前距低点4.37%; 最新日涨幅-0.26%; 状态bottom_area; 底部已确认
10,67.2290624802914,60.07564141774273,001322,箭牌家居,bottom_area,2026-04-21,7.34,9.77,2026-04-07,7.07,3.8189533239038127,7.779349363507776,27.635619242579317,24.87205731832139,True,0.9629,1.1599,1,2,1,50.0,26.897069872276486,26.897069872276486,16.181046676096187,3.8189533239038127,历史1/2次成功; 当前距低点3.82%; 最新日涨幅0.96%; 状态bottom_area; 底部已确认
11,66.35616636616429,58.14904301464774,300760,迈瑞医疗,bottom_area,2026-04-21,158.85,214.12,2026-04-20,154.6,2.7490297542043987,4.663648124191467,27.79749673080516,25.812628432654588,False,0.4744,0.6598,1,3,1,33.33333333333333,32.06181462849697,32.06181462849697,17.250970245795603,2.7490297542043987,历史1/3次成功; 当前距低点2.75%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
12,62.69121337033984,53.023478699777925,000625,长安汽车,bottom_area,2026-04-21,9.96,13.84,2026-03-30,9.88,0.8097165991902842,4.554655870445337,28.612716763005775,28.03468208092485,False,-0.7968,0.6874,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,19.190283400809715,0.8097165991902842,历史1/3次成功; 当前距低点0.81%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
13,62.533009901311374,56.75041469190237,002036,联创电子,bottom_area,2026-04-21,8.97,11.85,2026-04-03,8.57,4.667444574095687,9.451575262543763,27.67932489451476,24.303797468354425,True,-1.5368,2.4988,2,6,2,33.33333333333333,44.67126337369466,67.13178294573642,15.332555425904316,4.667444574095687,历史2/6次成功; 当前距低点4.67%; 最新日涨幅-1.54%; 状态bottom_area; 底部已确认
14,60.81214224249517,54.60777532081937,300676,华大基因,bottom_area,2026-04-21,39.73,55.07,2026-03-23,38.17,4.0869793031176185,10.400838354728842,30.68821499909206,27.85545669148357,True,-1.561,1.0338,1,2,1,50.0,23.258538343696497,23.258538343696497,15.913020696882382,4.0869793031176185,历史1/2次成功; 当前距低点4.09%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
15,60.17834984633173,54.49672132034632,002605,姚记科技,bottom_area,2026-04-21,20.91,27.66,2026-03-23,20.0,4.550000000000001,7.2499999999999964,27.69342010122921,24.40347071583514,True,-0.0478,1.3374,2,6,2,33.33333333333333,31.11498917748918,39.01785714285715,15.45,4.550000000000001,历史2/6次成功; 当前距低点4.55%; 最新日涨幅-0.05%; 状态bottom_area; 底部已确认
16,59.4164370331117,54.061065573770506,002093,国脉科技,bottom_area,2026-04-21,9.59,12.83,2026-03-23,9.15,4.808743169398901,7.431693989071035,28.68277474668745,25.253312548713954,True,-1.641,1.0315,1,4,1,25.0,52.409638554216855,52.409638554216855,15.1912568306011,4.808743169398901,历史1/4次成功; 当前距低点4.81%; 最新日涨幅-1.64%; 状态bottom_area; 底部已确认
