rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.75879092450866,88.92267790029985,002246,北化股份,bottom_area,2025-01-24,9.28,2025-01-24,9.11,1.8660812294182212,1.9758507135016437,28.097868981846887,False,0.3243,1.2336,4,4,4,100.0,25.577113458996685,31.992687385740403,13.13391877058178,1.8660812294182212,历史4/4次成功; 当前距低点1.87%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
2,86.09356142813083,77.46403960175896,603682,锦和商管,bottom_area,2025-01-24,5.57,2025-01-24,5.47,1.8281535648994613,3.2906764168190237,29.961587708066578,False,-2.4518,5.2632,1,1,1,100.0,35.97972972972974,35.97972972972974,13.171846435100537,1.8281535648994613,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
3,84.9189715553189,77.74815728258515,002636,金安国纪,bottom_area,2025-01-24,8.56,2025-01-24,8.33,2.761104441776716,5.042016806722689,32.93075684380032,False,-6.4481,9.347,2,2,2,100.0,42.49180327868853,69.0,12.238895558223284,2.761104441776716,历史2/2次成功; 当前距低点2.76%; 最新日涨幅-6.45%; 状态bottom_area; 底部未确认
4,80.84280970830294,70.2980953985243,002848,高斯贝尔,bottom_area,2025-01-24,5.64,2025-01-24,5.64,0.0,0.0,29.05660377358491,False,-10.0478,2.7804,2,2,2,100.0,20.688684938302675,21.924482338611433,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.05%; 状态bottom_area; 底部未确认
5,76.58027055148519,72.43596852957137,002234,民和股份,bottom_area,2025-01-24,8.11,2025-01-13,7.76,4.510309278350511,9.149484536082486,27.13615023474179,True,-0.8557,1.2048,1,1,1,100.0,32.63157894736842,32.63157894736842,10.489690721649488,4.510309278350511,历史1/1次成功; 当前距低点4.51%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
6,75.57252709622156,67.31734491247153,002767,先锋电子,bottom_area,2025-01-24,14.14,2025-01-24,13.96,1.2893982808022901,4.369627507163319,30.547263681592042,False,-8.833,16.2363,2,4,2,50.0,43.37189781021898,52.04379562043795,13.71060171919771,1.2893982808022901,历史2/4次成功; 当前距低点1.29%; 最新日涨幅-8.83%; 状态bottom_area; 底部未确认
7,74.61034490822416,67.5157931125024,300347,泰格医药,bottom_area,2025-01-24,48.82,2025-01-24,47.8,2.1338912133891283,3.3054393305439445,30.824891461649784,False,0.8469,1.8987,2,4,2,50.0,22.102500424890394,23.423271500843175,12.866108786610871,2.1338912133891283,历史2/4次成功; 当前距低点2.13%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
8,73.83961235295791,66.44146698426098,600202,哈空调,bottom_area,2025-01-24,4.45,2025-01-24,4.37,1.8306636155606424,2.9748283752860387,29.967948717948715,False,0.0,4.0095,2,5,2,40.0,34.27623670827554,41.50485436893204,13.169336384439356,1.8306636155606424,历史2/5次成功; 当前距低点1.83%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,73.60558158181954,68.19719708738128,688253,英诺特,bottom_area,2025-01-24,29.5,2025-01-24,28.53,3.399929898352607,5.047318611987373,28.09979838709677,False,-8.5271,12.4082,1,1,1,100.0,15.639985245296947,15.639985245296947,11.600070101647391,3.399929898352607,历史1/1次成功; 当前距低点3.40%; 最新日涨幅-8.53%; 状态bottom_area; 底部未确认
10,71.7401595963152,66.0699751608676,600325,华发股份,bottom_area,2025-01-24,5.36,2025-01-13,5.2,3.0769230769230793,5.961538461538454,29.539295392953925,False,-0.3717,1.1958,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,11.92307692307692,3.0769230769230793,历史2/3次成功; 当前距低点3.08%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
11,69.85780358350236,60.74591615956728,601515,衢州东峰,bottom_area,2025-01-24,3.07,2025-01-24,3.07,0.0,12.703583061889256,27.93427230046948,False,-9.9707,5.6589,2,3,2,66.66666666666666,24.888438133874246,34.48275862068966,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
