rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
20,76.09108034896731,71.78403806506348,000882,华联股份,confirmed_rebound,2024-12-23,2.08,2024-12-23,2.06,0.9708737864077678,9.223300970873783,29.452054794520542,False,-7.5556,6.5581,3,3,3,100.0,21.868980097167658,29.268292682926838,7.0291262135922326,0.9708737864077678,历史3/3次成功; 当前距低点0.97%; 最新日涨幅-7.56%; 状态confirmed_rebound; 底部未确认
21,75.87210591299471,71.64732860385928,002292,奥飞娱乐,confirmed_rebound,2024-12-23,8.9,2024-12-23,8.81,1.0215664018161164,11.010215664018148,32.07401696222051,False,-9.0909,17.8267,1,1,1,100.0,15.250000000000007,15.250000000000007,6.978433598183884,1.0215664018161164,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-9.09%; 状态confirmed_rebound; 底部未确认
22,75.17511032440278,69.60658363370628,002799,环球印务,confirmed_rebound,2024-12-23,7.73,2024-12-23,7.73,0.0,10.99611901681759,29.08256880733945,False,-10.0116,6.2905,3,3,3,100.0,10.519266847883205,11.202830188679236,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态confirmed_rebound; 底部未确认
23,74.64978532125981,69.53136584188577,000721,西安饮食,confirmed_rebound,2024-12-23,9.77,2024-12-23,9.74,0.3080082135523548,10.677618069815185,31.40845070422535,False,-9.3692,13.6941,6,7,6,85.71428571428571,15.918104440473144,20.485175202156327,7.6919917864476455,0.3080082135523548,历史6/7次成功; 当前距低点0.31%; 最新日涨幅-9.37%; 状态confirmed_rebound; 底部未确认
24,73.87220265347013,69.44784883720929,600280,中央商场,bottom_area,2024-12-23,3.83,2024-12-23,3.8,0.789473684210533,6.842105263157889,32.74336283185841,False,-6.8127,6.5025,2,2,2,100.0,13.536821705426364,15.406976744186055,7.210526315789467,0.789473684210533,历史2/2次成功; 当前距低点0.79%; 最新日涨幅-6.81%; 状态bottom_area; 底部未确认
25,73.85371316742686,68.95400630496569,001217,华尔泰,confirmed_rebound,2024-12-23,11.63,2024-12-23,11.58,0.4317789291882618,12.00345423143351,30.4921968787515,False,-9.4942,6.665,2,2,2,100.0,16.712162707069524,22.206095791001456,7.568221070811738,0.4317789291882618,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-9.49%; 状态confirmed_rebound; 底部未确认
26,73.49772413793106,68.05344827586208,002348,高乐股份,bottom_area,2024-12-23,3.52,2024-12-23,3.52,0.0,5.397727272727272,30.43478260869565,False,-9.9744,8.033,1,1,1,100.0,25.287356321839088,25.287356321839088,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
27,73.20229247522974,68.2742279046673,000592,平潭发展,confirmed_rebound,2024-12-23,2.66,2024-12-23,2.65,0.3773584905660465,11.698113207547173,28.378378378378383,False,-9.215,10.0752,2,2,2,100.0,12.390350877192983,16.228070175438603,7.622641509433954,0.3773584905660465,历史2/2次成功; 当前距低点0.38%; 最新日涨幅-9.21%; 状态confirmed_rebound; 底部未确认
28,72.41937719915552,67.05497888810696,002638,勤上股份,confirmed_rebound,2024-12-23,2.51,2024-12-23,2.51,0.0,10.756972111553786,27.034883720930235,False,-10.0358,5.2685,2,2,2,100.0,13.467628430682618,17.241379310344833,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态confirmed_rebound; 底部未确认
29,71.53814280540246,67.11235506592017,603058,永吉股份,bottom_area,2024-12-23,8.88,2024-12-23,8.82,0.680272108843543,7.482993197278913,27.227722772277218,False,-6.1311,3.0833,1,1,1,100.0,16.308470290771165,16.308470290771165,7.319727891156457,0.680272108843543,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-6.13%; 状态bottom_area; 底部未确认
30,71.17954323725056,65.9069844789357,002670,国盛证券,bottom_area,2024-12-23,13.57,2024-12-23,13.57,0.0,4.495210022107586,29.101358411703238,False,-3.9632,5.1663,1,1,1,100.0,13.747228381374727,13.747228381374727,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.96%; 状态bottom_area; 底部未确认
31,70.67195445119472,70.56544057862322,603078,江化微,confirmed_rebound,2024-12-23,17.49,2024-12-18,16.83,3.9215686274509816,10.398098633392753,27.799227799227804,True,-4.4262,4.2389,2,2,2,100.0,19.12159703877122,24.563540397888758,4.078431372549018,3.9215686274509816,历史2/2次成功; 当前距低点3.92%; 最新日涨幅-4.43%; 状态confirmed_rebound; 底部已确认
32,69.94268514309626,64.98015206400247,000859,国风新材,confirmed_rebound,2024-12-23,5.73,2024-12-23,5.72,0.17482517482518664,12.587412587412599,31.742243436754187,False,-9.7638,10.8263,1,1,1,100.0,8.864265927977847,8.864265927977847,7.825174825174813,0.17482517482518664,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-9.76%; 状态confirmed_rebound; 底部未确认
33,69.13088546357793,65.85077155948291,000716,黑芝麻,confirmed_rebound,2024-12-23,6.89,2024-12-23,6.79,1.4727540500736325,8.5419734904271,31.552419354838708,False,-5.6164,10.7912,2,3,2,66.66666666666666,28.50529100529101,40.211640211640216,6.5272459499263675,1.4727540500736325,历史2/3次成功; 当前距低点1.47%; 最新日涨幅-5.62%; 状态confirmed_rebound; 底部未确认
34,69.02555298564081,63.912549060778524,002712,思美传媒,confirmed_rebound,2024-12-23,5.81,2024-12-23,5.81,0.0,10.843373493975918,28.36004932182491,False,-9.9225,8.8957,3,4,3,75.0,17.40617774612109,22.379603399433442,8.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-9.92%; 状态confirmed_rebound; 底部未确认
35,67.37422393535219,63.528798974052314,300749,顶固集创,confirmed_rebound,2024-12-23,6.41,2024-12-23,6.35,0.9448818897637875,12.440944881889765,28.891377379619264,False,-9.9719,7.2714,3,4,3,75.0,14.667363885557775,20.833333333333336,7.055118110236212,0.9448818897637875,历史3/4次成功; 当前距低点0.94%; 最新日涨幅-9.97%; 状态confirmed_rebound; 底部未确认
36,63.05212496139991,58.38159718648139,002291,遥望科技,bottom_area,2024-12-23,7.82,2024-12-23,7.82,0.0,5.62659846547314,27.12022367194781,False,-10.0115,18.2658,2,3,2,66.66666666666666,12.17704580545548,12.413793103448278,8.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
37,62.41533661602934,57.79197834817531,002114,罗平锌电,confirmed_rebound,2024-12-23,6.14,2024-12-23,6.14,0.0,10.912052117263842,32.601536772777166,False,-9.9707,8.742,2,3,2,66.66666666666666,19.222105814562603,24.096385542168683,8.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态confirmed_rebound; 底部未确认
38,50.98926781087109,50.975555489286876,688299,长阳科技,confirmed_rebound,2024-12-23,14.87,2024-12-20,14.3,3.986013986013975,10.839160839160831,29.13776015857284,True,-2.1711,3.7765,1,2,1,50.0,12.707889125799577,12.707889125799577,4.013986013986025,3.986013986013975,历史1/2次成功; 当前距低点3.99%; 最新日涨幅-2.17%; 状态confirmed_rebound; 底部已确认
