rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.54694684704667,80.61371257485031,002385,大北农,bottom_area,2023-04-17,7.29,2023-04-17,7.2,1.249999999999998,1.388888888888884,27.19919110212336,False,0.4132,1.1578,1,1,1,100.0,23.353293413173663,23.353293413173663,18.750000000000004,1.249999999999998,历史1/1次成功; 当前距低点1.25%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
2,87.98023237836951,74.63464702032164,002329,皇氏集团,bottom_area,2023-04-17,6.23,2023-04-17,6.17,0.9724473257698621,1.782820097244738,30.439684329199544,False,0.3221,2.0538,1,1,1,100.0,27.644230769230756,27.644230769230756,19.02755267423014,0.9724473257698621,历史1/1次成功; 当前距低点0.97%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
3,86.1203858902898,74.56765119768994,300530,领湃科技,bottom_area,2023-04-17,23.43,2023-04-06,22.95,2.091503267973858,6.753812636165581,28.393135725429016,False,-0.6783,0.2326,3,4,3,75.0,27.802573379948058,34.07510431154381,17.908496732026144,2.091503267973858,历史3/4次成功; 当前距低点2.09%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
4,82.96695310577942,71.78116869201429,000983,山西焦煤,bottom_area,2023-04-17,10.46,2023-04-11,10.25,2.0487804878048865,3.8048780487804934,27.715091678420308,False,0.5769,1.6649,2,3,2,66.66666666666666,24.546889986789015,27.212389380530986,17.951219512195117,2.0487804878048865,历史2/3次成功; 当前距低点2.05%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
5,79.87593077023776,71.52830657326832,002006,精工科技,bottom_area,2023-04-17,22.45,2023-04-11,21.6,3.935185185185175,5.601851851851839,29.938371715861166,False,1.2173,0.8482,2,3,2,66.66666666666666,46.311086714106686,61.48648648648647,16.064814814814827,3.935185185185175,历史2/3次成功; 当前距低点3.94%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
6,74.62348693269134,64.38375942181476,300763,锦浪科技,bottom_area,2023-04-17,125.69,2023-04-14,123.35,1.8970409404134605,3.2184839886501817,30.14893255563736,False,0.8101,1.7671,1,2,1,50.0,35.693617021276594,35.693617021276594,18.10295905958654,1.8970409404134605,历史1/2次成功; 当前距低点1.90%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
7,74.24144135379434,63.78085878778186,002347,泰尔股份,bottom_area,2023-04-17,4.89,2023-04-11,4.81,1.6632016632016646,4.365904365904365,32.06214689265538,False,0.0,1.2459,1,2,1,50.0,29.585798816568047,29.585798816568047,18.33679833679834,1.6632016632016646,历史1/2次成功; 当前距低点1.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,73.8409396558634,64.84270306258324,300586,美联新材,bottom_area,2023-04-17,15.45,2023-04-13,15.02,2.862849533954725,3.9946737683089193,27.087378640776706,False,1.2451,1.2588,1,2,1,50.0,124.33414043583537,124.33414043583537,17.137150466045277,2.862849533954725,历史1/2次成功; 当前距低点2.86%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
9,73.41104919561914,66.57298607932537,002125,湘潭电化,bottom_area,2023-04-17,12.89,2023-04-10,12.32,4.626623376623379,7.629870129870126,29.236071223434806,False,1.2569,1.2143,2,3,2,66.66666666666666,28.145272641720464,32.067510548523195,15.373376623376622,4.626623376623379,历史2/3次成功; 当前距低点4.63%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
10,71.04348635177821,61.86720903807688,001319,铭科精技,bottom_area,2023-04-17,20.86,2023-04-13,20.37,2.405498281786934,3.092783505154634,27.431421446384036,False,1.2621,3.4573,1,2,1,50.0,28.396479142747793,28.396479142747793,17.594501718213067,2.405498281786934,历史1/2次成功; 当前距低点2.41%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
11,69.15128346634181,60.48061170043828,000887,中鼎股份,bottom_area,2023-04-17,12.43,2023-04-06,12.11,2.642444260941373,6.853839801816681,28.512396694214885,False,0.485,0.8402,1,2,1,50.0,23.84615384615385,23.84615384615385,17.35755573905863,2.642444260941373,历史1/2次成功; 当前距低点2.64%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
12,68.91377718583463,62.65651358059697,300393,中来股份,bottom_area,2023-04-17,14.94,2023-03-20,14.26,4.768583450210376,7.8541374474053365,27.61421319796954,True,-0.4,2.886,2,3,2,66.66666666666666,22.108694518333078,23.89610389610389,15.231416549789625,4.768583450210376,历史2/3次成功; 当前距低点4.77%; 最新日涨幅-0.40%; 状态bottom_area; 底部已确认
13,63.013606137515254,55.28602629471175,002520,日发精机,bottom_area,2023-04-17,6.21,2023-04-06,6.04,2.8145695364238397,7.284768211920537,27.316486161251508,True,-1.4286,1.896,1,3,1,33.33333333333333,30.752212389380546,30.752212389380546,17.18543046357616,2.8145695364238397,历史1/3次成功; 当前距低点2.81%; 最新日涨幅-1.43%; 状态bottom_area; 底部已确认
14,61.33814544806345,55.833642295228735,002192,融捷股份,bottom_area,2023-04-17,77.88,2023-04-06,74.29,4.832413514604911,6.326558083187493,29.43579027355623,False,0.2188,3.2148,1,2,1,50.0,25.707231766279197,25.707231766279197,15.167586485395091,4.832413514604911,历史1/2次成功; 当前距低点4.83%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
