rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.9364726969866,84.14517346881854,601226,华电科工,bottom_area,2023-09-26,5.93,2023-09-25,5.87,1.022146507666092,4.088586030664399,27.975460122699385,False,0.0,0.47,1,1,1,100.0,39.54659949622166,39.54659949622166,13.977853492333908,1.022146507666092,历史1/1次成功; 当前距低点1.02%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,91.81915172484409,82.26871423622266,002534,西子洁能,bottom_area,2023-09-26,12.68,2023-09-22,12.48,1.6025641025640969,3.8461538461538494,27.861271676300582,False,-1.092,0.4306,3,3,3,100.0,25.712690269187092,33.11594202898551,13.397435897435903,1.6025641025640969,历史3/3次成功; 当前距低点1.60%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
3,88.10427398251407,78.64896861445989,601777,千里科技,bottom_area,2023-09-26,3.61,2023-08-25,3.56,1.404494382022467,8.146067415730338,27.93522267206478,True,-0.551,0.3682,1,1,1,100.0,27.96352583586626,27.96352583586626,13.595505617977533,1.404494382022467,历史1/1次成功; 当前距低点1.40%; 最新日涨幅-0.55%; 状态bottom_area; 底部已确认
4,87.90219484234831,77.59164855013668,300561,汇金科技,bottom_area,2023-09-26,12.56,2023-09-21,12.46,0.8025682182985525,3.21027287319421,32.539252842447205,False,0.0,2.1715,2,2,2,100.0,24.79303273041607,27.62128325508607,14.197431781701447,0.8025682182985525,历史2/2次成功; 当前距低点0.80%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,86.16192352660937,78.28005554824273,603258,电魂网络,bottom_area,2023-09-26,28.34,2023-09-21,27.69,2.3474178403755817,7.5478512098230395,31.93215339233038,True,0.1413,3.3154,1,1,1,100.0,15.065420560747667,15.065420560747667,12.652582159624417,2.3474178403755817,历史1/1次成功; 当前距低点2.35%; 最新日涨幅0.14%; 状态bottom_area; 底部已确认
6,82.61656000591358,76.09633946618295,000058,深赛格,bottom_area,2023-09-26,7.02,2023-09-22,6.81,3.083700440528634,7.635829662261387,27.16577540106952,True,-2.6352,2.8924,1,1,1,100.0,34.82352941176472,34.82352941176472,11.916299559471366,3.083700440528634,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-2.64%; 状态bottom_area; 底部已确认
7,82.04900986540062,77.9488481386447,000411,英特集团,bottom_area,2023-09-26,11.92,2023-08-24,11.38,4.745166959578199,9.490333919156415,27.974683544303797,True,-1.8122,1.4804,3,3,3,100.0,31.816283905822544,47.98426745329401,10.2548330404218,4.745166959578199,历史3/3次成功; 当前距低点4.75%; 最新日涨幅-1.81%; 状态bottom_area; 底部已确认
8,77.6654952680791,73.07567772547972,600032,浙江新能,bottom_area,2023-09-26,10.11,2023-09-22,9.7,4.226804123711342,5.154639175257732,27.395209580838326,False,0.3972,1.0916,1,1,1,100.0,19.31608133086876,19.31608133086876,10.773195876288657,4.226804123711342,历史1/1次成功; 当前距低点4.23%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
9,75.44375991180307,70.9495175936436,300749,顶固集创,bottom_area,2023-09-26,9.18,2023-09-11,8.81,4.1997729852440315,9.421112372304199,28.663967611336027,True,-1.0776,2.9996,1,1,1,100.0,20.833333333333336,20.833333333333336,10.800227014755967,4.1997729852440315,历史1/1次成功; 当前距低点4.20%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
10,71.97669371740209,62.68472610138711,002265,建设工业,bottom_area,2023-09-26,12.17,2023-08-25,12.16,0.0822368421052614,7.1546052631578885,28.344136711844424,True,-0.4906,0.4858,2,4,2,50.0,24.09798979240379,32.75229357798165,14.917763157894736,0.0822368421052614,历史2/4次成功; 当前距低点0.08%; 最新日涨幅-0.49%; 状态bottom_area; 底部已确认
11,67.84823783091502,63.35219055626609,603232,格尔软件,bottom_area,2023-09-26,11.97,2023-09-21,11.53,3.8161318300086844,4.596704249783184,29.176904176904184,False,1.0127,2.3471,2,4,2,50.0,20.338554455300404,22.78481012658228,11.183868169991316,3.8161318300086844,历史2/4次成功; 当前距低点3.82%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
12,61.03544366938754,58.03208294725035,300603,立昂技术,bottom_area,2023-09-26,9.41,2023-09-21,8.98,4.788418708240531,6.90423162583518,27.346278317152095,False,1.1828,6.8184,2,5,2,40.0,25.320847322788993,35.36723163841809,10.211581291759469,4.788418708240531,历史2/5次成功; 当前距低点4.79%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
13,59.786518226538654,55.726980976013266,002069,獐子岛,bottom_area,2023-09-26,4.18,2023-09-14,4.03,3.7220843672456443,5.707196029776663,28.79858657243816,False,0.2398,0.9941,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,11.277915632754356,3.7220843672456443,历史1/3次成功; 当前距低点3.72%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
14,59.021564924218325,51.99348064405622,002145,钛能化学,bottom_area,2023-09-26,4.35,2023-09-26,4.32,0.6944444444444295,3.240740740740733,30.32258064516129,False,-2.6846,2.6813,1,2,1,50.0,16.649537512846855,16.649537512846855,14.305555555555568,0.6944444444444295,历史1/2次成功; 当前距低点0.69%; 最新日涨幅-2.68%; 状态bottom_area; 底部未确认
