rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
24,62.6253192510056,55.277831137126654,300546,雄帝科技,bottom_area,2024-12-30,17.71,2024-12-30,17.17,3.145020384391375,3.9603960396039586,27.276577721304523,False,-0.1128,4.4889,2,6,2,33.33333333333333,27.285721936589546,33.791666666666664,16.854979615608627,3.145020384391375,历史2/6次成功; 当前距低点3.15%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
25,61.15519246375029,53.674095763730854,603256,宏和科技,bottom_area,2024-12-30,8.71,2024-12-25,8.47,2.833530106257381,8.264462809917346,30.45977011494252,True,-1.693,0.7763,1,3,1,33.33333333333333,22.318339100346023,22.318339100346023,17.16646989374262,2.833530106257381,历史1/3次成功; 当前距低点2.83%; 最新日涨幅-1.69%; 状态bottom_area; 底部已确认
26,61.04436780113228,55.69421487603306,002337,赛象科技,bottom_area,2024-12-30,5.08,2024-12-25,4.84,4.958677685950417,11.36363636363636,27.327327327327332,True,-3.2381,2.6682,1,2,1,50.0,60.465116279069754,60.465116279069754,15.041322314049586,4.958677685950417,历史1/2次成功; 当前距低点4.96%; 最新日涨幅-3.24%; 状态bottom_area; 底部已确认
27,60.97494273992847,52.300383472902936,000681,视觉中国,bottom_area,2024-12-30,21.91,2024-12-30,21.57,1.5762633286972643,6.073249884098279,32.212445003142676,False,-2.0563,14.685,1,5,1,20.0,20.93690248565965,20.93690248565965,18.423736671302738,1.5762633286972643,历史1/5次成功; 当前距低点1.58%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
28,60.80771053933459,53.99997445254709,300340,科恒股份,bottom_area,2024-12-30,9.82,2024-12-25,9.49,3.477344573234985,6.95468914646997,29.703703703703706,False,-1.8,2.8372,1,4,1,25.0,42.54473161033797,42.54473161033797,16.522655426765017,3.477344573234985,历史1/4次成功; 当前距低点3.48%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
29,60.72926125771367,53.108267495165094,002178,延华智能,bottom_area,2024-12-30,6.23,2024-12-25,6.07,2.6359143327841865,8.237232289950576,29.663962920046355,True,-2.044,3.1637,1,5,1,20.0,29.076086956521735,29.076086956521735,17.364085667215814,2.6359143327841865,历史1/5次成功; 当前距低点2.64%; 最新日涨幅-2.04%; 状态bottom_area; 底部已确认
30,60.65844611528822,52.22857142857143,002146,荣盛发展,bottom_area,2024-12-30,1.71,2024-12-30,1.68,1.7857142857142874,5.952380952380958,29.707112970711304,False,-4.4693,5.0345,1,5,1,20.0,33.33333333333333,33.33333333333333,18.21428571428571,1.7857142857142874,历史1/5次成功; 当前距低点1.79%; 最新日涨幅-4.47%; 状态bottom_area; 底部未确认
31,58.30022840288916,51.947292420355616,688280,精进电动,bottom_area,2024-12-30,4.53,2024-12-30,4.37,3.6613272311212848,5.949656750572077,27.166666666666668,False,-1.7354,1.205,1,3,1,33.33333333333333,32.37518910741301,32.37518910741301,16.338672768878716,3.6613272311212848,历史1/3次成功; 当前距低点3.66%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
32,57.126895087146806,51.00327868852458,300749,顶固集创,bottom_area,2024-12-30,6.33,2024-12-25,6.1,3.770491803278696,8.032786885245907,31.690929451287797,True,-2.3148,2.9781,1,4,1,25.0,20.833333333333336,20.833333333333336,16.229508196721305,3.770491803278696,历史1/4次成功; 当前距低点3.77%; 最新日涨幅-2.31%; 状态bottom_area; 底部已确认
33,56.72028531496454,47.96480503144653,600400,红豆股份,bottom_area,2024-12-30,2.52,2024-12-30,2.5,0.8000000000000007,4.399999999999995,27.11370262390671,False,-3.4483,1.7826,1,3,1,33.33333333333333,25.943396226415082,25.943396226415082,19.2,0.8000000000000007,历史1/3次成功; 当前距低点0.80%; 最新日涨幅-3.45%; 状态bottom_area; 底部未确认
34,56.173931249340164,50.994013078712996,002167,东方锆业,bottom_area,2024-12-30,7.6,2024-12-25,7.26,4.683195592286499,6.198347107438019,30.259365994236315,False,-0.1314,2.6027,1,4,1,25.0,41.1650485436893,41.1650485436893,15.316804407713501,4.683195592286499,历史1/4次成功; 当前距低点4.68%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
35,52.590445934040794,47.934898261191286,603123,翠微股份,bottom_area,2024-12-30,8.34,2024-12-25,7.95,4.905660377358487,7.924528301886791,29.770318021201415,True,-0.7143,1.7518,1,5,1,20.0,29.08496732026144,29.08496732026144,15.094339622641515,4.905660377358487,历史1/5次成功; 当前距低点4.91%; 最新日涨幅-0.71%; 状态bottom_area; 底部已确认
