rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.69088830363012,82.735478504365,000935,四川双马,bottom_area,2023-04-26,19.05,2023-04-25,18.68,1.9807280513918681,4.014989293361884,30.609212481426457,False,0.5277,0.306,1,1,1,100.0,43.71794871794874,43.71794871794874,13.01927194860813,1.9807280513918681,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
2,88.45043427732001,79.92950867375131,301313,凡拓数创,bottom_area,2023-04-26,32.7,2023-04-26,32.04,2.0599250936329705,7.990012484394514,28.97362003990246,False,-7.1023,11.6931,2,2,2,100.0,45.6243972431962,52.43243243243245,12.94007490636703,2.0599250936329705,历史2/2次成功; 当前距低点2.06%; 最新日涨幅-7.10%; 状态bottom_area; 底部未确认
3,88.43762603474958,79.01147051546363,300454,深信服,bottom_area,2023-04-26,119.76,2023-04-26,118.05,1.4485387547649369,4.862346463362989,29.522388059701495,False,-2.5946,2.1538,2,2,2,100.0,22.979241270579003,29.49391262831224,13.551461245235064,1.4485387547649369,历史2/2次成功; 当前距低点1.45%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
4,87.8525274444998,81.36620239475451,002363,隆基机械,bottom_area,2023-04-26,6.73,2023-04-25,6.51,3.379416282642099,4.454685099846391,28.774617067833702,False,1.6616,0.8986,2,2,2,100.0,36.83479311386288,54.96828752642705,11.620583717357901,3.379416282642099,历史2/2次成功; 当前距低点3.38%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
5,87.4009614167169,78.63752204030226,002741,光华科技,bottom_area,2023-04-26,16.17,2023-04-25,15.88,1.8261964735516432,5.919395465994959,30.28972783143108,False,0.6849,1.3432,1,1,1,100.0,19.791666666666664,19.791666666666664,13.173803526448358,1.8261964735516432,历史1/1次成功; 当前距低点1.83%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
6,85.85520385803412,77.69177010383964,002383,合众思壮,bottom_area,2023-04-26,6.7,2023-04-25,6.56,2.1341463414634236,4.878048780487809,28.07017543859649,False,0.4498,1.2067,1,1,1,100.0,18.48184818481848,18.48184818481848,12.865853658536574,2.1341463414634236,历史1/1次成功; 当前距低点2.13%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
7,85.83921667544703,81.2108517350158,000957,中通客车,bottom_area,2023-04-26,9.94,2023-04-25,9.51,4.521556256572026,5.152471083070455,29.39866369710468,False,2.58,2.8549,2,2,2,100.0,185.5153400254489,354.54545454545456,10.478443743427974,4.521556256572026,历史2/2次成功; 当前距低点4.52%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
8,85.47921218124429,78.90880307250781,001210,金房能源,bottom_area,2023-04-26,22.23,2023-04-24,21.54,3.203342618384407,4.2711234911792095,27.180527383367135,False,1.7391,0.8287,1,1,1,100.0,38.131313131313135,38.131313131313135,11.796657381615592,3.203342618384407,历史1/1次成功; 当前距低点3.20%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
9,85.32721675649609,78.02728900255754,000629,钒钛股份,bottom_area,2023-04-26,4.19,2023-04-25,4.08,2.6960784313725568,9.803921568627459,31.08108108108108,False,2.445,1.8447,1,1,1,100.0,27.173913043478265,27.173913043478265,12.303921568627443,2.6960784313725568,历史1/1次成功; 当前距低点2.70%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
10,84.9972330033417,76.09081740309446,300582,英飞特,bottom_area,2023-04-26,13.05,2023-04-26,12.85,1.5564202334630433,7.782101167315175,31.503198294243077,False,-10.6776,8.1559,1,1,1,100.0,35.48094373865699,35.48094373865699,13.443579766536956,1.5564202334630433,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-10.68%; 状态bottom_area; 底部未确认
11,84.1482805245963,77.39164835164836,605133,嵘泰股份,bottom_area,2023-04-26,28.12,2023-04-25,27.3,3.003663003663005,5.567765567765566,28.79499217527387,False,-0.319,7.4743,1,1,1,100.0,60.01483679525222,60.01483679525222,11.996336996336995,3.003663003663005,历史1/1次成功; 当前距低点3.00%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
