rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.48771289800324,81.41647058823528,002611,东方精工,bottom_area,2024-04-10,6.54,2024-04-10,6.46,1.2383900928792582,4.798761609907114,30.387931034482758,False,-2.5335,5.9534,1,1,1,100.0,145.12534818941506,145.12534818941506,13.761609907120743,1.2383900928792582,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
2,90.27327623671593,80.25203101923056,002657,中科金财,bottom_area,2024-04-10,13.69,2024-04-10,13.53,1.1825572801182567,4.951958610495195,29.08805031446541,False,-3.5915,3.1905,2,2,2,100.0,36.60355708548481,56.540447504302946,13.817442719881742,1.1825572801182567,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-3.59%; 状态bottom_area; 底部未确认
3,84.28281412305233,77.39375,300580,贝斯特,bottom_area,2024-04-10,25.03,2024-04-09,24.32,2.9194078947368456,7.565789473684211,28.153618906942395,True,-3.7678,2.1629,1,1,1,100.0,53.89266817838245,53.89266817838245,12.080592105263154,2.9194078947368456,历史1/1次成功; 当前距低点2.92%; 最新日涨幅-3.77%; 状态bottom_area; 底部已确认
4,79.92560476702987,70.62632818182276,300426,华智数媒,bottom_area,2024-04-10,8.21,2024-04-10,8.14,0.8599508599508634,6.019656019656021,27.9646017699115,False,-3.9766,1.6181,2,2,2,100.0,20.736645927476964,25.936811168258643,14.140049140049134,0.8599508599508634,历史2/2次成功; 当前距低点0.86%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
5,77.65273093826633,68.57913778407227,300548,长芯博创,bottom_area,2024-04-10,23.09,2024-04-10,22.9,0.8296943231441105,4.803493449781666,31.641791044776124,False,-3.9917,5.0337,1,1,1,100.0,26.026026026026024,26.026026026026024,14.170305676855888,0.8296943231441105,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
6,75.51137773515852,68.45083188020295,002676,顺威股份,bottom_area,2024-04-10,4.13,2024-04-10,4.04,2.2277227722772244,4.207920792079206,27.72808586762075,False,-2.1327,3.849,2,3,2,66.66666666666666,31.308457711442777,39.33333333333333,12.772277227722775,2.2277227722772244,历史2/3次成功; 当前距低点2.23%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
7,74.54484397607978,67.09010678982526,688039,当虹科技,bottom_area,2024-04-10,26.54,2024-04-10,26.06,1.8419033000767477,6.485034535686881,29.529475392103837,False,-2.9616,1.9373,3,5,3,60.0,17.04110921505497,17.31207289293849,13.158096699923252,1.8419033000767477,历史3/5次成功; 当前距低点1.84%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
8,74.25663360622976,65.96987014475697,603106,恒银科技,bottom_area,2024-04-10,5.29,2024-04-10,5.23,1.1472275334607955,5.736137667304011,29.13279132791327,False,-3.9927,2.2856,2,4,2,50.0,34.38467161853536,34.60144927536232,13.852772466539204,1.1472275334607955,历史2/4次成功; 当前距低点1.15%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
9,73.14102075165461,66.03696521937319,688220,翱捷科技,bottom_area,2024-04-10,38.01,2024-04-09,37.26,2.0128824476650564,5.475040257648951,31.254612546125472,False,-2.9367,1.2723,2,4,2,50.0,35.14159784972857,45.103092783505154,12.987117552334942,2.0128824476650564,历史2/4次成功; 当前距低点2.01%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
10,72.47585464179149,68.89130110522059,002821,凯莱英,bottom_area,2024-04-10,81.2,2024-04-09,77.5,4.7741935483871005,8.993548387096773,28.39985218033998,True,-2.0861,2.0305,1,1,1,100.0,16.80893761044718,16.80893761044718,10.225806451612899,4.7741935483871005,历史1/1次成功; 当前距低点4.77%; 最新日涨幅-2.09%; 状态bottom_area; 底部已确认
11,71.38943726755568,63.28927418878612,688327,云从科技,bottom_area,2024-04-10,11.72,2024-04-10,11.6,1.0344827586206984,6.2931034482758665,30.162552679108973,False,-3.6976,2.169,3,7,3,42.857142857142854,34.06702315598246,53.56783919597991,13.965517241379303,1.0344827586206984,历史3/7次成功; 当前距低点1.03%; 最新日涨幅-3.70%; 状态bottom_area; 底部未确认
12,70.42900101434968,62.30345078452784,603178,圣龙股份,bottom_area,2024-04-10,27.45,2024-04-10,27.2,0.9191176470588236,4.999999999999998,30.25641025641026,False,-3.9202,2.8625,3,5,3,60.0,30.048596880763135,44.66270354096666,14.080882352941176,0.9191176470588236,历史3/5次成功; 当前距低点0.92%; 最新日涨幅-3.92%; 状态bottom_area; 底部未确认
13,68.87771936010394,59.94517241379309,300474,景嘉微,bottom_area,2024-04-10,65.28,2024-04-10,65.25,0.045977011494254615,4.6130268199233795,30.056812091328123,False,-4.3657,3.1412,2,5,2,40.0,56.74256339264612,59.857142857142854,14.954022988505745,0.045977011494254615,历史2/5次成功; 当前距低点0.05%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
14,67.84980196410316,59.90808185178388,603000,人民网,bottom_area,2024-04-10,23.43,2024-04-10,23.24,0.8175559380378714,5.851979345955263,27.306850172036285,False,-4.7561,3.0166,2,4,2,50.0,37.591985970485084,48.493150684931514,14.18244406196213,0.8175559380378714,历史2/4次成功; 当前距低点0.82%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
15,61.35518866429233,53.906079347821404,002309,中利集团,bottom_area,2024-04-10,1.82,2024-04-10,1.81,0.5524861878453043,4.972375690607727,27.599999999999998,False,-4.712,1.6131,2,5,2,40.0,23.740579871552146,30.136986301369873,14.447513812154694,0.5524861878453043,历史2/5次成功; 当前距低点0.55%; 最新日涨幅-4.71%; 状态bottom_area; 底部未确认
16,60.26493308294325,54.46927333217422,301486,致尚科技,bottom_area,2024-04-10,43.89,2024-04-10,43.0,2.0697674418604666,10.23255813953488,28.689883913764508,False,-7.6,20.6448,1,2,1,50.0,17.19539300868862,17.19539300868862,12.930232558139531,2.0697674418604666,历史1/2次成功; 当前距低点2.07%; 最新日涨幅-7.60%; 状态bottom_area; 底部未确认
17,59.306039068263644,53.82010739017932,600234,科新发展,bottom_area,2024-04-10,4.92,2024-04-10,4.81,2.2869022869022935,9.35550935550936,29.781021897810223,False,-5.9273,5.1694,1,2,1,50.0,16.366906474820148,16.366906474820148,12.713097713097707,2.2869022869022935,历史1/2次成功; 当前距低点2.29%; 最新日涨幅-5.93%; 状态bottom_area; 底部未确认
18,58.918890951444865,52.41444747020283,002238,天威视讯,bottom_area,2024-04-10,9.96,2024-04-10,9.84,1.2195121951219614,4.674796747967489,30.704225352112672,False,-3.675,2.097,1,3,1,33.33333333333333,15.169902912621358,15.169902912621358,13.780487804878039,1.2195121951219614,历史1/3次成功; 当前距低点1.22%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
19,56.75709498652367,51.97340659986121,300637,扬帆新材,bottom_area,2024-04-10,7.79,2024-04-10,7.58,2.7704485488126642,11.873350923482855,31.402714932126703,False,-8.1368,10.041,1,3,1,33.33333333333333,31.810193321616865,31.810193321616865,12.229551451187335,2.7704485488126642,历史1/3次成功; 当前距低点2.77%; 最新日涨幅-8.14%; 状态bottom_area; 底部未确认
20,54.906996866620766,51.952991057400354,688131,皓元医药,bottom_area,2024-04-10,33.24,2024-04-09,31.8,4.528301886792456,8.144654088050315,27.727272727272727,True,-2.9489,1.4596,1,4,1,25.0,35.228598705844924,35.228598705844924,10.471698113207543,4.528301886792456,历史1/4次成功; 当前距低点4.53%; 最新日涨幅-2.95%; 状态bottom_area; 底部已确认
