rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.15973248661012,74.02130034522439,601901,方正证券,bottom_area,2022-03-15,6.48,2022-03-09,6.4,1.250000000000001,10.156249999999991,29.51541850220264,False,-3.4277,0.3484,1,1,1,100.0,20.598388952819345,20.598388952819345,13.749999999999998,1.250000000000001,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-3.43%; 状态bottom_area; 底部未确认
2,81.605354410003,70.9611777478287,601155,新城控股,bottom_area,2022-03-15,21.76,2022-03-15,21.76,0.0,9.191176470588234,31.999999999999996,False,-10.0083,1.4413,2,2,2,100.0,24.2536438055306,24.642857142857142,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
3,79.05710516028147,68.74530883502737,688079,美迪凯,bottom_area,2022-03-15,12.14,2022-03-15,12.14,0.0,7.084019769357491,27.73809523809524,False,-6.1098,0.6655,1,1,1,100.0,29.007036747458958,29.007036747458958,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-6.11%; 状态bottom_area; 底部未确认
4,78.38067990321257,68.50705395719596,601598,中国外运,bottom_area,2022-03-15,3.66,2022-03-15,3.65,0.27397260273973234,6.8493150684931505,29.807692307692314,False,-6.3939,3.8889,1,1,1,100.0,18.82640586797067,18.82640586797067,14.726027397260266,0.27397260273973234,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-6.39%; 状态bottom_area; 底部未确认
5,76.5406951656222,66.55712623097583,688025,杰普特,bottom_area,2022-03-15,43.78,2022-03-15,43.78,0.0,7.332115121059847,29.659383033419022,False,-6.1924,4.9771,1,1,1,100.0,17.242614145031336,17.242614145031336,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-6.19%; 状态bottom_area; 底部未确认
6,76.49230296827021,66.5150460593654,688258,卓易信息,bottom_area,2022-03-15,26.95,2022-03-15,26.95,0.0,4.9350649350649425,30.68415637860083,False,-5.339,1.9395,1,1,1,100.0,17.01637666325486,17.01637666325486,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.34%; 状态bottom_area; 底部未确认
7,60.7874091221911,53.50396600760716,000037,深南电A,bottom_area,2022-03-15,6.2,2022-03-15,6.16,0.6493506493506499,6.980519480519476,27.272727272727277,False,-5.7751,0.8925,1,2,1,50.0,34.43271767810025,34.43271767810025,14.35064935064935,0.6493506493506499,历史1/2次成功; 当前距低点0.65%; 最新日涨幅-5.78%; 状态bottom_area; 底部未确认
