rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.52490697331058,83.58580578131748,000037,深南电A,bottom_area,2024-09-10,6.96,2024-09-10,6.85,1.605839416058399,2.1897810218978155,29.235537190082646,False,0.4329,0.9873,7,8,7,87.5,20.777524999627015,45.16765285996055,6.394160583941601,1.605839416058399,历史7/8次成功; 当前距低点1.61%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
30,77.02560729441626,73.32793331132389,601866,中远海发,bottom_area,2024-09-10,2.11,2024-09-10,2.08,1.4423076923076827,3.3653846153846074,27.272727272727266,False,-0.939,0.5845,1,1,1,100.0,9.012875536480685,9.012875536480685,6.557692307692317,1.4423076923076827,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
31,76.2804109096182,75.8885209811652,603291,联合水务,bottom_area,2024-09-10,9.45,2024-08-28,9.11,3.7321624588364424,5.92755214050495,29.65250965250965,False,1.5038,0.8072,2,2,2,100.0,11.708878426410102,12.102772143340088,4.267837541163558,3.7321624588364424,历史2/2次成功; 当前距低点3.73%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
32,76.08764766749114,76.3870320004034,002682,龙洲股份,bottom_area,2024-09-10,3.47,2024-08-28,3.33,4.204204204204208,6.606606606606599,30.76923076923076,False,1.1662,1.6995,2,2,2,100.0,20.175363365532185,26.929674099485425,3.795795795795792,4.204204204204208,历史2/2次成功; 当前距低点4.20%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
33,75.82027386274342,74.40984248900763,301518,长华化学,bottom_area,2024-09-10,13.97,2024-08-28,13.56,3.0235988200589983,6.12094395280236,28.21598729486501,False,1.1586,0.9677,1,1,1,100.0,11.740041928721173,11.740041928721173,4.976401179941002,3.0235988200589983,历史1/1次成功; 当前距低点3.02%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
34,75.10328093140431,74.96106231515422,600345,长江通信,bottom_area,2024-09-10,15.18,2024-09-10,14.61,3.9014373716632464,4.449007529089667,27.529761904761905,False,2.6369,2.23,1,1,1,100.0,25.46419098143237,25.46419098143237,4.0985626283367536,3.9014373716632464,历史1/1次成功; 当前距低点3.90%; 最新日涨幅2.64%; 状态bottom_area; 底部未确认
35,75.07253435500189,74.47927948808383,600166,福田汽车,bottom_area,2024-09-10,2.31,2024-08-28,2.23,3.587443946188344,7.174887892376688,27.5974025974026,True,0.4348,0.6969,1,1,1,100.0,9.831460674157306,9.831460674157306,4.412556053811656,3.587443946188344,历史1/1次成功; 当前距低点3.59%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
36,74.66791989593395,71.329110469693,002302,西部建设,bottom_area,2024-09-10,5.64,2024-09-10,5.55,1.6216216216216193,4.324324324324328,31.650246305418715,False,-3.4247,4.6216,1,1,1,100.0,10.679611650485443,10.679611650485443,6.378378378378382,1.6216216216216193,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-3.42%; 状态bottom_area; 底部未确认
37,74.42750697682838,71.81927233687222,601033,永兴股份,bottom_area,2024-09-10,12.38,2024-09-10,12.12,2.1452145214521585,3.630363036303641,28.07121661721069,False,-0.8013,2.52,1,1,1,100.0,9.518072289156615,9.518072289156615,5.854785478547841,2.1452145214521585,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
38,73.60734460499059,72.77877762383393,301509,金凯生科,bottom_area,2024-09-10,26.07,2024-08-28,25.21,3.4113447044823455,6.902023006743349,29.6792189679219,False,-0.0767,1.9707,2,2,2,100.0,13.530341666955287,15.05054819877544,4.588655295517655,3.4113447044823455,历史2/2次成功; 当前距低点3.41%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
39,72.52034106264387,68.03110300787284,301607,富特科技,confirmed_rebound,2024-09-10,40.08,2024-09-10,39.81,0.6782215523737655,11.780959557900019,29.41489361702127,False,-3.8618,55.0296,1,1,1,100.0,31.437893264973205,31.437893264973205,7.321778447626234,0.6782215523737655,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-3.86%; 状态confirmed_rebound; 底部未确认
40,71.30827363970543,72.12581211899331,002230,科大讯飞,bottom_area,2024-09-10,34.16,2024-08-28,32.66,4.592774035517453,6.429883649724438,28.093350946719518,False,1.4854,0.7667,1,1,1,100.0,18.69535978480161,18.69535978480161,3.407225964482547,4.592774035517453,历史1/1次成功; 当前距低点4.59%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
41,71.00637596660917,71.93036679110493,600262,北方股份,bottom_area,2024-09-10,16.13,2024-08-29,15.41,4.672290720311478,7.722258273848159,31.48065807025344,True,-1.2852,2.9308,2,2,2,100.0,15.232202330188693,17.269624573378834,3.3277092796885217,4.672290720311478,历史2/2次成功; 当前距低点4.67%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
42,70.74908197905991,69.77870153159253,000726,鲁泰A,bottom_area,2024-09-10,5.35,2024-08-29,5.18,3.281853281853281,6.370656370656372,31.390728476821195,False,-0.1866,0.4143,1,1,1,100.0,12.480252764612954,12.480252764612954,4.718146718146719,3.281853281853281,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
43,69.73729589675551,70.82773732024708,300399,天利科技,confirmed_rebound,2024-09-10,11.12,2024-09-09,10.61,4.80678605089538,11.215834118755904,28.116531165311653,True,-3.5559,10.6715,3,3,3,100.0,14.716180195099755,17.594936708860743,3.1932139491046203,4.80678605089538,历史3/3次成功; 当前距低点4.81%; 最新日涨幅-3.56%; 状态confirmed_rebound; 底部已确认
44,68.70613493452208,70.01065708039955,300478,杭州高新,confirmed_rebound,2024-09-10,7.17,2024-08-28,6.83,4.9780380673499245,8.052708638360173,28.10526315789474,True,0.561,2.0161,1,1,1,100.0,13.067655236329937,13.067655236329937,3.021961932650076,4.9780380673499245,历史1/1次成功; 当前距低点4.98%; 最新日涨幅0.56%; 状态confirmed_rebound; 底部已确认
45,59.7994842174941,56.21191489361702,000922,佳电股份,bottom_area,2024-09-10,9.0,2024-09-10,8.93,0.7838745800671924,2.799552071668533,28.84462151394423,False,-1.4239,1.2641,1,2,1,50.0,40.42553191489362,40.42553191489362,7.2161254199328075,0.7838745800671924,历史1/2次成功; 当前距低点0.78%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
46,59.769488686277384,59.64402237625881,603282,亚光股份,bottom_area,2024-09-10,12.55,2024-09-09,12.08,3.8907284768211974,4.304635761589401,27.880597014925375,False,0.2396,1.4648,1,2,1,50.0,34.64991023339317,34.64991023339317,4.109271523178803,3.8907284768211974,历史1/2次成功; 当前距低点3.89%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
47,54.95450953014936,55.07298586949887,000625,长安汽车,confirmed_rebound,2024-09-10,11.9,2024-08-29,11.43,4.111986001749787,8.136482939632543,29.138251704897705,True,0.5068,0.9741,1,2,1,50.0,13.808139534883724,13.808139534883724,3.888013998250213,4.111986001749787,历史1/2次成功; 当前距低点4.11%; 最新日涨幅0.51%; 状态confirmed_rebound; 底部已确认
