rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.52490697331058,83.58580578131748,000037,深南电A,bottom_area,2024-09-10,6.96,2024-09-10,6.85,1.605839416058399,2.1897810218978155,29.235537190082646,False,0.4329,0.9873,7,8,7,87.5,20.777524999627015,45.16765285996055,6.394160583941601,1.605839416058399,历史7/8次成功; 当前距低点1.61%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
2,87.4872829503106,82.9327668321227,601919,中远海控,bottom_area,2024-09-10,11.61,2024-09-10,11.47,1.2205754141237906,2.7027027027026915,29.328404189772023,False,-0.172,0.3902,3,3,3,100.0,24.600423528628724,40.45881126173098,6.779424585876209,1.2205754141237906,历史3/3次成功; 当前距低点1.22%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
3,86.56089264554907,84.45449810458759,300455,航天智装,bottom_area,2024-09-10,10.2,2024-09-10,9.93,2.7190332326283944,3.625377643504526,27.939042089985485,False,1.6949,1.1391,3,3,3,100.0,28.676848790216763,53.103448275862064,5.280966767371606,2.7190332326283944,历史3/3次成功; 当前距低点2.72%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
4,84.46638338510034,81.8909433962264,603004,鼎龙科技,bottom_area,2024-09-10,16.28,2024-09-10,15.9,2.389937106918244,3.773584905660375,28.184281842818425,False,-0.489,11.8217,2,2,2,100.0,52.20363732099522,55.7168784029038,5.610062893081756,2.389937106918244,历史2/2次成功; 当前距低点2.39%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
5,83.86466912243753,80.59213980898191,002674,兴业科技,bottom_area,2024-09-10,7.92,2024-08-21,7.77,1.9305019305019353,6.30630630630631,31.72231985940247,False,0.7634,0.2759,1,1,1,100.0,31.578947368421055,31.578947368421055,6.069498069498065,1.9305019305019353,历史1/1次成功; 当前距低点1.93%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
6,83.71069379959219,79.23087300986168,603027,千禾味业,bottom_area,2024-09-10,10.64,2024-09-10,10.52,1.1406844106463974,2.7566539923954463,27.04576976421637,False,-1.4815,1.265,1,1,1,100.0,37.051792828685265,37.051792828685265,6.859315589353603,1.1406844106463974,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
7,83.54527539529523,80.4477366091475,000966,长源电力,bottom_area,2024-09-10,4.01,2024-09-10,3.93,2.035623409669202,2.5445292620865163,27.222222222222225,False,0.0,0.3269,2,2,2,100.0,15.424505285985354,20.94117647058823,5.964376590330798,2.035623409669202,历史2/2次成功; 当前距低点2.04%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,83.36291571300399,80.32364274430071,000899,赣能股份,bottom_area,2024-09-10,7.4,2024-09-10,7.25,2.0689655172413843,2.620689655172419,27.427427427427432,False,0.4071,0.7309,5,6,5,83.33333333333334,17.943821453106086,27.473958333333325,5.931034482758616,2.0689655172413843,历史5/6次成功; 当前距低点2.07%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
9,83.17819531668164,82.44000421222746,300653,正海生物,bottom_area,2024-09-10,19.03,2024-08-28,18.38,3.5364526659412525,7.83460282916214,27.466456195737965,True,0.0,1.0034,3,3,3,100.0,18.672668228889858,29.647513278609367,4.463547334058748,3.5364526659412525,历史3/3次成功; 当前距低点3.54%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
10,82.69540727951859,79.52809578400357,301538,骏鼎达,bottom_area,2024-09-10,66.79,2024-09-09,65.5,1.9694656488549713,2.8244274809160217,31.6640584246218,False,0.5571,3.3669,2,2,2,100.0,9.669233674155395,10.10519247985676,6.030534351145029,1.9694656488549713,历史2/2次成功; 当前距低点1.97%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
11,82.6361754376947,78.64655547139733,300401,花园生物,bottom_area,2024-09-10,12.08,2024-09-10,11.91,1.42737195633921,2.85474391267842,30.023501762632193,False,-0.1653,2.0262,2,2,2,100.0,20.757868450810403,29.551451187335093,6.5726280436607905,1.42737195633921,历史2/2次成功; 当前距低点1.43%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
12,82.03086896690803,81.93766972172692,002369,卓翼科技,bottom_area,2024-09-10,4.22,2024-09-10,4.06,3.9408866995073932,4.187192118226622,28.268551236749122,False,0.2375,9.7203,4,4,4,100.0,13.456405358084805,17.345132743362825,4.059113300492607,3.9408866995073932,历史4/4次成功; 当前距低点3.94%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
13,81.49569156267675,79.81350327828459,603132,金徽股份,bottom_area,2024-09-10,10.59,2024-09-10,10.29,2.915451895043739,3.012633624878528,31.354236157438297,False,0.8571,1.0373,2,2,2,100.0,22.799643005292072,33.20754716981132,5.084548104956261,2.915451895043739,历史2/2次成功; 当前距低点2.92%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
14,81.4913660935283,79.8598615239694,000597,东北制药,bottom_area,2024-09-10,4.19,2024-08-26,4.07,2.948402948402951,5.65110565110564,32.053422370617696,False,-0.7109,1.6552,3,3,3,100.0,29.259248636172746,61.02150537634409,5.051597051597049,2.948402948402951,历史3/3次成功; 当前距低点2.95%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
15,81.20746076438694,78.53682285691826,000591,太阳能,bottom_area,2024-09-10,4.07,2024-08-23,3.98,2.2613065326633244,7.035175879396981,28.158844765342963,True,-0.2451,0.453,2,2,2,100.0,21.19678360962714,32.84132841328414,5.738693467336676,2.2613065326633244,历史2/2次成功; 当前距低点2.26%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
16,80.62170523580309,77.14488536412524,002140,东华科技,bottom_area,2024-09-10,6.55,2024-09-10,6.44,1.7080745341614818,2.018633540372669,28.44444444444444,False,0.6144,0.5018,1,1,1,100.0,10.318791946308728,10.318791946308728,6.291925465838519,1.7080745341614818,历史1/1次成功; 当前距低点1.71%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
17,79.83925829807133,75.54914607455214,001286,陕西能源,bottom_area,2024-09-10,8.96,2024-09-09,8.86,1.1286681715575781,1.8058690744921009,29.849564528899453,False,-0.3337,0.835,1,1,1,100.0,17.110266159695826,17.110266159695826,6.871331828442422,1.1286681715575781,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
18,79.77247533512808,75.68854801039969,688187,时代电气,bottom_area,2024-09-10,42.33,2024-09-10,41.8,1.2679425837320604,3.6842105263158045,27.114210985178733,False,-0.8665,1.2054,1,1,1,100.0,19.566973662950396,19.566973662950396,6.732057416267939,1.2679425837320604,历史1/1次成功; 当前距低点1.27%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
19,79.21389687340739,79.28239137999917,000155,川能动力,bottom_area,2024-09-10,9.26,2024-08-23,8.9,4.044943820224713,7.752808988764039,29.08366533864542,True,0.8715,0.4164,2,2,2,100.0,24.596039194147934,37.70685579196216,3.955056179775287,4.044943820224713,历史2/2次成功; 当前距低点4.04%; 最新日涨幅0.87%; 状态bottom_area; 底部已确认
20,78.98969040247678,76.00894736842106,300761,立华股份,bottom_area,2024-09-10,18.36,2024-09-10,18.0,1.999999999999997,3.4999999999999947,27.710843373493972,False,-1.1841,0.4921,1,1,1,100.0,30.263157894736853,30.263157894736853,6.0000000000000036,1.999999999999997,历史1/1次成功; 当前距低点2.00%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
21,78.40621297677782,76.08156546156549,601117,中国化学,bottom_area,2024-09-10,6.31,2024-09-10,6.16,2.4350649350649265,2.7597402597402585,28.78612716763006,False,0.638,0.5446,1,1,1,100.0,13.513513513513523,13.513513513513523,5.564935064935074,2.4350649350649265,历史1/1次成功; 当前距低点2.44%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
22,78.31568588299892,74.788803366354,000898,鞍钢股份,bottom_area,2024-09-10,1.9,2024-09-10,1.87,1.6042780748662995,3.208556149732611,28.076923076923077,False,-1.0417,0.3173,1,1,1,100.0,18.852459016393443,18.852459016393443,6.3957219251337,1.6042780748662995,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
23,77.96160585568987,76.45256091501223,603079,圣达生物,bottom_area,2024-09-10,10.7,2024-08-26,10.39,2.983638113570729,6.929740134744936,28.83561643835616,False,0.0935,1.0123,1,1,1,100.0,22.232558139534888,22.232558139534888,5.016361886429271,2.983638113570729,历史1/1次成功; 当前距低点2.98%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
24,77.88497880847659,74.46682926829267,601808,中海油服,bottom_area,2024-09-10,13.42,2024-09-10,13.2,1.6666666666666714,2.8787878787878847,29.5624332977588,False,-0.223,0.1582,1,1,1,100.0,17.88617886178861,17.88617886178861,6.333333333333329,1.6666666666666714,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
25,77.86056422998044,76.58315197645024,600183,生益科技,bottom_area,2024-09-10,17.41,2024-08-29,16.88,3.1398104265402913,7.760663507109018,29.519832985386223,True,1.8129,0.7745,3,4,3,75.0,19.822149187968265,25.158227848101262,4.860189573459709,3.1398104265402913,历史3/4次成功; 当前距低点3.14%; 最新日涨幅1.81%; 状态bottom_area; 底部已确认
26,77.54678268495921,78.5927270145737,000532,华金资本,bottom_area,2024-09-10,10.7,2024-09-04,10.22,4.696673189823861,7.632093933463789,27.926657263751757,True,0.0,2.6206,2,2,2,100.0,28.877106921355356,32.044198895027606,3.303326810176139,4.696673189823861,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
27,77.43833576992802,74.81621305738433,300573,兴齐眼药,bottom_area,2024-09-10,76.81,2024-09-10,75.15,2.2089155023286713,3.353293413173647,29.357021996615895,False,-0.6467,3.5578,4,5,4,80.0,19.744840874697324,42.86062675283501,5.791084497671329,2.2089155023286713,历史4/5次成功; 当前距低点2.21%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
28,77.22904752205643,74.22479455480267,000539,粤电力A,bottom_area,2024-09-10,4.21,2024-08-26,4.13,1.9370460048426168,6.7796610169491585,31.395348837209298,False,-0.237,0.4534,1,1,1,100.0,19.89924433249369,19.89924433249369,6.0629539951573825,1.9370460048426168,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
29,77.05210118704015,75.03543182100604,000683,博源化工,bottom_area,2024-09-10,5.09,2024-09-10,4.96,2.6209677419354818,4.435483870967737,28.837876614060253,False,-0.9728,1.337,2,2,2,100.0,15.974399315155651,22.50673854447439,5.379032258064519,2.6209677419354818,历史2/2次成功; 当前距低点2.62%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
