rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.78763484423231,79.28550621581452,301170,锡南科技,bottom_area,2026-06-24,22.83,30.78,2026-06-22,22.26,2.560646900269527,7.0979335130278445,27.680311890838205,25.82846003898636,True,-2.851063829787237,3.2309368983814126,1,1,1,100.0,45.557963163596966,45.557963163596966,17.43935309973047,2.560646900269527,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-2.85%; 状态bottom_area; 底部已确认
2,90.04668828182785,78.02761912505325,003003,天元股份,bottom_area,2026-06-24,10.53,14.2,2026-06-22,10.31,2.133850630455857,9.020368574199802,27.39436619718309,25.84507042253521,True,-4.7058823529411935,4.380358340060192,6,7,6,85.71428571428571,24.730867847502466,31.377551020408173,17.866149369544143,2.133850630455857,历史6/7次成功; 当前距低点2.13%; 最新日涨幅-4.71%; 状态bottom_area; 底部已确认
3,89.65227539959508,77.0606636861688,688231,隆达股份,bottom_area,2026-06-24,33.66,48.98,2026-06-24,33.1,1.6918429003021003,3.383685800604222,32.42139648836259,31.278072682727647,False,-1.8372703412073532,1.4658020859944043,1,1,1,100.0,32.140137090632145,32.140137090632145,18.3081570996979,1.6918429003021003,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
4,88.21824572021329,74.70542149666927,002959,小熊电器,bottom_area,2026-06-24,32.22,47.25,2026-06-22,31.94,0.8766437069505247,5.35378835316217,32.4021164021164,31.80952380952381,False,-2.9518072289156705,0.5621236073691628,4,5,4,80.0,42.6568233791208,54.51934124856377,19.123356293049476,0.8766437069505247,历史4/5次成功; 当前距低点0.88%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
5,86.07785806554718,73.95421608448419,001211,双枪科技,bottom_area,2026-06-24,27.45,38.2,2026-06-24,27.0,1.6666666666666639,11.074074074074067,29.319371727748695,28.14136125654451,False,-7.885906040268464,9.69786857662869,1,1,1,100.0,25.34524776604386,25.34524776604386,18.33333333333334,1.6666666666666639,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-7.89%; 状态bottom_area; 底部未确认
6,85.89359125786137,72.95135283272006,603118,共进股份,bottom_area,2026-06-24,12.66,18.36,2026-06-24,12.53,1.0375099760574684,3.2721468475658435,31.75381263616558,31.045751633986924,False,-0.8613938919342146,3.3107050831297538,4,6,4,66.66666666666666,24.248435007873248,29.32154925916299,18.962490023942532,1.0375099760574684,历史4/6次成功; 当前距低点1.04%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
7,85.85639453320383,75.46473022545862,301533,威马农机,bottom_area,2026-06-24,24.72,33.7,2026-06-22,24.02,2.914238134887591,9.325562031640308,28.72403560830861,26.646884272997042,True,-4.186046511627916,5.10607784971967,1,1,1,100.0,39.565554693560884,39.565554693560884,17.08576186511241,2.914238134887591,历史1/1次成功; 当前距低点2.91%; 最新日涨幅-4.19%; 状态bottom_area; 底部已确认
8,84.27037030300242,71.70695851415026,600452,涪陵电力,bottom_area,2026-06-24,9.76,14.08,2026-06-24,9.65,1.1398963730569889,3.523316062176164,31.463068181818183,30.681818181818183,False,-2.00803212851407,1.7975951881391112,7,12,7,58.333333333333336,36.8687575881014,79.2298716452742,18.860103626943012,1.1398963730569889,历史7/12次成功; 当前距低点1.14%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
9,81.99058138237446,69.97489266966852,002879,长缆科技,bottom_area,2026-06-24,14.0,19.89,2026-06-24,13.82,1.3024602026049183,4.196816208393632,30.51784816490699,29.61287078934138,False,-2.777777777777779,3.075829088890658,2,3,2,66.66666666666666,28.160404650220833,28.340444644060174,18.697539797395084,1.3024602026049183,历史2/3次成功; 当前距低点1.30%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
10,80.68595044201643,68.38758336659113,300360,炬华科技,bottom_area,2026-06-24,12.0,16.58,2026-06-22,11.89,0.9251471825063031,5.887300252312862,28.287092882991544,27.62364294330518,False,-2.9126213592232997,0.9399999890685472,4,6,4,66.66666666666666,38.17339933354215,45.75059571088166,19.0748528174937,0.9251471825063031,历史4/6次成功; 当前距低点0.93%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
11,79.78218445224208,66.91866686421017,002489,浙江永强,bottom_area,2026-06-24,2.83,4.06,2026-06-24,2.82,0.35460992907802236,4.255319148936175,30.541871921182263,30.295566502463046,False,-4.067796610169494,1.605753072058704,6,9,6,66.66666666666666,33.497370085168754,49.82935153583616,19.645390070921977,0.35460992907802236,历史6/9次成功; 当前距低点0.35%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
12,79.51987466023476,69.67278737754215,002766,索菱股份,bottom_area,2026-06-24,3.75,5.03,2026-06-22,3.65,2.739726027397263,8.219178082191789,27.435387673956267,25.447316103379723,True,-3.350515463917525,1.8814116802601546,7,11,7,63.63636363636363,35.07477513200734,55.672823218997344,17.26027397260274,2.739726027397263,历史7/11次成功; 当前距低点2.74%; 最新日涨幅-3.35%; 状态bottom_area; 底部已确认
13,77.03960894341577,67.61666319972201,300486,东杰智能,bottom_area,2026-06-24,22.13,30.16,2026-06-24,21.52,2.834572490706317,3.020446096654285,28.647214854111407,26.624668435013266,False,0.045207956600346044,2.841874942317965,7,14,7,50.0,31.233809024367805,50.88323998276606,17.165427509293686,2.834572490706317,历史7/14次成功; 当前距低点2.83%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
14,76.47082344964274,65.14755750273824,600429,三元股份,bottom_area,2026-06-24,4.2,6.11,2026-06-22,4.15,1.2048192771084292,6.024096385542168,32.0785597381342,31.260229132569563,False,-2.777777777777779,0.6445094762638496,4,11,4,36.36363636363637,66.24257752712204,150.82508250825083,18.795180722891573,1.2048192771084292,历史4/11次成功; 当前距低点1.20%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
15,75.98646730062661,65.30763937040744,000565,渝三峡A,bottom_area,2026-06-24,6.03,8.78,2026-06-22,5.93,1.6863406408094523,7.2512647554806176,32.46013667425968,31.32118451025056,True,-2.741935483870972,1.799501980187316,11,27,11,40.74074074074074,38.085900607174686,57.568807339449535,18.31365935919055,1.6863406408094523,历史11/27次成功; 当前距低点1.69%; 最新日涨幅-2.74%; 状态bottom_area; 底部已确认
16,75.95523152764655,63.944712256582356,002714,牧原股份,bottom_area,2026-06-24,32.53,45.39,2026-06-24,32.35,0.5564142194744968,2.62751159196291,28.72879488874201,28.332231769112138,False,-1.483949121744399,1.0239695173236347,2,3,2,66.66666666666666,26.433709732890065,29.00378310214376,19.443585780525506,0.5564142194744968,历史2/3次成功; 当前距低点0.56%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
