rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,101.18292683082382,85.98492411467116,002826,易明医药,bottom_area,2025-07-11,17.98,2025-07-11,17.79,1.0680157391793215,2.19224283305228,29.71157645199526,False,0.0556,5.8774,1,1,1,100.0,50.0,50.0,18.93198426082068,1.0680157391793215,历史1/1次成功; 当前距低点1.07%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
2,97.66138699259652,81.94391216728118,605133,嵘泰股份,bottom_area,2025-07-11,29.54,2025-07-11,29.43,0.3737682636765186,3.8056405028882128,32.884834663626,False,-0.371,2.272,3,3,3,100.0,48.742493593890515,60.01483679525222,19.626231736323483,0.3737682636765186,历史3/3次成功; 当前距低点0.37%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
3,92.5464814262218,78.55055490449156,603928,兴业股份,bottom_area,2025-07-11,16.13,2025-07-11,15.97,1.0018785222291695,1.7532874139010606,28.353521758636152,False,-0.7385,4.4072,1,1,1,100.0,31.69267707082834,31.69267707082834,18.998121477770834,1.0018785222291695,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
4,90.36721153074865,78.19902278369013,000999,华润三九,bottom_area,2025-07-11,31.22,2025-06-23,30.59,2.0594965675057177,4.347826086956528,29.645814167433297,False,0.1926,0.7529,1,1,1,100.0,20.293951384963254,20.293951384963254,17.940503432494285,2.0594965675057177,历史1/1次成功; 当前距低点2.06%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
5,89.55560973074924,76.31822476168185,301108,洁雅股份,bottom_area,2025-07-11,24.03,2025-07-10,23.74,1.221566975568672,3.833192923336142,30.605086232095886,False,-1.1924,2.9524,1,1,1,100.0,22.383857343969968,22.383857343969968,18.77843302443133,1.221566975568672,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
6,86.13621993679885,74.79155633973254,301348,蓝箭电子,bottom_area,2025-07-11,20.49,2025-07-07,20.04,2.2455089820359246,5.289421157684642,29.036827195467417,False,-0.0488,6.3529,1,1,1,100.0,26.727509778357234,26.727509778357234,17.754491017964078,2.2455089820359246,历史1/1次成功; 当前距低点2.25%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
7,81.59311426759024,68.61086278066122,002658,雪迪龙,bottom_area,2025-07-11,8.16,2025-07-11,8.12,0.4926108374384351,1.2315270935960767,29.144851657940674,False,0.0,7.8643,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,19.507389162561566,0.4926108374384351,历史2/3次成功; 当前距低点0.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,78.27269333285598,70.54513443693706,300346,南大光电,bottom_area,2025-07-11,31.13,2025-06-13,29.85,4.288107202680059,8.576214405360117,27.513355998057303,True,0.9731,1.9094,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,15.711892797319942,4.288107202680059,历史2/3次成功; 当前距低点4.29%; 最新日涨幅0.97%; 状态bottom_area; 底部已确认
9,76.66498429444147,69.81905909139043,603681,永冠新材,bottom_area,2025-07-11,14.89,2025-06-20,14.2,4.859154929577474,9.577464788732403,29.000000000000004,True,-0.6671,1.9864,1,1,1,100.0,22.83834586466165,22.83834586466165,15.140845070422525,4.859154929577474,历史1/1次成功; 当前距低点4.86%; 最新日涨幅-0.67%; 状态bottom_area; 底部已确认
10,70.5563951825202,60.072670454545474,603022,新通联,bottom_area,2025-07-11,10.36,2025-07-10,10.24,1.1718749999999925,1.5625000000000013,31.869594145043244,False,-0.1927,3.0987,1,2,1,50.0,26.099706744868023,26.099706744868023,18.82812500000001,1.1718749999999925,历史1/2次成功; 当前距低点1.17%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
11,63.973257929071316,57.29353744921073,000637,茂化实华,bottom_area,2025-07-11,4.22,2025-07-07,4.06,3.9408866995073932,4.433497536945828,27.370304114490168,False,0.716,4.79,1,2,1,50.0,22.627737226277358,22.627737226277358,16.05911330049261,3.9408866995073932,历史1/2次成功; 当前距低点3.94%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
12,63.73357790572465,53.577947880012125,600241,时代万恒,bottom_area,2025-07-11,8.42,2025-07-11,8.38,0.47732696897373683,1.7899761336515343,28.376068376068364,False,-0.7075,4.2998,1,2,1,50.0,22.50673854447439,22.50673854447439,19.522673031026265,0.47732696897373683,历史1/2次成功; 当前距低点0.48%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
13,63.15701346590736,56.718954696885845,002041,登海种业,bottom_area,2025-07-11,9.92,2025-06-23,9.53,4.092339979013648,4.931794333683113,29.719764011799416,False,0.1009,1.11,1,2,1,50.0,21.395106715252467,21.395106715252467,15.907660020986352,4.092339979013648,历史1/2次成功; 当前距低点4.09%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
