rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.1443253810415,79.10470657012797,300703,创源股份,bottom_area,2025-06-27,20.49,2025-06-26,20.27,1.0853478046373897,4.0947212629501815,31.404399323181053,False,-0.1462,6.4013,2,2,2,100.0,19.02849228333993,20.914127423822727,13.91465219536261,1.0853478046373897,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
2,87.3823604185777,80.34563763831851,605198,安德利,bottom_area,2025-06-27,40.3,2025-06-20,39.13,2.990033222591348,5.877843087145405,29.748653500897664,False,0.0497,0.8004,1,1,1,100.0,43.241469816272954,43.241469816272954,12.009966777408652,2.990033222591348,历史1/1次成功; 当前距低点2.99%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
3,87.19251801870108,79.62489623445506,002041,登海种业,bottom_area,2025-06-27,9.78,2025-06-23,9.53,2.623294858342078,3.147953830010501,29.719764011799416,False,0.1024,0.5509,2,2,2,100.0,18.2043468358871,21.395106715252467,12.376705141657922,2.623294858342078,历史2/2次成功; 当前距低点2.62%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
4,86.97336433011539,77.43033795037212,002155,湖南黄金,bottom_area,2025-06-27,17.68,2025-06-26,17.46,1.2600229095074391,2.978235967926687,28.995526636844243,False,-0.8969,2.3962,1,1,1,100.0,28.834355828220854,28.834355828220854,13.73997709049256,1.2600229095074391,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
5,84.59571541391264,80.29542955326461,603327,福蓉科技,bottom_area,2025-06-27,9.14,2025-06-23,8.73,4.696449026345935,5.154639175257723,28.148148148148145,False,0.883,0.6936,5,6,5,83.33333333333334,51.44264398496634,129.39632545931758,10.303550973654065,4.696449026345935,历史5/6次成功; 当前距低点4.70%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
6,84.33306663290699,77.3257028794473,605377,华旺科技,bottom_area,2025-06-27,8.69,2025-06-23,8.45,2.840236686390535,3.6686390532544437,30.04966887417219,False,0.6952,0.9446,1,1,1,100.0,25.16904583020285,25.16904583020285,12.159763313609465,2.840236686390535,历史1/1次成功; 当前距低点2.84%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
7,83.61331681107878,78.71538461538464,001230,劲旅环境,bottom_area,2025-06-27,20.33,2025-06-23,19.5,4.256410256410248,6.9230769230769305,30.629669156883672,False,0.1478,5.4597,1,1,1,100.0,84.69119579500656,84.69119579500656,10.743589743589752,4.256410256410248,历史1/1次成功; 当前距低点4.26%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
8,83.59441251941027,79.23490185509388,002678,珠江钢琴,bottom_area,2025-06-27,4.98,2025-06-23,4.76,4.621848739495812,5.042016806722694,29.79351032448378,False,1.0142,1.5782,3,3,3,100.0,23.939338608302766,35.5191256830601,10.378151260504186,4.621848739495812,历史3/3次成功; 当前距低点4.62%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
9,83.1748417721519,72.32594936708861,688556,高测股份,bottom_area,2025-06-27,7.0,2025-06-27,7.0,0.0,4.142857142857143,31.10236220472441,False,0.1431,2.2193,1,1,1,100.0,15.569620253164562,15.569620253164562,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
10,82.75562828233478,76.61744307251037,600770,综艺股份,bottom_area,2025-06-27,5.23,2025-06-23,5.06,3.3596837944664197,6.719367588932822,32.980132450331126,False,0.3839,3.0445,1,1,1,100.0,27.72861356932153,27.72861356932153,11.64031620553358,3.3596837944664197,历史1/1次成功; 当前距低点3.36%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
11,79.19033972641749,74.21581965477073,603681,永冠新材,bottom_area,2025-06-27,14.77,2025-06-20,14.2,4.014084507042256,5.492957746478881,29.000000000000004,False,1.0951,2.6126,1,1,1,100.0,22.83834586466165,22.83834586466165,10.985915492957743,4.014084507042256,历史1/1次成功; 当前距低点4.01%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
