rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.43499250184533,77.78098230810564,002233,塔牌集团,bottom_area,2021-11-09,9.99,2021-11-08,9.81,1.834862385321098,2.140672782874608,31.6376306620209,False,1.0111,1.0168,1,1,1,100.0,15.292841648590022,15.292841648590022,13.165137614678901,1.834862385321098,历史1/1次成功; 当前距低点1.83%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
2,83.12525495309238,77.7269293148021,600331,宏达股份,bottom_area,2021-11-09,3.47,2021-11-05,3.34,3.892215568862286,7.185628742514977,30.848861283643895,False,0.289,2.0128,1,1,1,100.0,40.221402214022135,40.221402214022135,11.107784431137713,3.892215568862286,历史1/1次成功; 当前距低点3.89%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
3,79.7881811498186,75.6297128677774,002408,齐翔腾达,bottom_area,2021-11-09,9.73,2021-11-08,9.3,4.6236559139784905,6.1290322580645,27.00156985871271,False,0.1029,1.6536,1,1,1,100.0,37.91208791208789,37.91208791208789,10.37634408602151,4.6236559139784905,历史1/1次成功; 当前距低点4.62%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
4,76.2895460238244,72.39648202704603,603069,海汽集团,bottom_area,2021-11-09,14.97,2021-10-29,14.3,4.685314685314684,6.2937062937062835,29.03225806451612,False,0.0,0.8077,1,1,1,100.0,21.284943599803825,21.284943599803825,10.314685314685315,4.685314685314684,历史1/1次成功; 当前距低点4.69%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
