rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.28484704573543,83.84417326072462,002829,星网宇达,bottom_area,2023-07-25,32.03,2023-07-25,31.43,1.909004136175633,2.3862551702195356,29.796738887647983,False,1.0091,2.7005,3,3,3,100.0,15.4661435011025,21.628131021194598,6.090995863824367,1.909004136175633,历史3/3次成功; 当前距低点1.91%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
2,86.12018535544769,83.05813432058733,002403,爱仕达,bottom_area,2023-07-25,8.68,2023-07-24,8.5,2.1176470588235263,2.5882352941176547,31.891025641025646,False,1.5205,1.7643,3,3,3,100.0,13.797686100564366,21.63892445582587,5.882352941176474,2.1176470588235263,历史3/3次成功; 当前距低点2.12%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
3,86.02316195963978,81.44021452622484,603033,三维股份,bottom_area,2023-07-25,15.78,2023-07-17,15.6,1.153846153846152,5.25641025641027,27.677329624478446,False,-0.2528,0.1537,3,3,3,100.0,15.757977188140112,24.922480620155024,6.846153846153848,1.153846153846152,历史3/3次成功; 当前距低点1.15%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
4,83.73859013036845,79.05833660344453,605118,力鼎光电,bottom_area,2023-07-25,15.0,2023-07-24,14.85,1.0101010101010124,3.3670033670033668,27.170181461500743,False,0.5362,9.0717,1,1,1,100.0,12.050359712230225,12.050359712230225,6.989898989898988,1.0101010101010124,历史1/1次成功; 当前距低点1.01%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
5,83.05985827479346,79.30846402868549,300342,天银机电,bottom_area,2023-07-25,11.45,2023-07-25,11.27,1.597160603371781,5.2351375332741785,27.337201805286917,False,-4.5833,9.7141,3,3,3,100.0,19.9461838944793,26.68539325842696,6.402839396628219,1.597160603371781,历史3/3次成功; 当前距低点1.60%; 最新日涨幅-4.58%; 状态bottom_area; 底部未确认
6,81.21223003104676,79.48736850826347,000037,深南电A,bottom_area,2023-07-25,11.06,2023-07-24,10.75,2.883720930232563,3.069767441860466,27.266576454668467,False,1.1894,6.7778,5,6,5,83.33333333333334,23.435047827206347,45.16765285996055,5.116279069767438,2.883720930232563,历史5/6次成功; 当前距低点2.88%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
7,79.11528488956186,76.4243067167948,600990,四创电子,bottom_area,2023-07-25,23.22,2023-07-24,22.72,2.200704225352113,2.376760563380294,29.199127454035533,False,1.7528,0.6321,1,1,1,100.0,12.483399734395755,12.483399734395755,5.799295774647888,2.200704225352113,历史1/1次成功; 当前距低点2.20%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
8,78.00701646209826,76.9385302715303,600081,东风科技,bottom_area,2023-07-25,12.27,2023-07-24,11.88,3.2828282828282727,3.787878787878782,28.13067150635209,False,2.3353,2.6402,2,2,2,100.0,11.84612234612234,13.923013923013915,4.717171717171728,3.2828282828282727,历史2/2次成功; 当前距低点3.28%; 最新日涨幅2.34%; 状态bottom_area; 底部未确认
9,77.36777621498526,75.67845472985435,601669,中国电建,bottom_area,2023-07-25,5.77,2023-06-07,5.61,2.852049910873427,5.882352941176471,29.78723404255319,False,1.7637,1.0391,1,1,1,100.0,16.457680250783696,16.457680250783696,5.1479500891265735,2.852049910873427,历史1/1次成功; 当前距低点2.85%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
10,75.81022015047331,73.92007687632723,002654,万润科技,bottom_area,2023-07-25,10.7,2023-07-24,10.42,2.6871401151631416,7.005758157389639,27.63888888888889,False,-1.5639,12.0991,2,2,2,100.0,10.789012574726865,11.22448979591837,5.3128598848368584,2.6871401151631416,历史2/2次成功; 当前距低点2.69%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
11,75.5354542859753,75.9229183656239,605178,时空科技,bottom_area,2023-07-25,22.73,2023-06-26,21.8,4.266055045871559,7.4311926605504635,29.4041450777202,True,1.974,2.4601,2,2,2,100.0,9.244751990382023,9.557235421166304,3.7339449541284417,4.266055045871559,历史2/2次成功; 当前距低点4.27%; 最新日涨幅1.97%; 状态bottom_area; 底部已确认
