rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_date,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,history_success_dates,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
41,70.1401357328598,62.06219875238999,600616,金枫酒业,bottom_area,2024-12-26,5.67,2024-12-13,7.95,2024-12-25,5.49,3.2786885245901587,5.8287795992713916,30.943396226415093,28.679245283018872,False,1.2499999999999956,1.895187850705975,9,23,9,39.130434782608695,30.36582457561424,37.81512605042015,1992-10-07; 1992-10-27; 1993-02-24; 1996-06-04; 1996-12-12; 2002-01-22; 2007-06-05; 2015-06-30; 2022-04-27,16.72131147540984,3.2786885245901587,历史9/23次成功; 当前距低点3.28%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
42,69.96506117967,60.24182004896059,300266,兴源环境,bottom_area,2024-12-26,2.85,2024-12-10,3.92,2024-12-25,2.8,1.7857142857142954,8.57142857142858,28.571428571428577,27.295918367346932,True,0.7067137809187329,2.437643160400114,1,4,1,25.0,23.700261399941922,23.700261399941922,2016-01-14,18.214285714285705,1.7857142857142954,历史1/4次成功; 当前距低点1.79%; 最新日涨幅0.71%; 状态bottom_area; 底部已确认
43,69.78680892067055,59.53436465035651,000536,华映科技,bottom_area,2024-12-26,4.75,2024-12-04,6.58,2024-12-25,4.69,1.2793176972281364,7.889125799573543,28.723404255319146,27.811550151975684,False,-0.8350730688935326,2.6049528152511243,8,24,8,33.33333333333333,27.300406810232946,41.90283400809715,1995-04-27; 1996-08-27; 1997-05-26; 2004-10-26; 2009-04-13; 2009-09-29; 2015-09-02; 2020-02-04,18.720682302771866,1.2793176972281364,历史8/24次成功; 当前距低点1.28%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
44,69.62128894542342,61.11577549011683,000981,山子高科,bottom_area,2024-12-26,2.17,2024-12-16,3.05,2024-12-25,2.11,2.8436018957346,9.478672985782,30.81967213114754,28.85245901639344,False,0.9302325581395321,4.894717361183652,7,22,7,31.818181818181817,35.78742225626044,65.60376372190278,2003-05-13; 2007-10-29; 2008-04-07; 2008-04-23; 2015-07-06; 2016-09-26; 2024-11-18,17.156398104265403,2.8436018957346,历史7/22次成功; 当前距低点2.84%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
45,69.42055823984086,59.682832875881275,000955,欣龙控股,bottom_area,2024-12-26,4.18,2024-12-11,5.85,2024-12-25,4.11,1.7031630170316152,7.785888077858866,29.743589743589734,28.547008547008545,False,-0.9478672985781977,2.360653111101597,7,20,7,35.0,29.68303524039438,39.47368421052633,2008-04-22; 2008-05-21; 2008-06-18; 2008-09-17; 2009-08-20; 2022-10-31; 2024-04-17,18.296836982968387,1.7031630170316152,历史7/20次成功; 当前距低点1.70%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
46,69.40276640690611,58.53162199209982,300151,昌红科技,bottom_area,2024-12-26,16.96,2024-11-21,23.28,2024-12-25,16.85,0.6528189910979194,4.866468842729971,27.620274914089343,27.147766323024054,False,-0.23529411764705577,1.7165282295308233,4,9,4,44.44444444444444,29.99429129404283,40.46890927624871,2012-12-04; 2016-03-01; 2017-01-17; 2022-03-09,19.34718100890208,0.6528189910979194,历史4/9次成功; 当前距低点0.65%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
47,69.39501883769624,61.71983071956165,300189,神农种业,bottom_area,2024-12-26,3.49,2024-12-18,4.97,2024-12-25,3.37,3.5608308605341277,9.495548961424326,32.19315895372233,29.77867203219315,False,0.5763688760807018,11.151949950656755,4,10,4,40.0,30.099597212792833,38.78583473861721,2016-05-18; 2020-02-04; 2020-09-10; 2024-02-06,16.43916913946587,3.5608308605341277,历史4/10次成功; 当前距低点3.56%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
48,69.36767803811752,59.84266450838085,300813,泰林生物,bottom_area,2024-12-26,17.78,2024-11-06,24.1,2024-12-25,17.45,1.8911174785100393,4.46991404011462,27.59336099585063,26.224066390041497,False,0.5656108597285048,2.3806362203147104,2,7,2,28.57142857142857,24.301756156440984,25.741595253790372,2022-04-28; 2022-12-07,18.10888252148996,1.8911174785100393,历史2/7次成功; 当前距低点1.89%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
49,69.34154276098812,60.85788123336672,002238,天威视讯,bottom_area,2024-12-26,8.35,2024-12-16,11.14,2024-12-25,8.12,2.8325123152709417,6.527093596059127,27.10951526032317,25.044883303411137,False,0.6024096385542022,1.4887004032802882,2,7,2,28.57142857142857,41.299589236014796,44.73282442748093,2010-07-02; 2020-02-04,17.16748768472906,2.8325123152709417,历史2/7次成功; 当前距低点2.83%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
50,69.01176825638291,61.61765022891331,603123,翠微股份,bottom_area,2024-12-26,8.25,2024-12-13,11.32,2024-12-25,7.95,3.773584905660375,6.289308176100618,29.770318021201415,27.120141342756188,False,0.8557457212714059,1.7869585597016888,4,10,4,40.0,32.158192547413805,40.52173913043479,2012-12-04; 2014-01-10; 2020-02-04; 2024-09-18,16.226415094339625,3.773584905660375,历史4/10次成功; 当前距低点3.77%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
51,68.44084021282706,58.160378876250384,603818,曲美家居,bottom_area,2024-12-26,2.84,2024-12-12,3.95,2024-12-25,2.81,1.0676156583629823,6.76156583629893,28.86075949367089,28.101265822784814,False,-1.388888888888895,2.983917291332798,2,8,2,25.0,35.37388482429026,40.63504823151127,2015-07-29; 2020-02-04,18.932384341637018,1.0676156583629823,历史2/8次成功; 当前距低点1.07%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
52,68.19017240348225,59.91041800503377,002146,荣盛发展,bottom_area,2024-12-26,1.78,2024-12-11,2.39,2024-12-25,1.73,2.890173410404627,5.202312138728328,27.61506276150628,25.52301255230126,False,0.0,3.0982498177659137,4,12,4,33.33333333333333,26.595054018403165,33.33333333333333,2011-08-09; 2014-01-20; 2014-05-12; 2024-02-06,17.10982658959537,2.890173410404627,历史4/12次成功; 当前距低点2.89%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
