rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.6802326831377,83.76308245054595,688327,云从科技,bottom_area,2024-04-10,11.72,2024-04-10,11.6,1.0344827586206984,6.2931034482758665,30.162552679108973,False,-3.6976,2.169,7,7,7,100.0,20.331737312909354,53.56783919597991,6.965517241379302,1.0344827586206984,历史7/7次成功; 当前距低点1.03%; 最新日涨幅-3.70%; 状态bottom_area; 底部未确认
2,86.5047637113996,80.16795819250662,300474,景嘉微,bottom_area,2024-04-10,65.28,2024-04-10,65.25,0.045977011494254615,4.6130268199233795,30.056812091328123,False,-4.3657,3.1412,5,5,5,100.0,28.72465472426617,59.857142857142854,7.954022988505746,0.045977011494254615,历史5/5次成功; 当前距低点0.05%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
3,86.11258334107968,82.61140372864632,688039,当虹科技,bottom_area,2024-04-10,26.54,2024-04-10,26.06,1.8419033000767477,6.485034535686881,29.529475392103837,False,-2.9616,1.9373,5,5,5,100.0,13.822275552802699,17.31207289293849,6.158096699923252,1.8419033000767477,历史5/5次成功; 当前距低点1.84%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
4,85.85827436589314,81.41647058823528,002611,东方精工,bottom_area,2024-04-10,6.54,2024-04-10,6.46,1.2383900928792582,4.798761609907114,30.387931034482758,False,-2.5335,5.9534,1,1,1,100.0,145.12534818941506,145.12534818941506,6.761609907120741,1.2383900928792582,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
5,84.7212894888479,80.25203101923056,002657,中科金财,bottom_area,2024-04-10,13.69,2024-04-10,13.53,1.1825572801182567,4.951958610495195,29.08805031446541,False,-3.5915,3.1905,2,2,2,100.0,36.60355708548481,56.540447504302946,6.817442719881743,1.1825572801182567,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-3.59%; 状态bottom_area; 底部未确认
6,83.3790922975436,80.58496002734603,002676,顺威股份,bottom_area,2024-04-10,4.13,2024-04-10,4.04,2.2277227722772244,4.207920792079206,27.72808586762075,False,-2.1327,3.849,3,3,3,100.0,24.323483592140306,39.33333333333333,5.772277227722776,2.2277227722772244,历史3/3次成功; 当前距低点2.23%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
7,82.8144823377817,78.56041325471702,688316,青云科技,bottom_area,2024-04-10,34.6,2024-04-10,34.17,1.258413813286508,5.501902253438675,28.15391084945332,False,-4.0222,2.0175,3,3,3,100.0,11.77202553231324,13.030303030303022,6.7415861867134925,1.258413813286508,历史3/3次成功; 当前距低点1.26%; 最新日涨幅-4.02%; 状态bottom_area; 底部未确认
8,82.541764666207,77.64013080023565,603000,人民网,bottom_area,2024-04-10,23.43,2024-04-10,23.24,0.8175559380378714,5.851979345955263,27.306850172036285,False,-4.7561,3.0166,4,4,4,100.0,24.592249134204234,48.493150684931514,7.182444061962129,0.8175559380378714,历史4/4次成功; 当前距低点0.82%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
9,81.7775439877406,76.52978715430271,002309,中利集团,bottom_area,2024-04-10,1.82,2024-04-10,1.81,0.5524861878453043,4.972375690607727,27.599999999999998,False,-4.712,1.6131,5,5,5,100.0,15.373417540806452,30.136986301369873,7.447513812154696,0.5524861878453043,历史5/5次成功; 当前距低点0.55%; 最新日涨幅-4.71%; 状态bottom_area; 底部未确认
10,79.01892598881342,77.39375,300580,贝斯特,bottom_area,2024-04-10,25.03,2024-04-09,24.32,2.9194078947368456,7.565789473684211,28.153618906942395,True,-3.7678,2.1629,1,1,1,100.0,53.89266817838245,53.89266817838245,5.080592105263154,2.9194078947368456,历史1/1次成功; 当前距低点2.92%; 最新日涨幅-3.77%; 状态bottom_area; 底部已确认
11,79.00640029381368,74.78774918657831,603106,恒银科技,bottom_area,2024-04-10,5.29,2024-04-10,5.23,1.1472275334607955,5.736137667304011,29.13279132791327,False,-3.9927,2.2856,3,4,3,75.0,27.625956789617884,34.60144927536232,6.8527724665392045,1.1472275334607955,历史3/4次成功; 当前距低点1.15%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
