rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.66076591816828,84.05967411535357,002658,雪迪龙,bottom_area,2025-07-08,8.48,2025-07-08,8.28,2.4154589371980806,3.260869565217408,27.748691099476453,False,0.355,20.0528,3,3,3,100.0,22.83290587185592,34.81481481481481,5.58454106280192,2.4154589371980806,历史3/3次成功; 当前距低点2.42%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
2,84.23880019518062,81.11132007392416,603022,新通联,bottom_area,2025-07-08,10.54,2025-07-04,10.33,2.032913843175209,2.2265246853823855,31.270791749833666,False,0.6686,5.5805,2,2,2,100.0,18.958944281524914,26.099706744868023,5.9670861568247915,2.032913843175209,历史2/2次成功; 当前距低点2.03%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
3,83.82948697523435,81.45271660586258,605198,安德利,bottom_area,2025-07-08,40.11,2025-06-20,39.13,2.5044722719141244,5.877843087145405,29.748653500897664,False,0.2249,0.4586,1,1,1,100.0,43.241469816272954,43.241469816272954,5.495527728085876,2.5044722719141244,历史1/1次成功; 当前距低点2.50%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
4,82.59316387843401,79.01889856008765,000999,华润三九,bottom_area,2025-07-08,31.11,2025-06-23,30.59,1.699901928734879,4.347826086956528,29.645814167433297,False,0.161,0.3477,1,1,1,100.0,20.293951384963254,20.293951384963254,6.300098071265121,1.699901928734879,历史1/1次成功; 当前距低点1.70%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
5,81.3412192073029,79.19988887836922,600241,时代万恒,bottom_area,2025-07-08,8.64,2025-07-04,8.42,2.6128266033254235,4.2755344418052195,28.03418803418803,False,0.1159,6.1478,2,2,2,100.0,15.79104050511391,22.50673854447439,5.387173396674577,2.6128266033254235,历史2/2次成功; 当前距低点2.61%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
6,79.49309145427287,74.84739130434784,002826,易明医药,bottom_area,2025-07-08,18.56,2025-07-07,18.4,0.8695652173913052,4.402173913043491,27.301461872777562,False,-0.2151,6.4838,1,1,1,100.0,50.0,50.0,7.130434782608695,0.8695652173913052,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
7,78.7743317085304,77.26496951338521,301348,蓝箭电子,bottom_area,2025-07-08,20.64,2025-07-07,20.04,2.9940119760479114,3.5429141716566908,29.036827195467417,False,0.6338,7.5544,1,1,1,100.0,26.727509778357234,26.727509778357234,5.005988023952089,2.9940119760479114,历史1/1次成功; 当前距低点2.99%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
8,77.2413823142069,76.78903833541398,000637,茂化实华,bottom_area,2025-07-08,4.21,2025-07-07,4.06,3.694581280788187,3.694581280788187,27.370304114490168,False,1.2019,5.6318,2,2,2,100.0,16.089697073177668,22.627737226277358,4.305418719211813,3.694581280788187,历史2/2次成功; 当前距低点3.69%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
9,77.2129523537311,76.48549035656202,002155,湖南黄金,bottom_area,2025-07-08,18.0,2025-06-30,17.39,3.5077630822311643,5.405405405405392,29.28019520130134,False,1.0668,1.6083,1,1,1,100.0,28.834355828220854,28.834355828220854,4.492236917768836,3.5077630822311643,历史1/1次成功; 当前距低点3.51%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
10,76.94871056939155,77.1759772508665,300640,德艺文创,bottom_area,2025-07-08,6.52,2025-06-23,6.26,4.153354632587856,7.348242811501597,27.880184331797235,True,0.7728,4.3894,2,2,2,100.0,14.600138780466654,17.724867724867735,3.8466453674121444,4.153354632587856,历史2/2次成功; 当前距低点4.15%; 最新日涨幅0.77%; 状态bottom_area; 底部已确认
11,75.85759660843212,74.43989896674988,002896,中大力德,bottom_area,2025-07-08,55.28,2025-07-08,53.66,3.019008572493486,5.05031680954156,30.01173862006,False,2.1434,4.1021,1,1,1,100.0,11.84536834427426,11.84536834427426,4.980991427506515,3.019008572493486,历史1/1次成功; 当前距低点3.02%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
12,74.58043463691308,75.31849539500067,002041,登海种业,bottom_area,2025-07-08,9.96,2025-06-23,9.53,4.512067156348389,4.721930745015751,29.719764011799416,False,0.1005,0.9388,2,2,2,100.0,18.2043468358871,21.395106715252467,3.487932843651611,4.512067156348389,历史2/2次成功; 当前距低点4.51%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
13,71.74832673244426,72.15502379141651,002371,北方华创,bottom_area,2025-07-08,333.97,2025-07-03,320.22,4.293922927987008,6.648554119043146,28.602006688963204,False,0.3878,0.5376,1,1,1,100.0,15.189075630252091,15.189075630252091,3.706077072012992,4.293922927987008,历史1/1次成功; 当前距低点4.29%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
14,68.33617702273999,68.65816478597469,301287,康力源,bottom_area,2025-07-08,40.77,2025-07-04,39.11,4.244438762464852,7.210432114548709,32.93895747599451,True,-2.3941,24.2303,1,1,1,100.0,9.0617481956696,9.0617481956696,3.755561237535148,4.244438762464852,历史1/1次成功; 当前距低点4.24%; 最新日涨幅-2.39%; 状态bottom_area; 底部已确认
