rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.45984984197987,82.1776485126153,002219,新里程,bottom_area,2024-09-06,1.72,2024-08-23,1.69,1.7751479289940846,7.6923076923077,29.288702928870297,True,-2.8249,0.6407,2,2,2,100.0,34.81175156302061,45.685279187817265,18.224852071005916,1.7751479289940846,历史2/2次成功; 当前距低点1.78%; 最新日涨幅-2.82%; 状态bottom_area; 底部已确认
2,91.83807167909454,78.17275756959965,002674,兴业科技,bottom_area,2024-09-06,7.86,2024-08-21,7.77,1.158301158301168,6.30630630630631,31.72231985940247,False,-1.5038,0.4439,1,1,1,100.0,31.578947368421055,31.578947368421055,18.841698841698832,1.158301158301168,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
3,89.63123130034522,74.69269275028769,000517,荣安地产,bottom_area,2024-09-06,1.94,2024-09-06,1.94,0.0,2.5773195876288684,31.20567375886525,False,-2.5126,0.8736,2,2,2,100.0,34.10049865746067,40.92827004219408,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
4,87.77298489906299,73.9505541776746,001218,丽臣实业,bottom_area,2024-09-06,13.45,2024-09-06,13.37,0.5983545250560963,1.9446522064323228,32.47474747474748,False,-1.2482,1.0989,2,2,2,100.0,25.18711018711019,29.999999999999993,19.401645474943905,0.5983545250560963,历史2/2次成功; 当前距低点0.60%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
5,87.745235105871,75.34474570808246,603079,圣达生物,bottom_area,2024-09-06,10.56,2024-08-26,10.39,1.6361886429258894,6.929740134744936,28.83561643835616,False,-1.8587,1.2122,1,1,1,100.0,22.232558139534888,22.232558139534888,18.363811357074113,1.6361886429258894,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
6,85.52475661955465,76.4205548032234,000532,华金资本,bottom_area,2024-09-06,10.61,2024-09-04,10.22,3.816046966731886,7.632093933463789,27.926657263751757,True,-0.8411,3.8258,2,2,2,100.0,28.877106921355356,32.044198895027606,16.183953033268114,3.816046966731886,历史2/2次成功; 当前距低点3.82%; 最新日涨幅-0.84%; 状态bottom_area; 底部已确认
7,85.36008353731864,71.3294609363462,600011,华能国际,bottom_area,2024-09-06,6.67,2024-09-05,6.66,0.15015015015014693,3.003003003003006,32.72727272727273,False,-1.3314,0.4953,1,1,1,100.0,22.267759562841515,22.267759562841515,19.849849849849853,0.15015015015014693,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
8,83.26954404324393,75.47107728337237,000628,高新发展,bottom_area,2024-09-06,35.73,2024-08-28,34.16,4.596018735362999,10.655737704918035,27.31914893617022,True,-1.7056,4.3014,1,1,1,100.0,99.77973568281939,99.77973568281939,15.403981264637,4.596018735362999,历史1/1次成功; 当前距低点4.60%; 最新日涨幅-1.71%; 状态bottom_area; 底部已确认
9,82.71321059587372,72.779221950288,301333,诺思格,bottom_area,2024-09-06,38.8,2024-08-29,37.68,2.972399150743093,9.341825902335465,28.744326777609686,True,-5.0881,1.6945,1,1,1,100.0,25.840279645065877,25.840279645065877,17.027600849256906,2.972399150743093,历史1/1次成功; 当前距低点2.97%; 最新日涨幅-5.09%; 状态bottom_area; 底部已确认
10,78.49817712948051,65.7201779697855,601919,中远海控,bottom_area,2024-09-06,11.85,2024-09-06,11.82,0.25380710659897937,1.7766497461928856,27.171903881700555,False,-0.9197,0.3287,2,3,2,66.66666666666666,32.26984680733607,40.45881126173098,19.74619289340102,0.25380710659897937,历史2/3次成功; 当前距低点0.25%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
11,76.38479821656476,64.8876652355666,600956,新天绿能,bottom_area,2024-09-06,6.75,2024-08-29,6.68,1.0479041916167708,7.035928143712584,28.860489882854107,True,-0.5891,0.2271,1,2,1,50.0,41.27358490566036,41.27358490566036,18.95209580838323,1.0479041916167708,历史1/2次成功; 当前距低点1.05%; 最新日涨幅-0.59%; 状态bottom_area; 底部已确认
