rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.63644752278013,77.79064188965242,600331,宏达股份,bottom_area,2021-11-05,3.38,2021-11-05,3.34,1.1976047904191627,7.185628742514977,30.848861283643895,False,-5.3221,3.8644,1,1,1,100.0,40.221402214022135,40.221402214022135,8.802395209580837,1.1976047904191627,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-5.32%; 状态bottom_area; 底部未确认
2,79.94218833783648,76.98187297391934,300417,南华仪器,bottom_area,2021-11-05,11.26,2021-10-28,10.93,3.0192131747483995,5.946935041171092,27.80713342140027,False,0.2671,2.6086,1,1,1,100.0,25.514403292181065,25.514403292181065,6.9807868252516005,3.0192131747483995,历史1/1次成功; 当前距低点3.02%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
3,78.56628765430054,75.12674971551778,000936,华西股份,bottom_area,2021-11-05,5.81,2021-11-03,5.66,2.65017667844522,4.063604240282677,29.072681704260656,False,0.6932,0.6749,1,1,1,100.0,11.016949152542363,11.016949152542363,7.34982332155478,2.65017667844522,历史1/1次成功; 当前距低点2.65%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
4,77.78455908146688,73.79690160746564,603069,海汽集团,bottom_area,2021-11-05,14.62,2021-10-29,14.3,2.2377622377622273,5.9440559440559415,29.03225806451612,False,-1.6151,0.7559,1,1,1,100.0,21.284943599803825,21.284943599803825,7.762237762237772,2.2377622377622273,历史1/1次成功; 当前距低点2.24%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
5,75.90270762296637,70.25003073154443,000301,东方盛虹,bottom_area,2021-11-05,21.5,2021-11-05,21.3,0.9389671361502313,9.389671361502346,30.528375733855185,False,-7.5269,4.8335,2,2,2,100.0,19.682127967564348,28.337639965546952,9.06103286384977,0.9389671361502313,历史2/2次成功; 当前距低点0.94%; 最新日涨幅-7.53%; 状态bottom_area; 底部未确认
6,75.3986150577474,69.21357241629154,002233,塔牌集团,bottom_area,2021-11-05,9.87,2021-11-05,9.82,0.509164969450091,2.851323828920564,31.567944250871076,False,-2.2772,1.8863,1,1,1,100.0,15.292841648590022,15.292841648590022,9.49083503054991,0.509164969450091,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
7,74.25454097714173,67.68587004454842,600997,开滦股份,bottom_area,2021-11-05,7.11,2021-11-05,7.1,0.1408450704225447,4.507042253521131,30.04926108374385,False,-5.0734,1.7628,1,1,1,100.0,12.77955271565495,12.77955271565495,9.859154929577455,0.1408450704225447,历史1/1次成功; 当前距低点0.14%; 最新日涨幅-5.07%; 状态bottom_area; 底部未确认
8,72.42804563184778,66.48446367532014,688202,美迪西,bottom_area,2021-11-05,540.75,2021-11-05,538.02,0.5074160811865764,6.462585034013603,27.30147148242735,False,-5.2994,2.7166,1,1,1,100.0,10.813829787234049,10.813829787234049,9.492583918813423,0.5074160811865764,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-5.30%; 状态bottom_area; 底部未确认
9,72.29098278666211,69.29215119710065,300497,富祥股份,confirmed_rebound,2021-11-05,16.29,2021-11-05,15.85,2.776025236593057,12.30283911671925,30.237676056338024,False,-6.6476,16.4735,1,1,1,100.0,24.094025465230157,24.094025465230157,7.223974763406943,2.776025236593057,历史1/1次成功; 当前距低点2.78%; 最新日涨幅-6.65%; 状态confirmed_rebound; 底部未确认
10,71.94395814321734,69.81644354597185,601155,新城控股,bottom_area,2021-11-05,29.6,2021-11-05,28.62,3.4241788958770107,9.294199860237597,28.144614612101428,False,-5.5821,1.239,1,1,1,100.0,24.642857142857142,24.642857142857142,6.575821104122989,3.4241788958770107,历史1/1次成功; 当前距低点3.42%; 最新日涨幅-5.58%; 状态bottom_area; 底部未确认
11,68.33002773600947,67.62095885795925,002111,威海广泰,bottom_area,2021-11-05,11.73,2021-11-01,11.23,4.452359750667854,6.945681211041846,29.98753117206982,False,-0.8453,0.8334,1,1,1,100.0,15.227629513343796,15.227629513343796,5.547640249332146,4.452359750667854,历史1/1次成功; 当前距低点4.45%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
12,54.21476323072556,50.18148499729788,000695,滨海能源,bottom_area,2021-11-05,8.56,2021-11-05,8.48,0.9433962264150951,6.485849056603761,32.21422861710631,False,-5.6229,3.1426,1,2,1,50.0,20.174346201743475,20.174346201743475,9.056603773584905,0.9433962264150951,历史1/2次成功; 当前距低点0.94%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
