rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.55764738677279,85.15033826118781,002338,奥普光电,bottom_area,2025-11-18,50.82,2025-11-18,50.13,1.3764213046080145,2.533413125872723,28.742004264392314,False,0.4348,1.5035,3,3,3,100.0,15.960101267172554,20.995288574793882,6.623578695391985,1.3764213046080145,历史3/3次成功; 当前距低点1.38%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
2,89.53396680914638,84.57079926935207,001209,洪兴股份,bottom_area,2025-11-18,21.47,2025-11-18,21.25,1.0352941176470536,3.858823529411766,31.118314424635336,False,-2.4091,8.1617,4,4,4,100.0,14.469192782727669,21.88679245283018,6.964705882352947,1.0352941176470536,历史4/4次成功; 当前距低点1.04%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
3,87.13805896381878,83.80739103618706,688141,杰华特,bottom_area,2025-11-18,40.3,2025-11-12,39.52,1.9736842105263004,7.945344129554639,30.666666666666657,True,-0.641,2.5738,4,4,4,100.0,12.674145355844196,14.416058394160567,6.0263157894737,1.9736842105263004,历史4/4次成功; 当前距低点1.97%; 最新日涨幅-0.64%; 状态bottom_area; 底部已确认
4,86.13091942692674,82.77817103908018,300563,神宇股份,bottom_area,2025-11-18,37.39,2025-10-23,36.68,1.9356597600872434,6.27044711014176,28.776699029126213,False,-1.6053,2.9952,4,4,4,100.0,15.86814673160799,20.477137176938378,6.064340239912756,1.9356597600872434,历史4/4次成功; 当前距低点1.94%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
5,84.565075867445,81.27613193744713,603173,福斯达,bottom_area,2025-11-18,39.46,2025-11-18,38.71,1.937483854301214,4.055799535003875,29.477136090362542,False,1.2314,6.2744,1,1,1,100.0,35.34190927555856,35.34190927555856,6.062516145698786,1.937483854301214,历史1/1次成功; 当前距低点1.94%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
6,84.19256995822842,79.14459500947588,000661,长春高新,bottom_area,2025-11-18,102.6,2025-11-18,101.8,0.7858546168958714,0.8251473477406713,28.193552937857095,False,0.4307,1.123,3,3,3,100.0,16.270664172034742,25.03526756324649,7.214145383104128,0.7858546168958714,历史3/3次成功; 当前距低点0.79%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
7,84.00606368532793,79.59181887801098,688631,莱斯信息,bottom_area,2025-11-18,64.42,2025-11-18,63.66,1.193842287150495,2.6076028903550057,32.34137527898821,False,0.0311,2.4079,1,1,1,100.0,17.17085641244142,17.17085641244142,6.8061577128495045,1.193842287150495,历史1/1次成功; 当前距低点1.19%; 最新日涨幅0.03%; 状态bottom_area; 底部未确认
8,82.15864441576146,79.27097834676783,002790,瑞尔特,bottom_area,2025-11-18,9.07,2025-11-12,8.88,2.1396396396396336,5.40540540540539,32.829046898638424,False,-2.9947,6.0079,1,1,1,100.0,49.512670565302145,49.512670565302145,5.860360360360367,2.1396396396396336,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
9,81.33957311998239,76.69487419667006,600094,大名城,bottom_area,2025-11-18,4.28,2025-11-18,4.24,0.9433962264150951,6.603773584905645,28.378378378378372,False,-5.5188,2.9923,3,3,3,100.0,37.7194494241746,87.28070175438596,7.0566037735849045,0.9433962264150951,历史3/3次成功; 当前距低点0.94%; 最新日涨幅-5.52%; 状态bottom_area; 底部未确认
10,81.11579389739919,75.58059094433747,603809,豪能股份,bottom_area,2025-11-18,12.3,2025-11-18,12.26,0.32626427406199776,1.5497553017944496,27.88235294117647,False,-0.4854,1.1984,2,2,2,100.0,30.615448866660387,31.661442006269603,7.673735725938002,0.32626427406199776,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
11,78.89783388626245,73.78824327374657,300611,美力科技,bottom_area,2025-11-18,27.08,2025-11-18,26.94,0.5196733481811322,3.155159613956933,27.832842218055177,False,-2.66,4.3347,2,2,2,100.0,23.34999197634166,35.911602209944746,7.480326651818868,0.5196733481811322,历史2/2次成功; 当前距低点0.52%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
