rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.27756805114578,79.30789169652205,002553,南方精工,bottom_area,2022-08-24,16.67,2022-08-24,16.43,1.4607425441266098,4.808277541083379,27.30088495575222,False,0.3008,21.4825,1,1,1,100.0,18.916046758767262,18.916046758767262,6.53925745587339,1.4607425441266098,历史1/1次成功; 当前距低点1.46%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
2,79.56634812643946,77.56314255494179,002077,大港股份,bottom_area,2022-08-24,16.51,2022-08-23,16.08,2.6741293532338513,6.902985074626885,28.53333333333334,False,1.7879,22.3449,1,1,1,100.0,24.40944881889765,24.40944881889765,5.325870646766149,2.6741293532338513,历史1/1次成功; 当前距低点2.67%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
3,77.98896784632771,74.606793220339,002471,中超控股,bottom_area,2022-08-24,3.0,2022-08-24,2.95,1.6949152542372818,6.7796610169491425,29.59427207637232,False,-5.0633,10.0716,1,1,1,100.0,29.2,29.2,6.305084745762718,1.6949152542372818,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-5.06%; 状态bottom_area; 底部未确认
4,77.54816659453078,71.80385795789887,002272,川润股份,bottom_area,2022-08-24,8.51,2022-08-24,8.51,0.0,6.933019976498237,31.037277147487845,False,-9.9471,39.7809,2,2,2,100.0,28.784182569348804,48.337595907928375,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
5,76.94076633824726,71.42404866770129,300552,万集科技,bottom_area,2022-08-24,22.6,2022-08-24,22.57,0.13291980505095763,6.73460345591493,30.145465800061906,False,-5.5973,3.4289,2,2,2,100.0,16.113472167835834,23.929299796057098,7.867080194949043,0.13291980505095763,历史2/2次成功; 当前距低点0.13%; 最新日涨幅-5.60%; 状态bottom_area; 底部未确认
6,76.90255242246704,71.68428772577586,688083,中望软件,bottom_area,2022-08-24,187.65,2022-08-24,187.0,0.3475935828877036,4.695187165775402,27.79086380661854,False,-3.323,1.0076,2,2,2,100.0,20.144091907310933,21.52777777777778,7.652406417112297,0.3475935828877036,历史2/2次成功; 当前距低点0.35%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
7,76.7918592334495,71.36142857142859,002110,三钢闽光,bottom_area,2022-08-24,5.33,2022-08-24,5.32,0.18796992481202604,2.06766917293232,28.398384925975765,False,-1.2963,0.4883,1,1,1,100.0,22.90322580645161,22.90322580645161,7.812030075187974,0.18796992481202604,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
8,75.58354536566627,72.78846818727492,002043,兔宝宝,confirmed_rebound,2022-08-24,8.5,2022-08-04,8.33,2.0408163265306114,8.403361344537807,30.2928870292887,True,-2.2989,1.5728,1,1,1,100.0,14.470588235294123,14.470588235294123,5.959183673469388,2.0408163265306114,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-2.30%; 状态confirmed_rebound; 底部已确认
9,75.42019561350297,70.53221910878445,603180,金牌家居,bottom_area,2022-08-24,23.33,2022-08-10,23.21,0.5170185264971885,5.342524773804388,27.15003138731952,False,-3.0341,0.7766,2,2,2,100.0,16.0269965010647,23.744619799139173,7.482981473502812,0.5170185264971885,历史2/2次成功; 当前距低点0.52%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
10,73.2400186666803,67.99959816686794,688091,上海谊众,bottom_area,2022-08-24,106.32,2022-08-24,106.17,0.14128284826221293,7.374964679287934,29.205841168233643,False,-6.326,5.6397,1,1,1,100.0,14.471629359708471,14.471629359708471,7.858717151737787,0.14128284826221293,历史1/1次成功; 当前距低点0.14%; 最新日涨幅-6.33%; 状态bottom_area; 底部未确认
11,72.7208480868083,68.5095694313406,600248,陕建股份,bottom_area,2022-08-24,4.49,2022-08-03,4.45,0.8988764044943828,5.393258426966296,28.2258064516129,False,-2.603,1.2339,1,1,1,100.0,16.28498727735369,16.28498727735369,7.101123595505618,0.8988764044943828,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
12,72.51137039234384,70.758073008073,000761,本钢板材,confirmed_rebound,2022-08-24,3.39,2022-07-15,3.3,2.7272727272727364,8.484848484848492,31.818181818181817,True,-1.1662,0.251,1,1,1,100.0,11.969111969111971,11.969111969111971,5.272727272727264,2.7272727272727364,历史1/1次成功; 当前距低点2.73%; 最新日涨幅-1.17%; 状态confirmed_rebound; 底部已确认
13,72.40107597854471,67.77061243131965,605069,正和生态,bottom_area,2022-08-24,10.69,2022-08-24,10.63,0.5644402634054442,3.8570084666039355,28.51378614660389,False,-2.2852,1.7033,1,1,1,100.0,8.212560386473426,8.212560386473426,7.4355597365945565,0.5644402634054442,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
14,70.9184133276975,71.34536195039276,000715,中兴商业,bottom_area,2022-08-24,5.08,2022-08-03,4.87,4.312114989733059,7.802874743326487,27.421758569299552,True,-2.1195,1.7351,1,1,1,100.0,24.33862433862435,24.33862433862435,3.6878850102669407,4.312114989733059,历史1/1次成功; 当前距低点4.31%; 最新日涨幅-2.12%; 状态bottom_area; 底部已确认
15,69.0827615251875,67.33968836124657,603297,永新光学,confirmed_rebound,2022-08-24,96.86,2022-08-24,94.34,2.6711893152427346,10.1441594233623,27.00967117988394,False,-6.7219,3.5399,1,1,1,100.0,12.31182795698925,12.31182795698925,5.328810684757265,2.6711893152427346,历史1/1次成功; 当前距低点2.67%; 最新日涨幅-6.72%; 状态confirmed_rebound; 底部未确认
16,68.49909176418555,68.70754579534106,601828,美凯龙,bottom_area,2022-08-24,5.01,2022-08-03,4.81,4.158004158004162,7.692307692307695,27.010622154779973,True,-1.7647,0.5366,1,1,1,100.0,8.267716535433069,8.267716535433069,3.8419958419958387,4.158004158004162,历史1/1次成功; 当前距低点4.16%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
