rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.11070667689751,82.29864634799691,002136,安纳达,bottom_area,2025-06-09,10.92,2025-06-06,10.7,2.0560747663551466,2.7102803738317847,28.428093645484953,False,1.3928,6.0735,1,1,1,100.0,42.29299363057326,42.29299363057326,17.943925233644855,2.0560747663551466,历史1/1次成功; 当前距低点2.06%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
2,94.0241109935054,81.20735855675272,000811,冰轮环境,bottom_area,2025-06-09,9.39,2025-06-03,9.21,1.9543973941368045,6.297502714440806,28.54926299456943,False,0.0,2.2528,1,1,1,100.0,35.17948717948718,35.17948717948718,18.0456026058632,1.9543973941368045,历史1/1次成功; 当前距低点1.95%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,93.02767835344899,80.43417274939173,002889,东方嘉盛,bottom_area,2025-06-09,14.69,2025-06-05,14.4,2.0138888888888826,3.611111111111108,32.92966930600838,False,0.273,1.4768,1,1,1,100.0,31.751824817518237,31.751824817518237,17.986111111111118,2.0138888888888826,历史1/1次成功; 当前距低点2.01%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
4,90.98676372568141,79.21963644140288,605378,野马电池,bottom_area,2025-06-09,17.1,2025-06-06,16.7,2.3952095808383365,4.4311377245509105,32.850824286288706,False,1.5439,1.8728,1,1,1,100.0,29.89631336405531,29.89631336405531,17.604790419161663,2.3952095808383365,历史1/1次成功; 当前距低点2.40%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
5,90.27137014314927,76.96822085889569,688682,霍莱沃,bottom_area,2025-06-09,28.35,2025-06-05,28.0,1.250000000000005,4.607142857142854,31.37254901960784,False,-1.0471,1.6519,1,1,1,100.0,26.22699386503069,26.22699386503069,18.749999999999996,1.250000000000005,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
6,89.72863979782218,76.90648233448555,688188,柏楚电子,bottom_area,2025-06-09,139.5,2025-06-09,137.39,1.5357740738045083,2.8531916442244825,31.50363944560775,False,-1.2809,0.394,1,1,1,100.0,29.3981033481711,29.3981033481711,18.464225926195493,1.5357740738045083,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
7,87.31840295352993,77.08642750422776,600770,综艺股份,bottom_area,2025-06-09,5.56,2025-06-05,5.39,3.153988868274581,4.267161410018561,28.60927152317881,False,2.2059,4.1642,1,1,1,100.0,27.72861356932153,27.72861356932153,16.84601113172542,3.153988868274581,历史1/1次成功; 当前距低点3.15%; 最新日涨幅2.21%; 状态bottom_area; 底部未确认
8,85.58532239809327,75.98194884476356,603192,汇得科技,bottom_area,2025-06-09,21.22,2025-06-05,20.51,3.4617259873232435,4.485616772306183,31.610536845615194,False,0.2362,4.4201,1,1,1,100.0,25.562817719680464,25.562817719680464,16.53827401267676,3.4617259873232435,历史1/1次成功; 当前距低点3.46%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
9,84.07460930170119,75.73956007461298,002779,中坚科技,bottom_area,2025-06-09,98.32,2025-06-06,94.3,4.262990455991512,6.023329798515384,30.809303690659622,False,2.727,5.4562,1,1,1,100.0,34.08160384018072,34.08160384018072,15.73700954400849,4.262990455991512,历史1/1次成功; 当前距低点4.26%; 最新日涨幅2.73%; 状态bottom_area; 底部未确认
10,82.23443511388096,74.68854801569648,688543,国科军工,bottom_area,2025-06-09,45.57,2025-06-04,43.52,4.710477941176464,6.755514705882347,31.604589030331603,False,2.1062,4.4613,1,1,1,100.0,33.916331836445266,33.916331836445266,15.289522058823538,4.710477941176464,历史1/1次成功; 当前距低点4.71%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
11,82.20482974620911,74.37306488829111,688318,财富趋势,bottom_area,2025-06-09,101.06,2025-06-06,96.71,4.497983662496131,6.503980974046124,30.906622847753095,False,3.9819,2.011,1,1,1,100.0,29.615417412808053,29.615417412808053,15.502016337503871,4.497983662496131,历史1/1次成功; 当前距低点4.50%; 最新日涨幅3.98%; 状态bottom_area; 底部未确认
12,82.12515918243115,74.01201811817437,688448,磁谷科技,bottom_area,2025-06-09,29.94,2025-06-03,28.71,4.284221525600837,4.771856495994418,27.113480578827115,False,2.4991,3.9503,1,1,1,100.0,25.053995680345576,25.053995680345576,15.715778474399164,4.284221525600837,历史1/1次成功; 当前距低点4.28%; 最新日涨幅2.50%; 状态bottom_area; 底部未确认
13,68.95992596895006,60.53166748833028,300819,聚杰微纤,bottom_area,2025-06-09,22.81,2025-06-06,22.18,2.840396753832277,4.643823264201989,28.451612903225808,False,1.1082,2.3462,1,2,1,50.0,26.54716175842936,26.54716175842936,17.159603246167723,2.840396753832277,历史1/2次成功; 当前距低点2.84%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
