rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,100.46852884819322,85.6249036777583,002202,金风科技,bottom_area,2022-09-29,11.56,2022-09-28,11.42,1.2259194395796897,4.640980735551658,27.53807106598985,False,0.8726,0.493,1,1,1,100.0,55.172413793103445,55.172413793103445,18.774080560420312,1.2259194395796897,历史1/1次成功; 当前距低点1.23%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
2,99.1611380946565,84.33603079459951,603315,福鞍股份,bottom_area,2022-09-29,19.08,2022-09-29,18.87,1.1128775834658045,3.7625861155272777,31.852654387865652,False,0.6329,0.4517,1,1,1,100.0,41.68490153172865,41.68490153172865,18.887122416534197,1.1128775834658045,历史1/1次成功; 当前距低点1.11%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
3,98.02736673455185,83.41909437445403,688199,久日新材,bottom_area,2022-09-29,33.6,2022-09-28,33.22,1.1438892233594298,4.093919325707404,29.97470489038786,False,0.5386,0.6268,1,1,1,100.0,37.135278514588855,37.135278514588855,18.856110776640573,1.1438892233594298,历史1/1次成功; 当前距低点1.14%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
4,94.04068332579924,81.14800899887514,600110,诺德股份,bottom_area,2022-09-29,8.56,2022-09-28,8.4,1.9047619047619064,5.476190476190465,27.710843373493972,False,1.3018,1.1964,1,1,1,100.0,34.251968503937015,34.251968503937015,18.095238095238095,1.9047619047619064,历史1/1次成功; 当前距低点1.90%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
5,93.70951364995067,80.34438629331835,603155,新亚强,bottom_area,2022-09-29,26.15,2022-09-29,25.75,1.5533980582524218,3.1456310679611597,27.58717660292464,False,0.3839,1.8053,1,1,1,100.0,25.624375624375624,25.624375624375624,18.446601941747577,1.5533980582524218,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
6,93.01278320033131,79.75384543726089,000683,博源化工,bottom_area,2022-09-29,7.17,2022-09-28,7.06,1.5580736543909395,4.6742209631728056,28.17904374364192,False,1.2712,0.9548,1,1,1,100.0,22.50673854447439,22.50673854447439,18.441926345609062,1.5580736543909395,历史1/1次成功; 当前距低点1.56%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
7,92.37479143153304,78.73668652116919,002708,光洋股份,bottom_area,2022-09-29,6.57,2022-09-29,6.49,1.2326656394453015,6.9337442218798175,28.524229074889867,False,-2.9542,2.5093,1,1,1,100.0,35.522388059701484,35.522388059701484,18.7673343605547,1.2326656394453015,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
8,90.89262156244754,77.23927733216412,603356,华菱精工,bottom_area,2022-09-29,12.31,2022-09-26,12.18,1.067323481116591,5.1724137931034555,27.153110047846884,False,-0.7258,0.9995,1,1,1,100.0,25.445026178010465,25.445026178010465,18.932676518883408,1.067323481116591,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
9,90.2465905280804,76.16902336999797,002138,顺络电子,bottom_area,2022-09-29,20.29,2022-09-29,20.15,0.694789081885859,2.1339950372208425,29.12416461484348,False,0.4953,0.6329,1,1,1,100.0,32.49001331557922,32.49001331557922,19.305210918114142,0.694789081885859,历史1/1次成功; 当前距低点0.69%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
10,90.12460470430582,76.83133423400687,002053,云南能投,bottom_area,2022-09-29,10.6,2022-09-29,10.47,1.2416427889207164,3.5339063992359048,28.287671232876704,False,-1.1194,0.6287,1,1,1,100.0,25.38860103626942,25.38860103626942,18.758357211079286,1.2416427889207164,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
11,89.68130080540875,76.24060750038413,002616,长青集团,bottom_area,2022-09-29,4.64,2022-09-29,4.59,1.0893246187363796,7.407407407407404,31.081081081081084,False,-4.1322,3.7001,1,1,1,100.0,30.560578661844474,30.560578661844474,18.910675381263623,1.0893246187363796,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-4.13%; 状态bottom_area; 底部未确认
12,88.90358940909374,78.15740171211378,300502,新易盛,bottom_area,2022-09-29,21.47,2022-09-28,20.86,2.924256951102586,4.985618408437197,28.781153977466712,False,2.7273,1.822,1,1,1,100.0,30.670470756062763,30.670470756062763,17.075743048897415,2.924256951102586,历史1/1次成功; 当前距低点2.92%; 最新日涨幅2.73%; 状态bottom_area; 底部未确认
13,88.75200996555112,75.0347244094488,600135,乐凯胶片,bottom_area,2022-09-29,6.4,2022-09-29,6.35,0.7874015748031609,4.5669291338582685,27.262313860252014,False,-1.2346,0.7034,1,1,1,100.0,56.981132075471706,56.981132075471706,19.212598425196838,0.7874015748031609,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
14,88.0263375983284,73.94084598698484,300446,航天智造,bottom_area,2022-09-29,9.26,2022-09-29,9.22,0.43383947939261547,7.4837310195227715,29.076923076923073,False,-5.2201,3.8489,1,1,1,100.0,51.92697768762679,51.92697768762679,19.566160520607387,0.43383947939261547,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-5.22%; 状态bottom_area; 底部未确认
15,87.86563765204956,76.02066490906655,000688,国城矿业,bottom_area,2022-09-29,16.43,2022-09-29,16.1,2.049689440993778,5.217391304347824,32.88870362651103,False,-0.1216,0.6323,1,1,1,100.0,30.935251798561143,30.935251798561143,17.950310559006223,2.049689440993778,历史1/1次成功; 当前距低点2.05%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
16,87.72795888626639,73.30368532275628,000591,太阳能,bottom_area,2022-09-29,6.82,2022-09-29,6.81,0.14684287812042107,1.7621145374449354,28.61635220125786,False,-0.2924,0.8494,1,1,1,100.0,32.84132841328414,32.84132841328414,19.85315712187958,0.14684287812042107,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
17,87.34991925480192,73.62134818021302,002343,慈文传媒,bottom_area,2022-09-29,4.88,2022-09-29,4.85,0.618556701030933,5.154639175257732,30.615164520743924,False,-2.4,1.9082,1,1,1,100.0,40.33149171270718,40.33149171270718,19.381443298969067,0.618556701030933,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
18,86.94433754298016,73.760155210643,688055,龙腾光电,bottom_area,2022-09-29,4.14,2022-09-29,4.1,0.9756097560975618,4.146341463414633,28.0701754385965,False,-0.7194,0.1646,1,1,1,100.0,45.45454545454546,45.45454545454546,19.024390243902438,0.9756097560975618,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
19,86.41538437868209,72.15916079653483,688183,生益电子,bottom_area,2022-09-29,9.04,2022-09-29,9.03,0.11074197120708514,2.657807308970102,31.900452488687787,False,-0.8772,0.3784,1,1,1,100.0,26.24544349939247,26.24544349939247,19.889258028792916,0.11074197120708514,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
20,86.36864885877439,73.22145144346143,300538,同益股份,bottom_area,2022-09-29,10.76,2022-09-29,10.66,0.9380863039399591,5.065666041275789,30.326797385620917,False,-1.4652,0.5873,2,2,2,100.0,25.431657077658826,30.150753768844226,19.061913696060042,0.9380863039399591,历史2/2次成功; 当前距低点0.94%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
