rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.45008762479404,85.87514426747744,002795,永和智控,bottom_area,2025-08-18,5.06,2025-08-14,4.91,3.0549898167006,5.702647657841146,28.84057971014493,False,2.4291,7.499,6,6,6,100.0,23.766242201907538,32.328767123287676,4.9450101832994005,3.0549898167006,历史6/6次成功; 当前距低点3.05%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
2,87.3960338742759,82.60804944548838,603839,安正时尚,bottom_area,2025-08-18,7.55,2025-08-08,7.47,1.070950468540831,5.488621151271756,28.03468208092486,False,0.2656,1.941,1,1,1,100.0,31.88073394495412,31.88073394495412,6.929049531459169,1.070950468540831,历史1/1次成功; 当前距低点1.07%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
3,85.72394309072378,81.67749271925679,605033,美邦股份,bottom_area,2025-08-18,21.17,2025-08-08,20.86,1.486097794822638,3.4515819750719023,32.926045016077175,False,0.6657,1.9176,1,1,1,100.0,31.96664350243223,31.96664350243223,6.513902205177362,1.486097794822638,历史1/1次成功; 当前距低点1.49%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
4,85.68800613374289,81.93515419683561,603022,新通联,bottom_area,2025-08-18,10.34,2025-07-24,10.17,1.6715830875122901,3.539823008849552,32.33532934131736,False,0.291,3.3102,2,2,2,100.0,18.958944281524914,26.099706744868023,6.328416912487709,1.6715830875122901,历史2/2次成功; 当前距低点1.67%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
5,83.74612771207734,81.30692010881297,000637,茂化实华,bottom_area,2025-08-18,4.16,2025-07-07,4.06,2.4630541871921316,7.142857142857144,27.370304114490168,True,0.241,3.1458,2,2,2,100.0,16.089697073177668,22.627737226277358,5.536945812807868,2.4630541871921316,历史2/2次成功; 当前距低点2.46%; 最新日涨幅0.24%; 状态bottom_area; 底部已确认
6,83.27586150730605,80.83740407106954,003002,壶化股份,bottom_area,2025-08-18,25.46,2025-08-15,24.85,2.4547283702213254,2.857142857142846,28.199942213233165,False,0.3152,2.5294,1,1,1,100.0,39.32357395254923,39.32357395254923,5.545271629778675,2.4547283702213254,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
7,83.21461815752771,79.25996315385133,603511,爱慕股份,bottom_area,2025-08-18,15.2,2025-08-15,14.98,1.4686248331108067,2.2696929238985306,29.999999999999993,False,0.1978,0.8044,1,1,1,100.0,18.754988028731056,18.754988028731056,6.531375166889193,1.4686248331108067,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
8,82.0563012203265,79.38648811678127,600620,天宸股份,bottom_area,2025-08-18,6.28,2025-08-04,6.14,2.2801302931596186,4.560260586319222,27.078384798099762,False,0.641,1.3304,1,1,1,100.0,29.38271604938273,29.38271604938273,5.719869706840382,2.2801302931596186,历史1/1次成功; 当前距低点2.28%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
9,79.6700986727155,78.13333257348019,300069,金利华电,bottom_area,2025-08-18,21.72,2025-08-15,21.09,2.9871977240398246,3.129445234708393,31.45921351966201,False,1.4953,11.0811,1,1,1,100.0,31.312598840274124,31.312598840274124,5.012802275960175,2.9871977240398246,历史1/1次成功; 当前距低点2.99%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
10,76.57092743347918,74.98490524259198,603262,技源集团,bottom_area,2025-08-18,30.75,2025-08-04,29.88,2.9116465863453853,3.078982597054892,28.823249166269648,False,1.4182,13.9484,1,1,1,100.0,13.459459459459449,13.459459459459449,5.088353413654614,2.9116465863453853,历史1/1次成功; 当前距低点2.91%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
11,76.27367801040707,77.02849539500068,002041,登海种业,bottom_area,2025-08-18,9.96,2025-06-23,9.53,4.512067156348389,7.345225603357829,29.719764011799416,True,0.5045,1.1063,2,2,2,100.0,18.2043468358871,21.395106715252467,3.487932843651611,4.512067156348389,历史2/2次成功; 当前距低点4.51%; 最新日涨幅0.50%; 状态bottom_area; 底部已确认
12,71.8236051802273,69.74353484281015,002775,文科股份,bottom_area,2025-08-18,4.56,2025-08-14,4.45,2.471910112359538,4.044943820224713,30.46875,False,0.0,8.0603,2,3,2,66.66666666666666,18.77861952861953,26.909090909090917,5.528089887640462,2.471910112359538,历史2/3次成功; 当前距低点2.47%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
13,71.74493181074767,72.55410943005009,605099,共创草坪,bottom_area,2025-08-18,31.49,2025-08-08,30.11,4.583194951843239,6.775157754898702,27.93202489229297,False,-0.1585,1.0927,2,2,2,100.0,26.687064087379913,44.31372549019606,3.416805048156762,4.583194951843239,历史2/2次成功; 当前距低点4.58%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
14,71.2130128570638,70.86823097431724,603080,新疆火炬,confirmed_rebound,2025-08-18,21.87,2025-08-15,21.08,3.7476280834914744,8.82352941176472,27.310344827586214,False,-1.7079,10.5968,2,2,2,100.0,17.595822605794677,22.385321100917427,4.252371916508526,3.7476280834914744,历史2/2次成功; 当前距低点3.75%; 最新日涨幅-1.71%; 状态confirmed_rebound; 底部未确认
