rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.27053393789063,74.44420454545457,603122,合富中国,bottom_area,2022-04-13,14.11,2022-04-13,14.08,0.2130681818181773,5.610795454545448,27.46007212776919,False,-5.5556,18.0926,1,1,1,100.0,72.1590909090909,72.1590909090909,14.786931818181822,0.2130681818181773,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-5.56%; 状态bottom_area; 底部未确认
2,82.68619856244385,71.90104222821205,300490,华自科技,bottom_area,2022-04-13,12.34,2022-04-13,12.34,0.0,4.294975688816851,28.380731282646547,False,-4.7104,1.6945,2,2,2,100.0,29.306678646301293,32.06349206349206,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-4.71%; 状态bottom_area; 底部未确认
3,82.23055304204576,74.7816041874377,000863,三湘印象,bottom_area,2022-04-13,3.84,2022-04-13,3.75,2.3999999999999964,8.800000000000002,28.57142857142857,False,-7.6923,6.734,2,2,2,100.0,22.116151545363905,25.588235294117638,12.600000000000003,2.3999999999999964,历史2/2次成功; 当前距低点2.40%; 最新日涨幅-7.69%; 状态bottom_area; 底部未确认
4,81.68095106186523,71.39666666666669,000889,中嘉博创,bottom_area,2022-04-13,3.61,2022-04-13,3.6,0.27777777777777185,5.555555555555548,27.85571142284569,False,-5.9896,3.616,1,1,1,100.0,34.408602150537625,34.408602150537625,14.722222222222229,0.27777777777777185,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-5.99%; 状态bottom_area; 底部未确认
5,81.50568433339531,71.08783611886503,002474,榕基软件,bottom_area,2022-04-13,6.23,2022-04-12,6.22,0.16077170418007516,3.2154340836012896,31.11849390919158,False,-2.8081,1.9192,1,1,1,100.0,21.0989010989011,21.0989010989011,14.839228295819925,0.16077170418007516,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
6,81.16209945842625,71.28137883012093,300746,汉嘉数智,bottom_area,2022-04-13,13.22,2022-04-13,13.15,0.5323193916349831,7.984790874524707,32.21649484536081,False,-7.0977,3.7605,1,1,1,100.0,36.90896259703598,36.90896259703598,14.467680608365017,0.5323193916349831,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-7.10%; 状态bottom_area; 底部未确认
7,81.08755867975454,70.59662513317804,300435,中泰股份,bottom_area,2022-04-13,15.4,2022-04-13,15.39,0.06497725795971271,3.3788174139051304,29.306384933394575,False,-4.0498,2.0917,1,1,1,100.0,27.498781082398814,27.498781082398814,14.935022742040289,0.06497725795971271,历史1/1次成功; 当前距低点0.06%; 最新日涨幅-4.05%; 状态bottom_area; 底部未确认
8,81.01092395299203,72.83316506814741,300364,中文在线,bottom_area,2022-04-13,10.26,2022-04-13,10.08,1.785714285714283,9.126984126984127,29.411764705882348,False,-8.5561,9.309,1,1,1,100.0,20.7773851590106,20.7773851590106,13.214285714285717,1.785714285714283,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-8.56%; 状态bottom_area; 底部未确认
9,80.87712955276994,72.72784062652676,300471,厚普股份,bottom_area,2022-04-13,18.13,2022-04-11,17.81,1.7967434025828206,5.9517125210556,28.731492597038816,False,-3.7686,2.3553,1,1,1,100.0,20.346320346320343,20.346320346320343,13.203256597417178,1.7967434025828206,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
10,80.43394486622394,70.9397524350649,300393,中来股份,bottom_area,2022-04-13,13.3,2022-04-13,13.2,0.7575757575757683,9.393939393939396,28.182807399347116,False,-7.9585,6.1899,2,2,2,100.0,21.166801948051944,23.89610389610389,14.242424242424232,0.7575757575757683,历史2/2次成功; 当前距低点0.76%; 最新日涨幅-7.96%; 状态bottom_area; 底部未确认
11,79.44678663342384,74.25529870129867,000875,电投绿能,bottom_area,2022-04-13,6.98,2022-04-12,6.72,3.869047619047629,5.208333333333341,27.114967462039054,False,0.1435,2.1418,1,1,1,100.0,21.27272727272727,21.27272727272727,11.13095238095237,3.869047619047629,历史1/1次成功; 当前距低点3.87%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
