rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.74417191807851,82.14739052554026,002155,湖南黄金,bottom_area,2025-06-25,17.75,2025-06-24,17.57,1.0244735344336922,2.675014228799083,28.548190321268805,False,0.5666,2.0031,1,1,1,100.0,28.834355828220854,28.834355828220854,18.975526465566308,1.0244735344336922,历史1/1次成功; 当前距低点1.02%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
2,90.4153637205992,79.87949912566832,605198,安德利,bottom_area,2025-06-25,40.38,2025-06-20,39.13,3.1944799386659852,5.264502938921531,29.748653500897664,False,0.2981,1.0802,1,1,1,100.0,43.241469816272954,43.241469816272954,16.80552006133402,3.1944799386659852,历史1/1次成功; 当前距低点3.19%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
3,87.59570771253287,77.05588039424023,605377,华旺科技,bottom_area,2025-06-25,8.7,2025-06-23,8.45,2.9585798816568047,2.9585798816568047,30.04966887417219,False,0.2304,0.7487,1,1,1,100.0,25.16904583020285,25.16904583020285,17.041420118343197,2.9585798816568047,历史1/1次成功; 当前距低点2.96%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
4,84.09962082199105,73.30148124421669,600980,北矿科技,bottom_area,2025-06-25,22.13,2025-06-20,21.6,2.453703703703692,4.675925925925917,28.66578599735799,False,-0.3153,11.0488,1,1,1,100.0,21.268417680973737,21.268417680973737,17.54629629629631,2.453703703703692,历史1/1次成功; 当前距低点2.45%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
5,84.0228101621685,75.26566441638391,600770,综艺股份,bottom_area,2025-06-25,5.26,2025-06-23,5.06,3.9525691699604777,4.347826086956535,32.980132450331126,False,0.1905,2.1233,1,1,1,100.0,27.72861356932153,27.72861356932153,16.047430830039524,3.9525691699604777,历史1/1次成功; 当前距低点3.95%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
6,83.13049518623824,74.24871222468393,000999,华润三九,bottom_area,2025-06-25,31.75,2025-06-23,30.59,3.7920889179470416,3.9882314481856778,29.645814167433297,False,1.1469,0.4654,1,1,1,100.0,20.293951384963254,20.293951384963254,16.20791108205296,3.7920889179470416,历史1/1次成功; 当前距低点3.79%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
7,82.41336871709673,70.4542865235089,688136,科兴制药,bottom_area,2025-06-25,39.99,2025-06-23,39.44,1.394523326572019,7.276876267748491,32.23367697594502,True,-0.5966,3.3353,2,4,2,50.0,42.117202731683314,60.65012831479899,18.605476673427983,1.394523326572019,历史2/4次成功; 当前距低点1.39%; 最新日涨幅-0.60%; 状态bottom_area; 底部已确认
8,81.99395772532796,74.74655172413793,603787,新日股份,bottom_area,2025-06-25,12.17,2025-06-23,11.6,4.9137931034482785,7.672413793103454,28.39506172839506,True,-0.3276,5.555,1,1,1,100.0,92.85714285714283,92.85714285714283,15.086206896551724,4.9137931034482785,历史1/1次成功; 当前距低点4.91%; 最新日涨幅-0.33%; 状态bottom_area; 底部已确认
9,81.34077955835066,71.82311521132804,002427,尤夫股份,bottom_area,2025-06-25,8.15,2025-06-23,7.9,3.164556962025316,6.835443037974673,27.389705882352942,False,-0.2448,5.093,1,1,1,100.0,22.033898305084747,22.033898305084747,16.835443037974684,3.164556962025316,历史1/1次成功; 当前距低点3.16%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
10,81.03324148976965,73.57876288659793,603327,福蓉科技,bottom_area,2025-06-25,9.14,2025-06-23,8.73,4.696449026345935,5.040091638029776,28.148148148148145,False,0.5501,0.6966,4,6,4,66.66666666666666,60.30969475756576,129.39632545931758,15.303550973654067,4.696449026345935,历史4/6次成功; 当前距低点4.70%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
11,80.36941299909255,73.15060344827586,603577,汇金通,bottom_area,2025-06-25,9.12,2025-06-23,8.7,4.827586206896551,5.172413793103461,32.34836702954899,False,0.2198,2.9893,1,1,1,100.0,27.083333333333325,27.083333333333325,15.17241379310345,4.827586206896551,历史1/1次成功; 当前距低点4.83%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
12,80.36590483911074,72.9768121666996,600706,曲江文旅,bottom_area,2025-06-25,9.58,2025-06-23,9.15,4.699453551912565,5.792349726775949,27.66798418972332,False,0.3141,4.7411,1,1,1,100.0,24.578313253012034,24.578313253012034,15.300546448087438,4.699453551912565,历史1/1次成功; 当前距低点4.70%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
13,79.21894013130122,70.67807317589747,603681,永冠新材,bottom_area,2025-06-25,14.73,2025-06-20,14.2,3.7323943661971914,5.492957746478881,29.000000000000004,False,-0.8748,4.078,1,1,1,100.0,22.83834586466165,22.83834586466165,16.26760563380281,3.7323943661971914,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
14,78.60801186273399,69.46587128895447,300164,通源石油,bottom_area,2025-06-25,5.79,2025-06-25,5.61,3.208556149732615,5.347593582887697,32.40963855421687,False,-6.462,37.1645,1,1,1,100.0,20.114942528735625,20.114942528735625,16.791443850267385,3.208556149732615,历史1/1次成功; 当前距低点3.21%; 最新日涨幅-6.46%; 状态bottom_area; 底部未确认
15,73.92477220424148,66.8547032221223,002615,哈尔斯,bottom_area,2025-06-25,8.17,2025-06-23,7.82,4.47570332480818,4.859335038363159,30.673758865248217,False,0.0,11.0402,2,3,2,66.66666666666666,27.80989320439935,28.84012539184954,15.52429667519182,4.47570332480818,历史2/3次成功; 当前距低点4.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,71.66139586277602,60.89181159420287,605136,丽人丽妆,bottom_area,2025-06-25,10.46,2025-06-23,10.35,1.0628019323671614,4.927536231884056,28.768066070199588,False,-1.5066,6.0811,1,4,1,25.0,52.667814113597245,52.667814113597245,18.937198067632842,1.0628019323671614,历史1/4次成功; 当前距低点1.06%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
17,70.32746475506073,60.23483453473134,603139,康惠股份,bottom_area,2025-06-25,21.02,2025-06-20,20.71,1.4968614196040497,5.5528730082085875,31.42384105960264,False,0.0476,3.2343,1,4,1,25.0,29.315476190476186,29.315476190476186,18.50313858039595,1.4968614196040497,历史1/4次成功; 当前距低点1.50%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
18,69.15669576129548,62.543719277848474,688114,华大智造,bottom_area,2025-06-25,64.88,2025-06-23,62.1,4.476650563607076,5.024154589371976,28.20809248554913,False,1.7087,1.7439,2,4,2,50.0,24.08861592942264,27.745919717688572,15.523349436392925,4.476650563607076,历史2/4次成功; 当前距低点4.48%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
19,67.89598938717604,59.5898885898554,002041,登海种业,bottom_area,2025-06-25,9.8,2025-06-23,9.53,2.833158447009458,2.938090241343139,29.719764011799416,False,0.4098,0.78,1,2,1,50.0,21.395106715252467,21.395106715252467,17.16684155299054,2.833158447009458,历史1/2次成功; 当前距低点2.83%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
