rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
29,65.64479613608093,59.05395315053062,000995,皇台酒业,bottom_area,2024-10-11,11.2,2024-10-11,11.0,1.818181818181812,9.090909090909092,31.207004377736087,False,-8.347,9.5101,3,7,3,42.857142857142854,20.90311357288476,24.697644812221508,13.181818181818189,1.818181818181812,历史3/7次成功; 当前距低点1.82%; 最新日涨幅-8.35%; 状态bottom_area; 底部未确认
30,65.46864624910346,58.07455473392915,688058,宝兰德,bottom_area,2024-10-11,23.7,2024-10-11,23.45,1.0660980810234542,10.831556503198291,29.494888755261574,False,-8.8462,3.5685,1,2,1,50.0,24.27558257345491,24.27558257345491,13.933901918976547,1.0660980810234542,历史1/2次成功; 当前距低点1.07%; 最新日涨幅-8.85%; 状态bottom_area; 底部未确认
31,65.23495965907759,59.339813286742796,688320,禾川科技,bottom_area,2024-10-11,26.74,2024-10-11,26.11,2.412868632707771,11.29835312140942,28.971708378672467,False,-9.202,5.2817,2,5,2,40.0,35.920181555465064,38.29133374308544,12.587131367292228,2.412868632707771,历史2/5次成功; 当前距低点2.41%; 最新日涨幅-9.20%; 状态bottom_area; 底部未确认
32,63.996757582334695,57.21829669994758,300659,中孚信息,bottom_area,2024-10-11,15.0,2024-10-11,14.78,1.488497970230045,8.795669824086596,28.25242718446603,False,-6.015,6.4694,1,2,1,50.0,24.84984984984984,24.84984984984984,13.511502029769954,1.488497970230045,历史1/2次成功; 当前距低点1.49%; 最新日涨幅-6.01%; 状态bottom_area; 底部未确认
33,63.733043212011054,57.02536518177246,300615,欣天科技,bottom_area,2024-10-11,11.29,2024-10-11,11.12,1.5287769784172658,11.960431654676261,28.165374677002593,False,-7.5348,6.9299,1,2,1,50.0,24.306326304106545,24.306326304106545,13.471223021582734,1.5287769784172658,历史1/2次成功; 当前距低点1.53%; 最新日涨幅-7.53%; 状态bottom_area; 底部未确认
34,63.370611050080754,56.81397982637538,300755,华致酒行,bottom_area,2024-10-11,16.78,2024-10-11,16.51,1.635372501514231,7.813446396123555,32.858885725904834,False,-7.344,2.6103,1,2,1,50.0,24.47650069799908,24.47650069799908,13.364627498485767,1.635372501514231,历史1/2次成功; 当前距低点1.64%; 最新日涨幅-7.34%; 状态bottom_area; 底部未确认
35,63.33977440299332,57.615023536398304,300637,扬帆新材,bottom_area,2024-10-11,10.19,2024-10-11,9.95,2.41206030150754,10.85427135678392,27.37226277372263,False,-6.9406,8.9247,2,5,2,40.0,26.63720980556717,31.810193321616865,12.587939698492459,2.41206030150754,历史2/5次成功; 当前距低点2.41%; 最新日涨幅-6.94%; 状态bottom_area; 底部未确认
36,62.300048646033886,58.60975265364873,688071,华依科技,confirmed_rebound,2024-10-11,20.75,2024-10-11,19.91,4.218985434455047,15.268709191361122,29.646643109540637,False,-9.7434,3.9072,3,5,3,60.0,21.016341097882982,29.494190020505805,10.781014565544952,4.218985434455047,历史3/5次成功; 当前距低点4.22%; 最新日涨幅-9.74%; 状态confirmed_rebound; 底部未确认
37,61.51609510870946,55.80309428352629,688331,荣昌生物,bottom_area,2024-10-11,30.7,2024-10-11,30.02,2.2651565622918044,11.99200532978014,28.506787330316747,False,-7.9736,2.7464,1,2,1,50.0,26.761565836298917,26.761565836298917,12.734843437708196,2.2651565622918044,历史1/2次成功; 当前距低点2.27%; 最新日涨幅-7.97%; 状态bottom_area; 底部未确认
38,61.348760619625565,54.534624790939375,688059,华锐精密,bottom_area,2024-10-11,50.64,2024-10-11,50.05,1.1788211788211858,10.889110889110896,29.50704225352113,False,-7.1167,2.0146,1,5,1,20.0,38.29213483146067,38.29213483146067,13.821178821178815,1.1788211788211858,历史1/5次成功; 当前距低点1.18%; 最新日涨幅-7.12%; 状态bottom_area; 底部未确认
39,59.987800146514466,53.953195457146194,300573,兴齐眼药,bottom_area,2024-10-11,87.35,2024-10-11,85.8,1.8065268065268032,9.615384615384617,32.80601456652831,False,-6.7073,9.6567,1,5,1,20.0,42.86062675283501,42.86062675283501,13.193473193473196,1.8065268065268032,历史1/5次成功; 当前距低点1.81%; 最新日涨幅-6.71%; 状态bottom_area; 底部未确认
40,56.31262649751826,51.990837587629024,300769,德方纳米,bottom_area,2024-10-11,38.58,2024-10-11,37.38,3.21027287319421,11.235955056179762,29.471698113207545,False,-8.3828,9.9993,2,7,2,28.57142857142857,30.946096904441454,41.300000000000004,11.78972712680579,3.21027287319421,历史2/7次成功; 当前距低点3.21%; 最新日涨幅-8.38%; 状态bottom_area; 底部未确认
41,52.673829317416995,49.938540103562104,688326,经纬恒润,confirmed_rebound,2024-10-11,82.86,2024-10-11,79.19,4.6344235383255485,21.530496274782166,31.067200557103064,False,-14.5773,5.8162,1,2,1,50.0,34.48938586529221,34.48938586529221,10.36557646167445,4.6344235383255485,历史1/2次成功; 当前距低点4.63%; 最新日涨幅-14.58%; 状态confirmed_rebound; 底部未确认
