rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.16732038894679,85.11645673893733,000070,特发信息,bottom_area,2024-01-15,7.41,2024-01-10,7.3,1.5068493150684976,3.2876712328767157,29.604628736740597,False,0.1351,0.7033,2,2,2,100.0,34.04340417899739,50.60532687651331,13.493150684931502,1.5068493150684976,历史2/2次成功; 当前距低点1.51%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
2,91.8253120717578,81.59652173913044,600172,黄河旋风,bottom_area,2024-01-15,3.49,2024-01-15,3.45,1.1594202898550736,2.6086956521739086,29.303278688524586,False,-1.9663,1.3946,1,1,1,100.0,51.074589127686465,51.074589127686465,13.840579710144926,1.1594202898550736,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
3,89.847520823529,80.36808074108657,002632,道明光学,bottom_area,2024-01-15,8.05,2024-01-15,7.93,1.5132408575031653,2.1437578814627987,32.04798628963154,False,0.3741,3.6858,1,1,1,100.0,25.259515570934255,25.259515570934255,13.486759142496835,1.5132408575031653,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
4,89.47320057090083,80.33302325581394,603013,亚普股份,bottom_area,2024-01-15,16.62,2024-01-10,16.34,1.7135862913096767,3.671970624235015,28.175824175824175,False,-0.2999,0.369,1,1,1,100.0,53.30739299610896,53.30739299610896,13.286413708690322,1.7135862913096767,历史1/1次成功; 当前距低点1.71%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
5,89.20687693729947,79.66903474903475,600981,苏豪汇鸿,bottom_area,2024-01-15,2.84,2024-01-15,2.8,1.42857142857143,2.85714285714286,28.20512820512821,False,0.7092,0.8431,1,1,1,100.0,20.463320463320475,20.463320463320475,13.571428571428571,1.42857142857143,历史1/1次成功; 当前距低点1.43%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
6,88.27847987270066,76.93974379188018,600996,贵广网络,bottom_area,2024-01-15,8.18,2024-01-15,8.17,0.12239902080783092,2.5703794369645148,27.890556045895853,False,-2.503,0.7617,2,2,2,100.0,35.42372881355932,40.00000000000001,14.877600979192168,0.12239902080783092,历史2/2次成功; 当前距低点0.12%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
7,87.9782242119759,79.15979466290378,600006,东风股份,bottom_area,2024-01-15,5.57,2024-01-10,5.47,1.8281535648994613,3.2906764168190237,27.645502645502646,False,0.1799,0.4015,1,1,1,100.0,22.6235741444867,22.6235741444867,13.171846435100537,1.8281535648994613,历史1/1次成功; 当前距低点1.83%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
8,86.45819269995563,76.75506192790023,002385,大北农,bottom_area,2024-01-15,5.47,2024-01-09,5.41,1.109057301293893,4.251386321626609,27.38255033557047,False,-1.7953,0.8413,1,1,1,100.0,23.353293413173663,23.353293413173663,13.890942698706107,1.109057301293893,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
9,84.6849945203501,76.17727508510295,002413,雷科防务,bottom_area,2024-01-15,5.05,2024-01-10,4.96,1.8145161290322551,4.032258064516133,27.906976744186046,False,-1.751,1.4319,1,1,1,100.0,28.894472361809044,28.894472361809044,13.185483870967746,1.8145161290322551,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
10,84.62008314213267,76.97022111455868,603186,华正新材,bottom_area,2024-01-15,31.01,2024-01-15,30.28,2.410832232496699,3.533685601056804,31.0250569476082,False,1.0098,1.2962,1,1,1,100.0,17.994186046511643,17.994186046511643,12.589167767503302,2.410832232496699,历史1/1次成功; 当前距低点2.41%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
11,83.87015451686452,74.9318547055586,002195,岩山科技,bottom_area,2024-01-15,2.8,2024-01-11,2.76,1.449275362318842,4.347826086956526,29.230769230769234,False,-0.7092,1.0198,1,1,1,100.0,17.72151898734177,17.72151898734177,13.550724637681158,1.449275362318842,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
