rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
103,73.94925495564162,69.44355286349513,603226,菲林格尔,confirmed_rebound,2024-06-06,2.99,2024-06-06,2.94,1.7006802721088528,10.544217687074832,31.46853146853147,False,-7.1429,1.9656,5,7,5,71.42857142857143,23.631126871984005,46.687697160883296,8.299319727891149,1.7006802721088528,历史5/7次成功; 当前距低点1.70%; 最新日涨幅-7.14%; 状态confirmed_rebound; 底部未确认
104,73.63195192307693,66.93813811188811,002319,乐通股份,confirmed_rebound,2024-06-06,9.02,2024-06-06,9.02,0.0,11.308203991130817,28.184713375796182,False,-9.98,2.3573,2,2,2,100.0,12.83945221445222,15.224358974358976,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态confirmed_rebound; 底部未确认
105,73.12688314190491,69.32062781116895,002798,帝欧水华,confirmed_rebound,2024-06-06,3.26,2024-06-06,3.19,2.194357366771155,10.971786833855802,30.802603036876363,False,-7.6487,3.8768,3,4,3,75.0,21.283669932296657,29.776674937965264,7.805642633228846,2.194357366771155,历史3/4次成功; 当前距低点2.19%; 最新日涨幅-7.65%; 状态confirmed_rebound; 底部未确认
106,73.05064001645628,67.12256890968953,300668,杰恩股份,confirmed_rebound,2024-06-06,14.38,2024-06-06,14.3,0.5594405594405599,11.678321678321678,27.48478701825557,False,-8.9873,1.8036,1,1,1,100.0,25.097276264591432,25.097276264591432,9.44055944055944,0.5594405594405599,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-8.99%; 状态confirmed_rebound; 底部未确认
107,72.8207142857143,66.20064935064936,002486,嘉麟杰,confirmed_rebound,2024-06-06,1.52,2024-06-06,1.52,0.0,11.84210526315789,31.531531531531538,False,-10.0592,5.0169,1,1,1,100.0,25.54112554112554,25.54112554112554,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.06%; 状态confirmed_rebound; 底部未确认
108,72.5940047393365,65.99454976303318,002640,跨境通,bottom_area,2024-06-06,1.67,2024-06-06,1.67,0.0,9.580838323353301,31.83673469387756,False,-10.2151,9.1874,1,1,1,100.0,14.218009478673,14.218009478673,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.22%; 状态bottom_area; 底部未确认
109,72.40938069251706,66.6686714933641,002670,国盛证券,bottom_area,2024-06-06,9.07,2024-06-06,9.01,0.6659267480577191,4.994450610432864,32.76119402985075,False,-3.3049,2.6351,1,1,1,100.0,13.747228381374727,13.747228381374727,9.334073251942282,0.6659267480577191,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
110,72.36510824045907,67.48864231694787,688228,开普云,confirmed_rebound,2024-06-06,39.36,2024-06-06,38.84,1.3388259526261481,11.714727085478879,28.339483394833948,False,-7.9514,4.2173,2,3,2,66.66666666666666,35.6693485068216,41.53424657534245,8.661174047373853,1.3388259526261481,历史2/3次成功; 当前距低点1.34%; 最新日涨幅-7.95%; 状态confirmed_rebound; 底部未确认
111,72.33645448609553,65.76041316917775,600202,哈空调,confirmed_rebound,2024-06-06,3.45,2024-06-06,3.45,0.0,11.014492753623186,32.4853228962818,False,-9.9217,4.3989,3,4,3,75.0,27.340931017084763,41.50485436893204,10.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-9.92%; 状态confirmed_rebound; 底部未确认
112,72.24424931355713,68.83026801977623,300640,德艺文创,confirmed_rebound,2024-06-06,3.75,2024-06-06,3.66,2.459016393442619,11.748633879781414,27.091633466135452,False,-6.7164,3.4816,1,1,1,100.0,17.724867724867735,17.724867724867735,7.540983606557382,2.459016393442619,历史1/1次成功; 当前距低点2.46%; 最新日涨幅-6.72%; 状态confirmed_rebound; 底部未确认
