rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.8024190440631,89.58120993939272,688075,安旭生物,bottom_area,2023-01-03,85.58,2022-12-30,83.88,2.026704816404391,2.3843586075345735,29.441453566621806,False,1.5184,3.4178,4,4,4,100.0,31.086542584917854,40.134529147982065,7.973295183595609,2.026704816404391,历史4/4次成功; 当前距低点2.03%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
2,82.09141055376442,80.1087197401946,000411,英特集团,bottom_area,2023-01-03,12.0,2022-12-30,11.57,3.7165082108902308,4.1486603284356125,31.497927767910006,False,3.7165,2.6836,2,2,2,100.0,34.206228285076975,47.98426745329401,6.28349178910977,3.7165082108902308,历史2/2次成功; 当前距低点3.72%; 最新日涨幅3.72%; 状态bottom_area; 底部未确认
3,81.73157445613967,78.83947317872898,002395,双象股份,bottom_area,2023-01-03,9.95,2023-01-03,9.65,3.1088082901554293,3.626943005181343,29.355783308931183,False,2.261,1.0973,1,1,1,100.0,36.59976387249114,36.59976387249114,6.891191709844572,3.1088082901554293,历史1/1次成功; 当前距低点3.11%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
4,80.41187743422776,78.12548821533609,002838,道恩股份,bottom_area,2023-01-03,18.11,2022-12-30,17.5,3.485714285714282,3.828571428571438,30.223285486443373,False,2.4321,2.6306,2,2,2,100.0,20.71460638045511,24.95606326889279,6.514285714285719,3.485714285714282,历史2/2次成功; 当前距低点3.49%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
5,79.09083233214629,73.77509807893057,000721,西安饮食,bottom_area,2023-01-03,15.78,2023-01-03,15.57,1.348747591522152,4.624277456647392,30.33557046979866,False,-8.7861,27.4344,1,1,1,100.0,20.485175202156327,20.485175202156327,8.651252408477848,1.348747591522152,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-8.79%; 状态bottom_area; 底部未确认
6,78.9343781625437,78.18971421761405,000980,众泰汽车,bottom_area,2023-01-03,4.41,2022-12-29,4.22,4.502369668246455,4.739336492891,30.247933884297524,False,3.5211,3.5802,2,2,2,100.0,33.52213473772031,43.49775784753364,5.4976303317535455,4.502369668246455,历史2/2次成功; 当前距低点4.50%; 最新日涨幅3.52%; 状态bottom_area; 底部未确认
7,78.77999269344123,75.22917560489041,603318,水发燃气,bottom_area,2023-01-03,8.75,2022-12-30,8.53,2.5791324736225163,2.8135990621336484,30.819140308191407,False,2.459,2.6523,1,1,1,100.0,10.696761530912658,10.696761530912658,7.420867526377483,2.5791324736225163,历史1/1次成功; 当前距低点2.58%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
8,78.51367087783856,76.37061782658243,001209,洪兴股份,bottom_area,2023-01-03,13.72,2023-01-03,13.25,3.5471698113207593,3.849056603773583,30.042238648363256,False,1.1799,7.9984,2,2,2,100.0,12.033145141901933,13.480885311871237,6.452830188679242,3.5471698113207593,历史2/2次成功; 当前距低点3.55%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
9,78.23576742948838,74.90658583674418,002420,毅昌科技,bottom_area,2023-01-03,7.56,2023-01-03,7.36,2.7173913043478164,3.3967391304347823,31.150608044901773,False,1.3405,7.1175,1,1,1,100.0,10.657193605683846,10.657193605683846,7.2826086956521845,2.7173913043478164,历史1/1次成功; 当前距低点2.72%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
10,77.00081498673558,76.16146160075098,688167,炬光科技,bottom_area,2023-01-03,94.64,2023-01-03,90.63,4.424583471256764,5.483835374600021,29.028974158183246,False,1.4036,3.8358,2,2,2,100.0,21.66404255492686,23.41569581359622,5.5754165287432365,4.424583471256764,历史2/2次成功; 当前距低点4.42%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
11,76.68807579236753,76.68077980951222,002116,中国海诚,bottom_area,2023-01-03,10.51,2022-12-30,10.01,4.9950049950049955,5.494505494505502,30.340988169798187,False,2.9383,2.0467,3,3,3,100.0,14.781673108191493,18.51179673321235,5.004995004995005,4.9950049950049955,历史3/3次成功; 当前距低点5.00%; 最新日涨幅2.94%; 状态bottom_area; 底部未确认
