rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.19829223036106,86.50064499656975,002167,东方锆业,bottom_area,2024-12-24,7.67,2024-12-24,7.49,2.4032042723631473,3.337783711615487,28.049951969260327,False,0.0,4.2358,4,4,4,100.0,19.139520094396374,41.1650485436893,5.596795727636852,2.4032042723631473,历史4/4次成功; 当前距低点2.40%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,88.10367815619401,83.72075129883183,600198,大唐电信,bottom_area,2024-12-24,9.78,2024-12-24,9.65,1.3471502590673472,7.357512953367866,31.994362226920366,False,-7.5614,12.3736,5,5,5,100.0,23.936848868308463,43.60189573459716,6.652849740932654,1.3471502590673472,历史5/5次成功; 当前距低点1.35%; 最新日涨幅-7.56%; 状态bottom_area; 底部未确认
3,87.87166167372722,83.31513483077005,002173,创新医疗,bottom_area,2024-12-24,9.04,2024-12-24,8.93,1.2318029115341482,7.502799552071668,28.041901692183725,False,-8.871,19.6228,4,4,4,100.0,20.342179941225208,27.109266943291825,6.768197088465852,1.2318029115341482,历史4/4次成功; 当前距低点1.23%; 最新日涨幅-8.87%; 状态bottom_area; 底部未确认
4,87.69281524356997,86.28029397511659,603088,宁波精达,bottom_area,2024-12-24,9.48,2024-12-24,9.19,3.155603917301425,4.026115342763885,32.07686622320769,False,1.0661,4.0808,4,4,4,100.0,27.17780057292387,46.15384615384614,4.844396082698575,3.155603917301425,历史4/4次成功; 当前距低点3.16%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
5,87.192239098558,83.48722166645047,300651,金陵体育,bottom_area,2024-12-24,13.43,2024-12-24,13.2,1.7424242424242458,5.000000000000002,30.121757543673905,False,-1.6117,8.7975,5,5,5,100.0,17.311553436439517,25.720461095100855,6.257575757575755,1.7424242424242458,历史5/5次成功; 当前距低点1.74%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
6,87.04168574054054,83.72835380007497,300635,中达安,bottom_area,2024-12-24,10.29,2024-12-24,10.09,1.9821605550049484,6.3429137760158625,27.200577200577197,False,-2.0,4.7291,4,4,4,100.0,21.546665943474423,32.72214386459803,6.017839444995052,1.9821605550049484,历史4/4次成功; 当前距低点1.98%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
7,85.99003170666408,82.83988712020948,600382,广东明珠,bottom_area,2024-12-24,4.46,2024-12-24,4.37,2.0594965675057177,2.2883295194507927,30.079999999999995,False,1.1338,0.9723,3,3,3,100.0,11.911501581303833,17.365269461077848,5.940503432494283,2.0594965675057177,历史3/3次成功; 当前距低点2.06%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
8,84.92402832409428,82.69439669696546,603256,宏和科技,bottom_area,2024-12-24,9.02,2024-12-24,8.79,2.6166097838452838,4.436860068259393,27.83251231527094,False,0.2222,1.1603,3,3,3,100.0,17.958424753401612,22.318339100346023,5.383390216154717,2.6166097838452838,历史3/3次成功; 当前距低点2.62%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
9,84.84327868978187,82.12974099181443,002741,光华科技,bottom_area,2024-12-24,18.16,2024-12-24,17.75,2.3098591549295784,5.126760563380282,29.563492063492063,False,-4.2699,14.3156,4,4,4,100.0,27.183977769106743,40.99999999999999,5.690140845070422,2.3098591549295784,历史4/4次成功; 当前距低点2.31%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
10,84.65899151535945,81.55760803492811,002682,龙洲股份,bottom_area,2024-12-24,4.46,2024-12-24,4.37,2.0594965675057177,5.263157894736832,32.248062015503876,False,-1.5453,5.7444,3,3,3,100.0,27.49064628409217,42.121212121212146,5.940503432494283,2.0594965675057177,历史3/3次成功; 当前距低点2.06%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
11,84.38262961714615,82.68174794513202,000882,华联股份,bottom_area,2024-12-24,2.1,2024-12-24,2.04,2.9411764705882377,4.901960784313729,30.136986301369863,False,0.9615,4.8799,3,3,3,100.0,21.868980097167658,29.268292682926838,5.058823529411763,2.9411764705882377,历史3/3次成功; 当前距低点2.94%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
12,84.33053275261949,81.58672444023453,600250,南京商旅,bottom_area,2024-12-24,9.42,2024-12-24,9.21,2.280130293159599,5.320304017372403,28.10304449648712,False,-1.6701,4.6629,4,4,4,100.0,13.685061874400105,19.004524886877824,5.719869706840401,2.280130293159599,历史4/4次成功; 当前距低点2.28%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
13,83.0122234603869,80.28315689312355,002313,日海智能,bottom_area,2024-12-24,8.59,2024-12-24,8.4,2.261904761904756,7.380952380952372,31.70731707317073,False,-3.0474,5.4731,4,4,4,100.0,16.66827822723863,20.08238928939237,5.738095238095244,2.261904761904756,历史4/4次成功; 当前距低点2.26%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
14,82.9952705271141,80.30353202353201,600327,大东方,bottom_area,2024-12-24,5.37,2024-12-24,5.25,2.285714285714288,4.571428571428576,27.884615384615387,False,-1.105,5.5889,3,3,3,100.0,23.521293521293522,33.030303030303024,5.714285714285712,2.285714285714288,历史3/3次成功; 当前距低点2.29%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
15,82.75226617755186,82.8470716691889,002339,积成电子,confirmed_rebound,2024-12-24,7.69,2024-12-24,7.39,4.059539918809212,10.013531799729378,30.61032863849766,False,0.5229,15.9518,6,6,6,100.0,30.015175720827465,82.94930875576038,3.9404600811907886,4.059539918809212,历史6/6次成功; 当前距低点4.06%; 最新日涨幅0.52%; 状态confirmed_rebound; 底部未确认
16,82.73644091711087,79.63344517583741,605178,时空科技,bottom_area,2024-12-24,14.7,2024-12-24,14.41,2.0124913254684187,7.564191533657182,31.867612293144205,False,-8.1824,9.0537,4,4,4,100.0,10.117878483362354,11.97247706422018,5.987508674531582,2.0124913254684187,历史4/4次成功; 当前距低点2.01%; 最新日涨幅-8.18%; 状态bottom_area; 底部未确认
17,82.68987801322285,80.9849320748059,002495,佳隆股份,bottom_area,2024-12-24,2.47,2024-12-24,2.4,2.9166666666666785,5.833333333333339,27.927927927927932,False,-1.9841,6.6296,4,4,4,100.0,18.252322982827568,38.07339449541283,5.0833333333333215,2.9166666666666785,历史4/4次成功; 当前距低点2.92%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
18,82.50925206624332,80.50782053368285,002148,北纬科技,confirmed_rebound,2024-12-24,6.79,2024-12-23,6.61,2.7231467473524917,10.136157337367624,31.71487603305785,False,2.1053,11.8725,3,3,3,100.0,17.72362966476626,19.756097560975626,5.276853252647508,2.7231467473524917,历史3/3次成功; 当前距低点2.72%; 最新日涨幅2.11%; 状态confirmed_rebound; 底部未确认
19,82.30966801880962,81.31501733520099,688196,卓越新能,confirmed_rebound,2024-12-24,34.99,2024-12-23,33.85,3.3677991137370773,9.010339734121114,29.272879231090677,False,2.3099,1.3788,4,4,4,100.0,13.298921045814655,19.41979522184301,4.632200886262923,3.3677991137370773,历史4/4次成功; 当前距低点3.37%; 最新日涨幅2.31%; 状态confirmed_rebound; 底部未确认
20,82.06460427053537,82.54262892288338,605337,李子园,bottom_area,2024-12-24,11.88,2024-12-24,11.39,4.302019315188764,5.531167690956971,31.673665266946614,False,2.7682,3.5461,4,4,4,100.0,21.135661083407342,37.98882681564246,3.697980684811237,4.302019315188764,历史4/4次成功; 当前距低点4.30%; 最新日涨幅2.77%; 状态bottom_area; 底部未确认
21,82.04026842065366,79.12707773851591,600106,重庆路桥,bottom_area,2024-12-24,5.78,2024-12-24,5.66,2.1201413427561855,4.9469964664310995,29.514321295143205,False,-1.0274,3.2587,1,1,1,100.0,48.50000000000001,48.50000000000001,5.8798586572438145,2.1201413427561855,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
22,81.4858022040261,77.80338042875918,600148,长春一东,bottom_area,2024-12-24,19.1,2024-12-24,18.8,1.5957446808510676,7.180851063829776,27.636643571978443,False,-4.3565,3.517,2,2,2,100.0,28.503646780105495,40.489130434782616,6.404255319148932,1.5957446808510676,历史2/2次成功; 当前距低点1.60%; 最新日涨幅-4.36%; 状态bottom_area; 底部未确认
23,81.46312265361472,78.38045019886603,002162,悦心健康,bottom_area,2024-12-24,3.58,2024-12-24,3.51,1.9943019943020026,6.267806267806273,30.21868787276343,False,-2.1858,3.1209,2,2,2,100.0,26.276659924056922,43.23432343234324,6.005698005697997,1.9943019943020026,历史2/2次成功; 当前距低点1.99%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
24,81.17490216509681,79.20526755975541,300533,冰川网络,bottom_area,2024-12-24,20.75,2024-12-24,20.2,2.722772277227726,5.198019801980202,27.908636688079945,False,-0.9074,5.2542,3,3,3,100.0,22.974130923842026,40.564081294068856,5.277227722772274,2.722772277227726,历史3/3次成功; 当前距低点2.72%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
25,80.66727375635699,77.94102491935114,000620,盈新发展,bottom_area,2024-12-24,2.31,2024-12-24,2.26,2.2123893805309858,3.539823008849561,27.795527156549525,False,-0.431,1.161,6,7,6,85.71428571428571,24.206535290885213,58.4192439862543,5.787610619469015,2.2123893805309858,历史6/7次成功; 当前距低点2.21%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
26,80.0503518722596,77.62458363370628,002799,环球印务,bottom_area,2024-12-24,7.68,2024-12-24,7.5,2.3999999999999964,5.0666666666666655,31.19266055045872,False,-0.6468,3.5173,3,3,3,100.0,10.519266847883205,11.202830188679236,5.600000000000003,2.3999999999999964,历史3/3次成功; 当前距低点2.40%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
27,79.96756760684605,74.044044080413,600272,开开实业,confirmed_rebound,2024-12-24,14.99,2024-12-24,14.99,0.0,11.007338225483657,29.822097378277153,False,-10.024,16.6013,3,3,3,100.0,34.37658107748923,64.5397489539749,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态confirmed_rebound; 底部未确认
28,79.84226008312567,77.84297507056073,002474,榕基软件,bottom_area,2024-12-24,6.51,2024-12-24,6.34,2.6813880126182954,6.15141955835963,30.634573304157552,False,-1.3636,6.9597,3,3,3,100.0,15.142686770593746,21.0989010989011,5.318611987381705,2.6813880126182954,历史3/3次成功; 当前距低点2.68%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
29,79.64372886333751,78.82124629332027,002374,中锐股份,bottom_area,2024-12-24,2.99,2024-12-24,2.89,3.4602076124567507,6.920415224913485,29.166666666666664,False,-1.6447,2.8773,4,4,4,100.0,13.28236370818097,20.94240837696336,4.539792387543249,3.4602076124567507,历史4/4次成功; 当前距低点3.46%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
30,78.30323338868794,77.12045337832603,601929,吉视传媒,bottom_area,2024-12-24,1.93,2024-12-24,1.87,3.208556149732611,5.347593582887693,32.49097472924187,False,-0.5155,6.1647,3,3,3,100.0,17.72022257912035,20.212765957446805,4.791443850267389,3.208556149732611,历史3/3次成功; 当前距低点3.21%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
31,78.17266953212399,77.07813295171997,002235,安妮股份,confirmed_rebound,2024-12-24,5.69,2024-12-24,5.51,3.2667876588021887,9.437386569872967,32.80487804878048,False,-0.1754,14.1882,3,3,3,100.0,28.421552762306185,46.16438356164384,4.733212341197811,3.2667876588021887,历史3/3次成功; 当前距低点3.27%; 最新日涨幅-0.18%; 状态confirmed_rebound; 底部未确认
32,77.72530382510745,75.69497548343347,002670,国盛证券,bottom_area,2024-12-24,13.69,2024-12-24,13.34,2.6236881559220366,2.6236881559220366,30.303030303030305,False,0.8843,4.1563,1,1,1,100.0,13.747228381374727,13.747228381374727,5.376311844077963,2.6236881559220366,历史1/1次成功; 当前距低点2.62%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
33,77.41486233899577,75.2356839411783,600206,有研新材,bottom_area,2024-12-24,16.71,2024-12-24,16.3,2.515337423312884,3.37423312883436,27.55555555555555,False,1.3956,5.0942,1,1,1,100.0,9.949748743718596,9.949748743718596,5.484662576687116,2.515337423312884,历史1/1次成功; 当前距低点2.52%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
34,77.40277268575994,76.53632373778503,600408,安泰集团,bottom_area,2024-12-24,2.12,2024-12-24,2.05,3.4146341463414775,4.87804878048781,28.321678321678323,False,-0.4695,3.1858,3,3,3,100.0,17.10585801851391,21.457489878542503,4.585365853658523,3.4146341463414775,历史3/3次成功; 当前距低点3.41%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
35,77.12213575973183,71.40938496271465,000586,汇源通信,bottom_area,2024-12-24,10.0,2024-12-24,10.0,0.0,4.900000000000002,29.87377279102384,False,-9.991,9.6165,2,2,2,100.0,26.66336001459488,30.06430868167203,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
36,76.9741628618794,75.4322870387093,603058,永吉股份,bottom_area,2024-12-24,9.08,2024-12-23,8.82,2.94784580498866,7.482993197278913,27.227722772277218,False,2.2523,2.0544,1,1,1,100.0,16.308470290771165,16.308470290771165,5.052154195011341,2.94784580498866,历史1/1次成功; 当前距低点2.95%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
37,75.84100876514009,73.29907745522497,002383,合众思壮,bottom_area,2024-12-24,8.72,2024-12-24,8.53,2.227432590855818,5.509964830011731,28.379513014273726,False,-0.3429,4.9779,1,1,1,100.0,18.48184818481848,18.48184818481848,5.772567409144182,2.227432590855818,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
