rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.6206947874364,80.27622338982152,300644,南京聚隆,bottom_area,2024-06-05,21.51,2024-06-05,21.5,0.046511627906984016,5.069767441860464,30.37564766839378,False,-4.7809,11.0913,3,3,3,100.0,45.97994570671739,78.38246409674981,7.953488372093016,0.046511627906984016,历史3/3次成功; 当前距低点0.05%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
2,86.33538220921679,79.94016871223776,002551,尚荣医疗,bottom_area,2024-06-05,2.52,2024-06-05,2.52,0.0,3.9682539682539715,27.999999999999996,False,-2.3256,1.8728,4,4,4,100.0,28.9794016786977,52.61780104712043,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
3,83.65058503046325,78.3774822491733,300511,雪榕生物,bottom_area,2024-06-05,3.27,2024-06-05,3.25,0.6153846153846159,3.9999999999999964,32.150313152400834,False,-2.9674,2.2573,5,5,5,100.0,15.86322135618395,29.220779220779214,7.384615384615384,0.6153846153846159,历史5/5次成功; 当前距低点0.62%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
4,83.53929844087472,77.66811547449744,002693,双成药业,bottom_area,2024-06-05,4.72,2024-06-05,4.71,0.21231422505307404,3.3970276008492597,29.49101796407185,False,-3.0801,1.8917,4,4,4,100.0,17.323612406550794,34.61538461538462,7.787685774946926,0.21231422505307404,历史4/4次成功; 当前距低点0.21%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
5,83.39969743843602,79.59870501300863,002247,聚力文化,bottom_area,2024-06-05,1.29,2024-06-05,1.27,1.5748031496063006,4.724409448818902,27.84090909090909,False,-3.7313,2.1816,3,3,3,100.0,21.232560183392433,32.967032967032964,6.4251968503937,1.5748031496063006,历史3/3次成功; 当前距低点1.57%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
6,82.46039766161218,77.82501505657935,300752,隆利科技,bottom_area,2024-06-05,13.23,2024-06-04,13.1,0.9923664122137463,6.793893129770997,27.019498607242337,False,-0.9731,4.0844,4,4,4,100.0,17.51403481949826,21.807655194596325,7.007633587786254,0.9923664122137463,历史4/4次成功; 当前距低点0.99%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
7,82.09137205290688,76.01052967861747,002178,延华智能,bottom_area,2024-06-05,3.29,2024-06-05,3.29,0.0,3.0395136778115526,27.050997782705092,False,-3.5191,2.5688,4,4,4,100.0,18.067363863534723,29.076086956521735,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
8,81.91907339018427,76.86494032755078,000510,新金路,bottom_area,2024-06-05,2.92,2024-06-05,2.9,0.6896551724137937,4.482758620689651,27.86069651741293,False,-3.9474,2.5578,4,4,4,100.0,18.856742584162507,23.043478260869577,7.310344827586207,0.6896551724137937,历史4/4次成功; 当前距低点0.69%; 最新日涨幅-3.95%; 状态bottom_area; 底部未确认
9,81.91572778410915,79.31370505686543,002837,英维克,bottom_area,2024-06-05,23.8,2024-05-31,23.26,2.321582115219257,5.546001719690452,30.108173076923073,False,-2.6983,1.1576,3,3,3,100.0,18.639313330996423,24.517374517374524,5.6784178847807425,2.321582115219257,历史3/3次成功; 当前距低点2.32%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
10,81.9002842971441,76.07273223072104,301382,蜂助手,bottom_area,2024-06-05,18.38,2024-06-05,18.35,0.16348773841960534,4.250681198910068,29.639570552147234,False,-3.0079,2.5077,3,3,3,100.0,24.8144315823534,47.676579925650564,7.836512261580395,0.16348773841960534,历史3/3次成功; 当前距低点0.16%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
11,80.57264698496509,75.78131239483974,000679,大连友谊,bottom_area,2024-06-05,2.48,2024-06-05,2.46,0.8130081300813016,4.471544715447149,29.51289398280803,False,-4.6154,2.5558,6,6,6,100.0,14.54285447002747,24.94061757719715,7.186991869918699,0.8130081300813016,历史6/6次成功; 当前距低点0.81%; 最新日涨幅-4.62%; 状态bottom_area; 底部未确认
12,80.41523192074527,75.15106184687784,000518,四环生物,bottom_area,2024-06-05,2.09,2024-06-05,2.08,0.48076923076922046,2.8846153846153872,32.467532467532465,False,-1.4151,1.2232,3,3,3,100.0,13.53341770447127,17.834394904458602,7.51923076923078,0.48076923076922046,历史3/3次成功; 当前距低点0.48%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
13,80.31712751431766,74.57924837566556,002313,日海智能,bottom_area,2024-06-05,6.79,2024-06-05,6.78,0.14749262536872842,3.687315634218289,27.48663101604277,False,-3.6879,1.8103,3,3,3,100.0,16.588879362936876,20.08238928939237,7.852507374631272,0.14749262536872842,历史3/3次成功; 当前距低点0.15%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
14,80.12755636689747,76.32249295024747,300464,星徽股份,bottom_area,2024-06-05,3.45,2024-06-05,3.4,1.4705882352941255,7.058823529411772,28.57142857142857,False,-5.2198,5.8434,2,2,2,100.0,19.007710358699292,23.68421052631579,6.529411764705875,1.4705882352941255,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-5.22%; 状态bottom_area; 底部未确认
15,80.00932001532587,74.55659971904211,603011,合锻智能,bottom_area,2024-06-05,6.06,2024-06-05,6.04,0.33112582781456246,2.6490066225165587,29.76744186046511,False,-2.7287,2.0767,2,2,2,100.0,25.169712937953285,41.201716738197426,7.668874172185437,0.33112582781456246,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
16,79.25751725394989,76.14309299895504,600358,国旅联合,bottom_area,2024-06-05,2.66,2024-06-05,2.61,1.9157088122605466,4.2145593869731925,27.298050139275766,False,-1.845,2.6703,2,2,2,100.0,13.284457478005871,18.181818181818198,6.084291187739453,1.9157088122605466,历史2/2次成功; 当前距低点1.92%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
17,78.40880972566578,73.07514519544543,000521,长虹美菱,bottom_area,2024-06-05,8.9,2024-06-05,8.87,0.33821871476889676,5.411499436302147,29.825949367088615,False,-3.8877,4.5328,3,3,3,100.0,10.840235833970437,13.407821229050265,7.661781285231103,0.33821871476889676,历史3/3次成功; 当前距低点0.34%; 最新日涨幅-3.89%; 状态bottom_area; 底部未确认
18,78.1339299623091,73.95564493758668,002285,世联行,bottom_area,2024-06-05,1.77,2024-06-05,1.75,1.142857142857144,4.0000000000000036,31.906614785992215,False,-3.8043,2.1301,1,1,1,100.0,18.932038834951463,18.932038834951463,6.857142857142856,1.142857142857144,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-3.80%; 状态bottom_area; 底部未确认
