rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.44164855322953,91.72344988130486,001212,中旗新材,bottom_area,2024-06-21,21.12,2024-06-21,20.83,1.3922227556409155,2.256361017762854,27.040280210157626,False,0.7153,1.323,4,4,4,100.0,34.82643959229107,82.06521739130437,6.607777244359085,1.3922227556409155,历史4/4次成功; 当前距低点1.39%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
2,94.33701741346209,89.16435384175442,300639,凯普生物,bottom_area,2024-06-21,4.73,2024-06-21,4.68,1.0683760683760837,2.991452991453004,31.378299120234608,False,0.2119,0.8247,4,4,4,100.0,17.09812514866608,33.27433628318583,6.931623931623916,1.0683760683760837,历史4/4次成功; 当前距低点1.07%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,92.47304510163306,87.93118232789901,603326,我乐家居,bottom_area,2024-06-21,5.87,2024-06-21,5.79,1.381692573402419,2.763385146804838,28.78228782287823,False,0.1706,0.8467,4,4,4,100.0,14.30882470568014,20.141843971631218,6.61830742659758,1.381692573402419,历史4/4次成功; 当前距低点1.38%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
4,91.14886023429789,87.91596037125704,002761,浙江建投,bottom_area,2024-06-21,8.18,2024-06-21,8.01,2.1223470661672903,3.4956304619225884,30.347826086956527,False,1.7413,1.7131,6,6,6,100.0,23.305976785583134,43.73730534867976,5.877652933832709,2.1223470661672903,历史6/6次成功; 当前距低点2.12%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
5,89.48848386349462,84.735503875969,000718,苏宁环球,bottom_area,2024-06-21,1.74,2024-06-20,1.72,1.1627906976744196,4.069767441860469,29.795918367346946,False,0.578,0.6425,2,2,2,100.0,27.77777777777778,36.111111111111114,6.837209302325581,1.1627906976744196,历史2/2次成功; 当前距低点1.16%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
6,89.3964788150514,85.2911020904737,000705,浙江震元,bottom_area,2024-06-21,7.18,2024-06-06,7.07,1.5558698727015479,5.799151343705801,27.26337448559671,False,0.7013,1.4226,3,3,3,100.0,18.916588173296947,34.04605263157895,6.444130127298453,1.5558698727015479,历史3/3次成功; 当前距低点1.56%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
7,88.20553781624858,81.85425403123257,300409,道氏技术,bottom_area,2024-06-21,8.64,2024-06-21,8.63,0.11587485515642858,2.780996523754327,27.234401349072503,False,-1.8182,1.2593,5,5,5,100.0,28.432519897791487,50.03460207612457,7.884125144843572,0.11587485515642858,历史5/5次成功; 当前距低点0.12%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
8,86.92611494422108,80.60136882808634,002240,盛新锂能,bottom_area,2024-06-21,13.59,2024-06-21,13.58,0.0736377025036803,3.976435935198815,28.937728937728934,False,-2.6504,1.2498,4,4,4,100.0,21.178832203197413,33.42198581560282,7.92636229749632,0.0736377025036803,历史4/4次成功; 当前距低点0.07%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
9,85.85495509730798,81.82073814700429,000034,神州数码,bottom_area,2024-06-21,23.04,2024-06-21,22.7,1.4977973568281933,2.2907488986784124,27.637870576984387,False,0.1739,3.097,2,2,2,100.0,16.213527529960025,16.910866910866908,6.502202643171808,1.4977973568281933,历史2/2次成功; 当前距低点1.50%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
10,85.56907432850323,81.21688084090185,002790,瑞尔特,bottom_area,2024-06-21,9.45,2024-06-21,9.33,1.286173633440506,1.9292604501607686,32.732516222062,False,-0.1057,1.0941,1,1,1,100.0,49.512670565302145,49.512670565302145,6.713826366559495,1.286173633440506,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
11,85.53034935680435,79.92428571428573,002687,乔治白,bottom_area,2024-06-21,4.22,2024-06-06,4.2,0.476190476190466,5.714285714285719,28.2051282051282,False,0.0,0.9344,1,1,1,100.0,64.00000000000001,64.00000000000001,7.523809523809534,0.476190476190466,历史1/1次成功; 当前距低点0.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,84.89363933986691,82.14722466451593,600162,香江控股,bottom_area,2024-06-21,1.34,2024-06-20,1.31,2.2900763358778646,3.8167938931297747,31.770833333333325,False,1.5152,0.4145,2,2,2,100.0,27.68063822751323,28.90624999999999,5.709923664122135,2.2900763358778646,历史2/2次成功; 当前距低点2.29%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
13,83.82403954305641,78.64522474361306,600322,津投城开,bottom_area,2024-06-21,1.47,2024-06-21,1.46,0.6849315068493157,3.424657534246579,29.468599033816425,False,-1.3423,1.0905,4,4,4,100.0,18.15520741521231,35.828877005347586,7.315068493150684,0.6849315068493157,历史4/4次成功; 当前距低点0.68%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
14,83.74736269799529,82.16405535394838,603030,全筑股份,bottom_area,2024-06-21,1.37,2024-06-21,1.33,3.0075187969924837,4.511278195488709,31.79487179487179,False,-2.1429,1.0492,5,5,5,100.0,25.70536672629696,50.5813953488372,4.992481203007516,3.0075187969924837,历史5/5次成功; 当前距低点3.01%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
15,83.58324137931034,80.05,002491,通鼎互联,confirmed_rebound,2024-06-21,3.48,2024-06-06,3.42,1.7543859649122824,8.479532163742691,29.48453608247422,True,-0.8547,0.494,1,1,1,100.0,52.39520958083833,52.39520958083833,6.245614035087718,1.7543859649122824,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-0.85%; 状态confirmed_rebound; 底部已确认
16,82.83262676931339,77.12618100694948,002602,世纪华通,bottom_area,2024-06-21,3.46,2024-06-21,3.45,0.2898550724637619,2.6086956521739086,27.97494780793319,False,-1.4245,0.9086,3,3,3,100.0,21.812099850359413,36.8279569892473,7.710144927536239,0.2898550724637619,历史3/3次成功; 当前距低点0.29%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
17,82.67749320138802,78.35693548387098,000520,凤凰航运,bottom_area,2024-06-21,2.51,2024-06-21,2.48,1.209677419354831,4.435483870967737,29.142857142857142,False,-4.1985,4.475,2,2,2,100.0,26.74731182795698,28.49462365591398,6.790322580645169,1.209677419354831,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-4.20%; 状态bottom_area; 底部未确认
18,82.59277071867218,80.06791077500975,688105,诺唯赞,bottom_area,2024-06-21,20.6,2024-06-20,20.12,2.385685884691851,3.876739562624242,30.977701543739272,False,0.5859,0.5525,2,2,2,100.0,17.673519312404096,25.237580993520524,5.614314115308149,2.385685884691851,历史2/2次成功; 当前距低点2.39%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
