rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,80.84239115355122,77.945518345741,000650,仁和药业,bottom_area,2023-02-13,6.35,2023-01-12,6.16,3.0844155844155763,5.844155844155835,27.444051825677267,False,0.4747,2.1193,2,2,2,100.0,14.827881065637138,17.19038817005545,6.915584415584425,3.0844155844155763,历史2/2次成功; 当前距低点3.08%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
2,62.27676761233813,59.91474404887296,000419,通程控股,bottom_area,2023-02-13,6.24,2023-01-19,6.06,2.9702970297029805,4.620462046204625,29.039812646370024,False,0.8078,2.2794,1,2,1,50.0,24.82269503546099,24.82269503546099,7.029702970297019,2.9702970297029805,历史1/2次成功; 当前距低点2.97%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
3,60.672813417267896,58.49915407627897,002349,精华制药,bottom_area,2023-02-13,12.03,2023-01-19,11.67,3.0848329048843137,5.3984575835475646,28.44880441446965,False,0.7538,1.3332,1,2,1,50.0,18.615984405458093,18.615984405458093,6.915167095115687,3.0848329048843137,历史1/2次成功; 当前距低点3.08%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
4,59.87007295645534,58.47183346065701,300434,金石亚药,bottom_area,2023-02-13,12.42,2023-01-19,11.97,3.759398496240595,6.766917293233071,31.127733026467197,False,2.1382,2.5208,1,2,1,50.0,26.7379679144385,26.7379679144385,6.240601503759406,3.759398496240595,历史1/2次成功; 当前距低点3.76%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
5,53.89147547663317,53.41524318796935,002589,瑞康医药,bottom_area,2023-02-13,4.15,2023-01-31,3.97,4.53400503778338,5.2896725440805925,27.55474452554745,False,0.2415,1.8789,1,3,1,33.33333333333333,28.49162011173183,28.49162011173183,5.46599496221662,4.53400503778338,历史1/3次成功; 当前距低点4.53%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
