rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.36264714211265,83.24278066920631,002406,远东传动,bottom_area,2025-03-28,7.93,2025-03-28,7.83,1.2771392081736863,5.7471264367816,28.033088235294123,False,0.507,16.5508,4,5,4,80.0,31.154075612055404,67.88321167883211,8.722860791826314,1.2771392081736863,历史4/5次成功; 当前距低点1.28%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
2,87.9210316786777,81.91251485000255,300720,海川智能,bottom_area,2025-03-28,20.49,2025-03-28,20.23,1.2852199703410676,2.6198714780029717,31.423728813559322,False,-0.2434,2.8948,4,5,4,80.0,46.57428162569997,75.69193742478939,8.714780029658934,1.2852199703410676,历史4/5次成功; 当前距低点1.29%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
3,85.7561802412232,77.96016385565746,002173,创新医疗,bottom_area,2025-03-28,9.14,2025-03-28,9.14,0.0,2.735229759299781,31.22648607975921,False,-2.8693,7.0926,5,5,5,100.0,18.334214277728204,27.109266943291825,10.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
4,85.75346830225968,81.28336280173932,688031,星环科技,bottom_area,2025-03-28,50.86,2025-03-27,49.77,2.1900743419730686,7.353827606992157,28.16108545034642,True,-2.3425,3.0871,3,3,3,100.0,18.42329194321459,22.70402945387605,7.809925658026932,2.1900743419730686,历史3/3次成功; 当前距低点2.19%; 最新日涨幅-2.34%; 状态bottom_area; 底部已确认
5,85.47012816886154,78.16209342735638,603028,赛福天,bottom_area,2025-03-28,6.46,2025-03-28,6.44,0.3105590062111735,3.881987577639751,29.540481400437635,False,-2.2693,9.5204,3,3,3,100.0,27.635311621063757,43.67816091954023,9.689440993788827,0.3105590062111735,历史3/3次成功; 当前距低点0.31%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
6,84.9325312238263,77.56269507278255,002164,宁波东力,bottom_area,2025-03-28,8.43,2025-03-28,8.41,0.2378121284185443,3.686087990487521,31.847649918962723,False,-1.0563,9.5641,3,3,3,100.0,23.5210039009507,45.468509984639034,9.762187871581457,0.2378121284185443,历史3/3次成功; 当前距低点0.24%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
7,84.57543962430772,79.72940771241555,002725,跃岭股份,bottom_area,2025-03-28,11.78,2025-03-24,11.56,1.903114186851201,7.698961937716252,27.795128044971896,False,-0.4227,2.5919,3,3,3,100.0,15.744666980840336,18.562874251497018,8.096885813148798,1.903114186851201,历史3/3次成功; 当前距低点1.90%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
8,84.23328471781866,76.57571337983514,002093,国脉科技,bottom_area,2025-03-28,10.81,2025-03-28,10.81,0.0,3.6077705827936986,31.926952141057935,False,-0.3687,7.217,3,3,3,100.0,27.557598816317896,52.409638554216855,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
9,83.89090073134265,76.73097241375353,001202,炬申股份,bottom_area,2025-03-28,15.7,2025-03-28,15.65,0.31948881789136696,2.492012779552708,29.914912673533355,False,-4.0929,10.6842,6,6,6,100.0,13.598961927665792,15.531135531135526,9.680511182108633,0.31948881789136696,历史6/6次成功; 当前距低点0.32%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
10,83.44933315831585,76.4917913212387,600203,福日电子,bottom_area,2025-03-28,9.29,2025-03-28,9.25,0.43243243243242324,3.135135135135126,30.711610486891384,False,-2.5184,4.904,3,3,3,100.0,20.149125092390385,24.045801526717554,9.567567567567577,0.43243243243242324,历史3/3次成功; 当前距低点0.43%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
11,83.0125604103206,75.79709339596761,603315,福鞍股份,bottom_area,2025-03-28,13.11,2025-03-28,13.08,0.22935779816513271,2.6758409785932695,32.472896231285496,False,-0.757,4.916,2,2,2,100.0,30.59155470851666,41.68490153172865,9.77064220183487,0.22935779816513271,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
12,82.48095781272252,75.19559991242018,301366,一博科技,bottom_area,2025-03-28,53.94,2025-03-28,53.86,0.14853323431117396,3.137764574823613,28.662251655629138,False,-1.8559,4.9628,2,2,2,100.0,26.366966057256242,36.479591836734706,9.851466765688826,0.14853323431117396,历史2/2次成功; 当前距低点0.15%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
13,82.38201557593703,77.37341583343668,002580,圣阳股份,bottom_area,2025-03-28,13.1,2025-03-28,12.88,1.7080745341614818,3.027950310558997,30.340724716062727,False,-0.4559,7.1128,2,2,2,100.0,17.353901996370237,24.0,8.291925465838519,1.7080745341614818,历史2/2次成功; 当前距低点1.71%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
14,80.77278159915105,74.75116034882873,002279,久其软件,bottom_area,2025-03-28,6.48,2025-03-25,6.42,0.9345794392523442,3.4267912772585634,27.04545454545455,False,-1.0687,2.1955,3,3,3,100.0,16.94624446410791,25.915492957746476,9.065420560747656,0.9345794392523442,历史3/3次成功; 当前距低点0.93%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
15,79.30522763605259,72.73054591355182,301389,隆扬电子,bottom_area,2025-03-28,21.87,2025-03-28,21.77,0.45934772622876174,3.7666513550757936,29.31818181818182,False,-2.5401,6.0447,2,2,2,100.0,16.92397166319034,18.998628257887525,9.540652273771238,0.45934772622876174,历史2/2次成功; 当前距低点0.46%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
16,78.70726471558163,74.10438900666264,300509,新美星,bottom_area,2025-03-28,7.76,2025-03-25,7.62,1.8372703412073448,6.167979002624668,29.769585253456217,False,-1.6477,2.0934,1,1,1,100.0,18.028846153846153,18.028846153846153,8.162729658792657,1.8372703412073448,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
17,78.47899046309746,71.6011571567398,300713,英可瑞,bottom_area,2025-03-28,15.98,2025-03-28,15.95,0.188087774294678,4.576802507836994,31.545064377682408,False,-2.8571,7.6844,4,5,4,80.0,17.5268671082348,23.73271889400922,9.811912225705322,0.188087774294678,历史4/5次成功; 当前距低点0.19%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
18,78.46516269484869,72.22408768431347,300605,恒锋信息,bottom_area,2025-03-28,13.91,2025-03-28,13.82,0.6512301013024592,3.039073806078147,31.0379241516966,False,-1.2074,4.9884,2,2,2,100.0,16.553184490769308,18.429752066115707,9.348769898697542,0.6512301013024592,历史2/2次成功; 当前距低点0.65%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
19,77.81076074623881,71.1286850817611,688023,安恒信息,bottom_area,2025-03-28,52.01,2025-03-28,51.86,0.2892402622445017,2.8731199382954147,27.851975514746798,False,-1.4962,1.522,3,4,3,75.0,27.05996171870196,39.261744966442954,9.710759737755499,0.2892402622445017,历史3/4次成功; 当前距低点0.29%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
20,76.51894373670497,75.76972814127818,000736,中交地产,bottom_area,2025-03-28,5.36,2025-03-25,5.13,4.483430799220281,7.992202729044837,29.822161422708614,True,-0.1862,2.4183,3,3,3,100.0,16.892206255378625,19.029126213592225,5.51656920077972,4.483430799220281,历史3/3次成功; 当前距低点4.48%; 最新日涨幅-0.19%; 状态bottom_area; 底部已确认
21,76.06872130553324,69.31605128205129,002730,电光科技,bottom_area,2025-03-28,16.27,2025-03-28,16.25,0.12307692307692046,2.7692307692307647,27.45535714285714,False,-2.047,2.947,2,3,2,66.66666666666666,66.31186981320792,113.1578947368421,9.876923076923081,0.12307692307692046,历史2/3次成功; 当前距低点0.12%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
22,74.19006234413965,67.44551122194513,002927,泰永长征,bottom_area,2025-03-28,14.31,2025-03-28,14.31,0.0,3.4241788958770107,32.115749525616685,False,-2.9831,5.5935,1,1,1,100.0,11.803823773898586,11.803823773898586,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
23,73.27439411919588,67.61709700325672,002196,方正电机,bottom_area,2025-03-28,9.0,2025-03-28,8.93,0.7838745800671924,4.031354983202681,31.254811393379526,False,-1.2075,9.8687,3,4,3,75.0,14.243715300053324,18.661971830985923,9.216125419932808,0.7838745800671924,历史3/4次成功; 当前距低点0.78%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
24,73.24229418839374,66.75694532485859,002123,梦网科技,bottom_area,2025-03-28,14.73,2025-03-28,14.71,0.13596193065941245,2.243371855880342,28.13873961895456,False,-0.5402,3.9702,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,9.86403806934059,0.13596193065941245,历史2/3次成功; 当前距低点0.14%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
25,73.08798992511949,67.04739880625414,002724,海洋王,bottom_area,2025-03-28,6.36,2025-03-28,6.33,0.4739336492891035,6.9510268562401185,32.154340836012864,False,-7.6923,10.793,3,4,3,75.0,17.596599605555337,25.204081632653047,9.526066350710897,0.4739336492891035,历史3/4次成功; 当前距低点0.47%; 最新日涨幅-7.69%; 状态bottom_area; 底部未确认
26,71.56959050855227,65.27555877644528,000409,云鼎科技,bottom_area,2025-03-28,11.74,2025-03-28,11.72,0.17064846416381887,3.668941979522182,30.238095238095237,False,-2.6534,9.0879,2,3,2,66.66666666666666,28.86005703264586,46.53130287648054,9.829351535836182,0.17064846416381887,历史2/3次成功; 当前距低点0.17%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
27,69.42036372633565,63.10942156939605,002767,先锋电子,bottom_area,2025-03-28,17.38,2025-03-28,17.38,0.0,0.0,28.27073875361123,False,-9.9948,2.3554,3,5,3,60.0,35.37323424406471,52.04379562043795,10.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
28,69.15622644933974,63.132068993758025,000710,贝瑞基因,bottom_area,2025-03-28,13.76,2025-03-28,13.73,0.2184996358339356,2.9133284777858726,27.926509186351705,False,-1.1494,6.1536,3,5,3,60.0,15.70025894333007,17.3469387755102,9.781500364166066,0.2184996358339356,历史3/5次成功; 当前距低点0.22%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
