rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.99007098976114,81.20552901023893,002269,美邦服饰,confirmed_rebound,2021-04-14,2.96,2021-04-14,2.93,1.0238907849829284,10.921501706484635,29.055690072639216,False,-9.2025,13.1539,2,2,2,100.0,93.05748789582057,173.50993377483442,6.976109215017072,1.0238907849829284,历史2/2次成功; 当前距低点1.02%; 最新日涨幅-9.20%; 状态confirmed_rebound; 底部未确认
2,80.96082167010371,79.1244854881267,000037,深南电A,bottom_area,2021-04-14,8.79,2021-04-14,8.55,2.8070175438596303,3.5087719298245488,32.03497615262321,False,0.4571,2.1059,1,1,1,100.0,34.43271767810025,34.43271767810025,5.19298245614037,2.8070175438596303,历史1/1次成功; 当前距低点2.81%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
3,78.68865582117806,77.02318798578084,603222,济民健康,confirmed_rebound,2021-04-14,16.39,2021-04-13,15.93,2.887633396107978,12.743251726302582,28.146143437077136,False,-5.4241,6.8104,3,3,3,100.0,33.69350606939259,68.46504559270518,5.112366603892022,2.887633396107978,历史3/3次成功; 当前距低点2.89%; 最新日涨幅-5.42%; 状态confirmed_rebound; 底部未确认
4,72.98222373179837,73.33394529195161,002759,天际股份,bottom_area,2021-04-14,12.51,2021-04-13,12.0,4.249999999999998,4.916666666666666,28.6563614744352,False,3.5596,3.249,1,1,1,100.0,20.988953182535496,20.988953182535496,3.7500000000000018,4.249999999999998,历史1/1次成功; 当前距低点4.25%; 最新日涨幅3.56%; 状态bottom_area; 底部未确认
5,69.2334975483333,65.29566657924644,600379,宝光股份,bottom_area,2021-04-14,8.45,2021-04-14,8.37,0.955794504181602,3.3452807646356173,30.075187969924823,False,-3.3181,6.3479,1,1,1,100.0,9.91869918699186,9.91869918699186,7.044205495818398,0.955794504181602,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
