rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_date,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,history_success_dates,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.16376747584081,82.98831864972236,002971,和远气体,bottom_area,2024-07-10,17.34,2024-06-28,25.13,2024-07-09,16.92,2.482269503546088,6.560283687943258,32.670115399920405,30.998806207719852,False,-2.965864577504207,1.0314492348128153,3,3,3,100.0,40.36501676240559,61.79401993355482,2020-12-31; 2022-04-27; 2024-02-05,17.51773049645391,2.482269503546088,历史3/3次成功; 当前距低点2.48%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
2,93.10055203394845,79.39682889693329,301153,中科江南,bottom_area,2024-07-10,22.48,2024-07-02,31.6,2024-07-10,22.2,1.2612612612612664,6.486486486486492,29.746835443037977,28.86075949367089,False,-4.421768707482987,2.3811741134522544,2,2,2,100.0,32.970454691446086,45.49162730785745,2022-05-26; 2024-02-06,18.738738738738736,1.2612612612612664,历史2/2次成功; 当前距低点1.26%; 最新日涨幅-4.42%; 状态bottom_area; 底部未确认
3,92.7500963805733,79.88933096000027,605567,春雪食品,bottom_area,2024-07-10,7.33,2024-05-23,10.28,2024-07-09,7.2,1.805555555555554,3.333333333333336,29.961089494163417,28.696498054474702,False,-0.8119079837618393,0.5029,2,2,2,100.0,32.07525605734906,36.46616541353383,2022-01-10; 2024-02-06,18.194444444444446,1.805555555555554,历史2/2次成功; 当前距低点1.81%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
4,90.26322492379454,78.07828106121151,001218,丽臣实业,bottom_area,2024-07-10,14.52,2024-05-10,19.8,2024-07-09,14.23,2.037947997189031,4.146170063246661,28.131313131313128,26.66666666666667,False,-1.8255578093306246,0.48474858320883796,2,2,2,100.0,25.18711018711019,29.999999999999993,2022-03-16; 2022-04-27,17.962052002810967,2.037947997189031,历史2/2次成功; 当前距低点2.04%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
5,87.71473106203615,77.79555171756579,603282,亚光股份,bottom_area,2024-07-10,15.78,2024-05-08,21.15,2024-07-09,15.26,3.407601572739185,4.652686762778512,27.848699763593377,25.390070921985814,False,0.0,0.22477955462561647,1,1,1,100.0,34.64991023339317,34.64991023339317,2024-02-06,16.592398427260814,3.407601572739185,历史1/1次成功; 当前距低点3.41%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,87.39061295981794,78.30866166600867,605099,共创草坪,bottom_area,2024-07-10,18.59,2024-05-15,25.17,2024-07-09,17.88,3.9709172259507883,4.865771812080543,28.96305125148988,26.142232816845457,False,0.9229098805646041,0.13931395993388704,1,1,1,100.0,44.31372549019606,44.31372549019606,2024-02-05,16.029082774049215,3.9709172259507883,历史1/1次成功; 当前距低点3.97%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
7,86.74816490764023,75.79936739502544,300569,天能重工,bottom_area,2024-07-10,3.96,2024-05-13,5.32,2024-07-09,3.86,2.5906735751295358,4.922279792746113,27.443609022556398,25.563909774436095,False,-1.7369727047146455,0.5320365622510342,4,5,4,80.0,29.710231969466584,40.25316455696202,2017-07-18; 2020-02-04; 2021-01-14; 2024-02-06,17.409326424870464,2.5906735751295358,历史4/5次成功; 当前距低点2.59%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
8,86.38066963494312,75.40356813900742,603325,博隆技术,bottom_area,2024-07-10,61.85,2024-05-22,86.68,2024-07-09,60.32,2.5364721485411157,4.4263925729443,30.41070604522382,28.645592985694513,False,-0.09691487643352925,1.2921551849063513,1,1,1,100.0,33.584541062801925,33.584541062801925,2024-02-06,17.463527851458885,2.5364721485411157,历史1/1次成功; 当前距低点2.54%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
9,86.06094128136286,76.73080224270237,688303,大全能源,bottom_area,2024-07-10,18.8,2024-06-17,26.18,2024-07-09,18.13,3.6955322669608477,6.287920573634863,30.74866310160428,28.189457601222305,False,1.0752688172043001,0.1892405864035334,1,1,1,100.0,32.45492371705965,32.45492371705965,2021-07-23,16.304467733039154,3.6955322669608477,历史1/1次成功; 当前距低点3.70%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
10,85.64145912019407,73.05351871076479,002941,新疆交建,bottom_area,2024-07-10,8.74,2024-05-22,11.93,2024-07-09,8.63,1.274623406720735,3.4762456546929186,27.66135792120703,26.739312657166803,False,-1.1312217194570096,0.4589646620771314,3,5,3,60.0,42.14871009724758,48.59529233105543,2019-01-31; 2020-02-04; 2024-02-06,18.725376593279268,1.274623406720735,历史3/5次成功; 当前距低点1.27%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
