rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.35051609633369,90.81179857576355,000607,华媒控股,bottom_area,2025-07-28,4.85,2025-07-25,4.78,1.464435146443502,2.9288702928870225,28.1203007518797,False,1.0417,5.1875,4,4,4,100.0,30.810272632552305,59.82721382289418,6.535564853556498,1.464435146443502,历史4/4次成功; 当前距低点1.46%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
2,92.36012970882874,88.82334558464034,002246,北化股份,bottom_area,2025-07-28,17.6,2025-07-25,17.26,1.9698725376593271,5.156431054461164,27.11148648648648,False,1.6753,8.5652,5,5,5,100.0,26.315349303782714,31.992687385740403,6.030127462340673,1.9698725376593271,历史5/5次成功; 当前距低点1.97%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
3,85.62938376654284,80.44263477787953,002658,雪迪龙,bottom_area,2025-07-28,8.04,2025-07-17,7.98,0.7518796992481042,2.1303258145363397,30.36649214659686,False,0.1245,2.4391,3,3,3,100.0,22.83290587185592,34.81481481481481,7.248120300751896,0.7518796992481042,历史3/3次成功; 当前距低点0.75%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
4,84.06104393086373,80.71295114272124,603928,兴业股份,bottom_area,2025-07-28,15.66,2025-07-23,15.37,1.886792452830195,2.7976577748861517,31.04531179901301,False,0.9021,2.962,1,1,1,100.0,31.69267707082834,31.69267707082834,6.113207547169805,1.886792452830195,历史1/1次成功; 当前距低点1.89%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
5,83.42637139659199,80.37014351753938,605033,美邦股份,bottom_area,2025-07-28,22.3,2025-07-28,21.85,2.0594965675057173,3.1121281464530877,29.742765273311893,False,0.0,5.6947,1,1,1,100.0,31.96664350243223,31.96664350243223,5.940503432494284,2.0594965675057173,历史1/1次成功; 当前距低点2.06%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,83.33008218289082,80.59002145347277,603022,新通联,bottom_area,2025-07-28,10.4,2025-07-24,10.17,2.261553588987222,2.4582104228121926,32.33532934131736,False,1.4634,4.3615,2,2,2,100.0,18.958944281524914,26.099706744868023,5.738446411012778,2.261553588987222,历史2/2次成功; 当前距低点2.26%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
7,78.56494986151183,77.48022668788148,002811,郑中设计,confirmed_rebound,2025-07-28,10.4,2025-06-23,10.07,3.277060575968223,9.632571996027794,31.728813559322035,True,0.0,1.6111,2,2,2,100.0,15.709273124134537,16.78832116788322,4.722939424031777,3.277060575968223,历史2/2次成功; 当前距低点3.28%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
8,75.92686106632057,72.89396556110711,300564,筑博设计,bottom_area,2025-07-28,18.42,2025-07-28,18.08,1.8805309734513462,2.820796460177,27.766679984019188,False,-2.0213,14.9956,3,4,3,75.0,16.218151508474087,19.006102877070617,6.1194690265486535,1.8805309734513462,历史3/4次成功; 当前距低点1.88%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
9,74.95964556859802,75.37772176924531,600241,时代万恒,bottom_area,2025-07-28,8.51,2025-07-15,8.16,4.289215686274506,4.779411764705889,30.25641025641025,False,0.0,1.9092,2,2,2,100.0,15.79104050511391,22.50673854447439,3.710784313725494,4.289215686274506,历史2/2次成功; 当前距低点4.29%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,73.73902950154792,69.48429209676551,300879,大叶股份,bottom_area,2025-07-28,33.25,2025-07-25,32.95,0.9104704097116757,1.7602427921092512,28.63331167424734,False,-0.0301,3.2394,1,1,1,100.0,21.667551779075957,21.667551779075957,7.089529590288324,0.9104704097116757,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
11,71.13663530328263,72.07273291669476,000637,茂化实华,bottom_area,2025-07-28,4.25,2025-07-07,4.06,4.679802955665035,7.142857142857144,27.370304114490168,True,-0.7009,4.1042,2,2,2,100.0,16.089697073177668,22.627737226277358,3.3201970443349653,4.679802955665035,历史2/2次成功; 当前距低点4.68%; 最新日涨幅-0.70%; 状态bottom_area; 底部已确认
12,70.15268994893056,69.9454441883724,000999,华润三九,bottom_area,2025-07-28,31.59,2025-07-15,30.42,3.84615384615384,5.654174884944112,30.036798528058867,False,-0.2526,0.6205,1,1,1,100.0,20.293951384963254,20.293951384963254,4.15384615384616,3.84615384615384,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
