rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.2083591828581,81.07168316547173,601086,国芳集团,bottom_area,2023-06-26,4.32,2023-06-26,4.27,1.1709601873536468,2.1077283372365514,28.83333333333334,False,0.0,1.5085,1,1,1,100.0,24.846625766871185,24.846625766871185,8.829039812646354,1.1709601873536468,历史1/1次成功; 当前距低点1.17%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,85.7702192229013,84.1989016913376,000301,东方盛虹,bottom_area,2023-06-26,11.36,2023-06-09,10.92,4.029304029304025,9.432234432234427,27.586206896551722,True,0.531,0.3674,4,4,4,100.0,17.503843430918035,28.337639965546952,5.970695970695976,4.029304029304025,历史4/4次成功; 当前距低点4.03%; 最新日涨幅0.53%; 状态bottom_area; 底部已确认
3,84.97012332122644,80.3301525508019,600009,上海机场,bottom_area,2023-06-26,45.74,2023-06-06,44.82,2.052655064703261,8.366800535475234,29.83719474013776,True,-3.2776,0.5694,3,3,3,100.0,21.829065044759854,27.704918032786885,7.947344935296739,2.052655064703261,历史3/3次成功; 当前距低点2.05%; 最新日涨幅-3.28%; 状态bottom_area; 底部已确认
4,84.7406276835422,79.36368430260677,002395,双象股份,bottom_area,2023-06-26,11.07,2023-06-26,10.9,1.559633027522935,3.6697247706422047,29.677419354838708,False,-0.8953,3.6907,2,2,2,100.0,26.23466454494123,36.59976387249114,8.440366972477065,1.559633027522935,历史2/2次成功; 当前距低点1.56%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
5,84.45773005502451,80.06696121424342,002247,聚力文化,bottom_area,2023-06-26,1.86,2023-06-26,1.82,2.1978021978021998,3.8461538461538374,28.62745098039215,False,0.5405,4.8824,2,2,2,100.0,15.365323791572166,15.929203539823025,7.802197802197801,2.1978021978021998,历史2/2次成功; 当前距低点2.20%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
6,84.40575241533656,82.32103617364993,603185,弘元绿能,bottom_area,2023-06-26,71.71,2023-06-15,69.16,3.687102371312893,8.0104106419896,28.264702831656468,True,-0.5823,0.7915,4,4,4,100.0,25.686180538942583,43.51028702057404,6.312897628687107,3.687102371312893,历史4/4次成功; 当前距低点3.69%; 最新日涨幅-0.58%; 状态bottom_area; 底部已确认
7,84.04576096449573,76.81087748366883,601666,平煤股份,bottom_area,2023-06-26,7.23,2023-06-26,7.21,0.27739251040222557,1.5256588072122097,29.10521140609636,False,-1.3643,0.8104,3,3,3,100.0,19.964152727881192,27.30923694779115,9.722607489597774,0.27739251040222557,历史3/3次成功; 当前距低点0.28%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
8,83.62852922077919,79.10806818181817,688176,亚虹医药,bottom_area,2023-06-26,11.27,2023-06-21,11.04,2.0833333333333375,4.981884057971022,31.767614338689743,False,0.3562,1.9555,1,1,1,100.0,25.473484848484844,25.473484848484844,7.916666666666663,2.0833333333333375,历史1/1次成功; 当前距低点2.08%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
9,82.64692019370422,77.081471022411,300601,康泰生物,bottom_area,2023-06-26,24.93,2023-06-26,24.6,1.3414634146341393,3.2113821138211347,28.44677137870855,False,-0.0802,0.9554,2,2,2,100.0,11.290363482671175,11.580726965342352,8.658536585365862,1.3414634146341393,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
10,81.95682399547474,78.51522071025553,000723,美锦能源,bottom_area,2023-06-26,6.73,2023-06-14,6.55,2.7480916030534446,5.1908396946564865,30.907172995780595,False,0.4478,0.8832,1,1,1,100.0,30.434782608695667,30.434782608695667,7.251908396946556,2.7480916030534446,历史1/1次成功; 当前距低点2.75%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
11,81.56939747775726,76.15378446940996,600256,广汇能源,bottom_area,2023-06-26,7.27,2023-06-01,7.17,1.3947001394700091,5.718270571827059,29.49852507374631,False,-0.1374,1.0986,1,1,1,100.0,23.62204724409449,23.62204724409449,8.60529986052999,1.3947001394700091,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
12,81.53612604926175,77.62074341673612,002802,洪汇新材,bottom_area,2023-06-26,10.17,2023-05-12,9.93,2.4169184290030232,9.063444108761333,31.1373092926491,True,-0.8772,1.1943,2,2,2,100.0,18.17912599388721,20.65637065637066,7.583081570996978,2.4169184290030232,历史2/2次成功; 当前距低点2.42%; 最新日涨幅-0.88%; 状态bottom_area; 底部已确认
13,80.59083437841817,80.18228485434857,688075,安旭生物,bottom_area,2023-06-26,67.71,2023-05-10,64.65,4.733178654292324,9.574632637277643,30.37906525953047,True,-0.7912,2.9461,5,5,5,100.0,27.010388097500325,40.134529147982065,5.266821345707676,4.733178654292324,历史5/5次成功; 当前距低点4.73%; 最新日涨幅-0.79%; 状态bottom_area; 底部已确认
