rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.09197574359959,78.55134328358209,301009,可靠股份,bottom_area,2025-09-16,13.98,2025-09-05,13.4,4.328358208955224,5.522388059701494,27.762803234501348,False,1.5251,2.737,1,1,1,100.0,53.96648044692738,53.96648044692738,15.671641791044777,4.328358208955224,历史1/1次成功; 当前距低点4.33%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
2,85.91390948488024,76.52547999080113,300645,正元智慧,bottom_area,2025-09-16,18.78,2025-09-05,18.12,3.6423841059602653,5.242825607064013,27.3164861612515,False,1.6234,3.6137,1,1,1,100.0,30.699547055863096,30.699547055863096,16.357615894039736,3.6423841059602653,历史1/1次成功; 当前距低点3.64%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
3,82.44235487024766,74.30426833799146,300510,金冠股份,bottom_area,2025-09-16,4.62,2025-09-03,4.43,4.288939051918745,6.997742663656896,30.01579778830964,False,2.439,4.3098,3,4,3,75.0,30.849727829925854,40.000000000000014,15.711060948081258,4.288939051918745,历史3/4次成功; 当前距低点4.29%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
4,77.85116507979488,66.43614032820618,600316,洪都航空,bottom_area,2025-09-16,34.35,2025-09-16,33.91,1.2975523444411823,1.7988793866116384,28.565409732462616,False,0.1166,1.5683,2,5,2,40.0,27.712686416839073,30.462519936204153,18.702447655558817,1.2975523444411823,历史2/5次成功; 当前距低点1.30%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
5,74.5400378658685,65.83423728813558,002826,易明医药,bottom_area,2025-09-16,19.48,2025-09-03,18.88,3.1779661016949228,7.786016949152555,29.631010063361906,True,1.0373,2.5864,1,2,1,50.0,50.0,50.0,16.82203389830508,3.1779661016949228,历史1/2次成功; 当前距低点3.18%; 最新日涨幅1.04%; 状态bottom_area; 底部已确认
6,71.82811856538005,62.538738669450055,603839,安正时尚,bottom_area,2025-09-16,8.55,2025-09-15,8.35,2.3952095808383365,2.6347305389221636,27.892918825561313,False,1.5439,5.0195,1,2,1,50.0,31.88073394495412,31.88073394495412,17.604790419161663,2.3952095808383365,历史1/2次成功; 当前距低点2.40%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
7,71.18943204133245,60.708555956067364,002041,登海种业,bottom_area,2025-09-16,9.65,2025-06-23,9.53,1.2591815320042077,7.345225603357829,29.719764011799416,True,-0.3099,0.7377,1,2,1,50.0,21.395106715252467,21.395106715252467,18.740818467995794,1.2591815320042077,历史1/2次成功; 当前距低点1.26%; 最新日涨幅-0.31%; 状态bottom_area; 底部已确认
8,68.88852652723624,57.569230769230785,601900,南方传媒,bottom_area,2025-09-16,13.02,2025-09-16,13.0,0.15384615384615058,0.9230769230769171,27.697441601779754,False,-0.6865,1.0066,1,2,1,50.0,39.999999999999986,39.999999999999986,19.84615384615385,0.15384615384615058,历史1/2次成功; 当前距低点0.15%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
9,64.92108309878451,57.015100685337174,302132,中航成飞,bottom_area,2025-09-16,81.78,2025-09-09,79.5,2.8679245283018884,6.163522012578623,27.595628415300546,False,0.2083,1.8876,1,4,1,25.0,28.81165919282512,28.81165919282512,17.132075471698112,2.8679245283018884,历史1/4次成功; 当前距低点2.87%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
10,63.267586548722804,57.10800937206408,300902,国安达,bottom_area,2025-09-16,23.16,2025-09-04,22.19,4.371338440739066,5.04731861198737,32.798304058146584,False,1.8022,4.0627,1,2,1,50.0,26.906779661016937,26.906779661016937,15.628661559260934,4.371338440739066,历史1/2次成功; 当前距低点4.37%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
11,62.50137657829242,54.111831102225324,605169,洪通燃气,bottom_area,2025-09-16,14.68,2025-09-05,14.38,2.0862308762169604,5.354659248956882,31.064237775647165,False,-2.0027,1.8425,1,4,1,25.0,26.09375,26.09375,17.91376912378304,2.0862308762169604,历史1/4次成功; 当前距低点2.09%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
