rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,76.11790428878727,72.05190468812937,600121,郑州煤电,bottom_area,2021-02-05,4.82,2021-02-05,4.72,2.1186440677966214,9.745762711864407,28.484848484848484,False,-5.6751,7.3411,1,1,1,100.0,20.6581352833638,20.6581352833638,7.8813559322033795,2.1186440677966214,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-5.68%; 状态bottom_area; 底部未确认
2,73.48342594431129,67.14494329706807,002342,巨力索具,bottom_area,2021-02-05,3.75,2021-02-05,3.74,0.2673796791443793,6.149732620320854,27.6595744680851,False,-5.5416,4.9491,1,1,1,100.0,11.422413793103454,11.422413793103454,9.732620320855622,0.2673796791443793,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-5.54%; 状态bottom_area; 底部未确认
3,73.46402359641986,66.78547599674532,300484,蓝海华腾,bottom_area,2021-02-05,10.8,2021-02-05,10.8,0.0,9.44444444444444,28.239202657807304,False,-5.8413,3.3622,1,1,1,100.0,18.47030105777056,18.47030105777056,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.84%; 状态bottom_area; 底部未确认
4,72.66702064933618,66.81620675518177,688311,盟升电子,confirmed_rebound,2021-02-05,76.0,2021-02-05,75.55,0.5956320317670455,13.01125082726671,30.598934411170315,False,-7.4525,5.2132,1,1,1,100.0,23.893805309734503,23.893805309734503,9.404367968232954,0.5956320317670455,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-7.45%; 状态confirmed_rebound; 底部未确认
