rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.35582426629375,82.8388612227325,600004,白云机场,bottom_area,2023-10-10,10.83,2023-10-09,10.72,1.0261194029850693,4.1977611940298445,27.322033898305083,False,0.3707,0.6417,1,1,1,100.0,32.57211538461537,32.57211538461537,8.973880597014931,1.0261194029850693,历史1/1次成功; 当前距低点1.03%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
2,85.95495974680055,78.71919835838798,300649,杭州园林,bottom_area,2023-10-10,18.19,2023-10-10,18.12,0.386313465783666,2.81456953642383,30.307692307692303,False,-1.6757,4.3618,2,2,2,100.0,48.22576914179969,71.60305343511452,9.613686534216335,0.386313465783666,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
3,83.11877653741566,80.32486808237648,002534,西子洁能,bottom_area,2023-10-10,12.88,2023-09-22,12.48,3.2051282051282075,7.2115384615384635,27.861271676300582,True,-0.3867,0.3451,3,3,3,100.0,25.712690269187092,33.11594202898551,6.794871794871793,3.2051282051282075,历史3/3次成功; 当前距低点3.21%; 最新日涨幅-0.39%; 状态bottom_area; 底部已确认
4,82.37336821677097,79.36597008953356,603226,菲林格尔,bottom_area,2023-10-10,5.41,2023-09-12,5.25,3.0476190476190506,8.952380952380947,29.71887550200803,True,-1.0969,0.8944,3,3,3,100.0,18.62656730163969,20.479302832244016,6.95238095238095,3.0476190476190506,历史3/3次成功; 当前距低点3.05%; 最新日涨幅-1.10%; 状态bottom_area; 底部已确认
5,81.02465617883462,74.26466723794476,600322,津投城开,bottom_area,2023-10-10,2.34,2023-10-10,2.33,0.429184549356214,3.0042918454935554,28.963414634146332,False,-0.8475,3.2351,2,2,2,100.0,24.802193604714613,35.828877005347586,9.570815450643787,0.429184549356214,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
6,80.99126967146891,74.10883616047101,601226,华电科工,bottom_area,2023-10-10,5.89,2023-09-25,5.87,0.340715502555359,4.088586030664399,27.975460122699385,False,-1.8333,0.5082,1,1,1,100.0,39.54659949622166,39.54659949622166,9.659284497444641,0.340715502555359,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
7,80.87262252318477,74.63935715084445,301313,凡拓数创,confirmed_rebound,2023-10-10,28.02,2023-10-09,27.8,0.791366906474816,10.215827338129497,30.93167701863354,False,0.0714,10.8078,3,4,3,75.0,39.831579019392564,52.43243243243245,9.208633093525185,0.791366906474816,历史3/4次成功; 当前距低点0.79%; 最新日涨幅0.07%; 状态confirmed_rebound; 底部未确认
8,79.5740963708696,77.58302752293582,002356,赫美集团,bottom_area,2023-10-10,4.52,2023-09-27,4.36,3.6697247706421847,9.633027522935777,29.903536977491953,True,-1.5251,0.5903,1,1,1,100.0,69.37669376693766,69.37669376693766,6.330275229357815,3.6697247706421847,历史1/1次成功; 当前距低点3.67%; 最新日涨幅-1.53%; 状态bottom_area; 底部已确认
9,79.32945590103083,78.54990262019126,000411,英特集团,bottom_area,2023-10-10,11.89,2023-08-24,11.38,4.481546572934971,9.490333919156415,27.974683544303797,True,-2.1399,1.8688,3,3,3,100.0,31.816283905822544,47.98426745329401,5.51845342706503,4.481546572934971,历史3/3次成功; 当前距低点4.48%; 最新日涨幅-2.14%; 状态bottom_area; 底部已确认
10,77.21956216569366,70.50691729950765,000006,深振业A,bottom_area,2023-10-10,4.38,2023-10-09,4.37,0.2288329519450752,3.89016018306636,28.36065573770491,False,-0.2278,0.8617,1,1,1,100.0,18.809980806142043,18.809980806142043,9.771167048054926,0.2288329519450752,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
11,76.654194302634,70.17343060250221,000028,国药一致,bottom_area,2023-10-10,30.21,2023-10-10,30.1,0.36544850498338677,5.083056478405307,31.82332955832389,False,-4.4894,1.2886,2,2,2,100.0,12.240070934754426,14.150943396226415,9.634551495016613,0.36544850498338677,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-4.49%; 状态bottom_area; 底部未确认
