rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.13506596758776,82.84008799306062,300721,怡达股份,bottom_area,2024-08-01,11.75,2024-07-31,11.25,4.444444444444445,7.466666666666666,27.976952624839946,True,0.6855,4.4768,5,5,5,100.0,15.2872114322255,22.270742358078603,3.5555555555555554,4.444444444444445,历史5/5次成功; 当前距低点4.44%; 最新日涨幅0.69%; 状态bottom_area; 底部已确认
2,79.50595717070718,76.9738034459074,001203,大中矿业,bottom_area,2024-08-01,8.39,2024-07-30,8.2,2.317073170731723,5.121951219512195,29.492691315563206,False,-1.5258,0.6087,2,2,2,100.0,22.670592877288865,29.46341463414634,5.682926829268277,2.317073170731723,历史2/2次成功; 当前距低点2.32%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
3,77.12712639830559,77.431418287717,603368,柳药集团,bottom_area,2024-08-01,17.1,2024-07-31,16.41,4.204753199268747,6.581352833638015,31.908713692946062,False,-1.2132,1.6191,3,3,3,100.0,31.603524634675978,42.85714285714285,3.7952468007312534,4.204753199268747,历史3/3次成功; 当前距低点4.20%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
4,76.20109640099193,72.86009714477723,002293,罗莱生活,bottom_area,2024-08-01,7.31,2024-07-30,7.19,1.6689847009735632,3.6161335187760746,29.78515625,False,-1.3495,0.2234,1,1,1,100.0,9.27624872579001,9.27624872579001,6.331015299026436,1.6689847009735632,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
5,75.09796338855142,72.97127013664719,603156,养元饮品,bottom_area,2024-08-01,20.45,2024-07-30,19.95,2.5062656641604013,6.516290726817046,27.322404371584703,False,-3.3097,0.3146,2,2,2,100.0,13.685784144800545,15.851851851851857,5.4937343358396,2.5062656641604013,历史2/2次成功; 当前距低点2.51%; 最新日涨幅-3.31%; 状态bottom_area; 底部未确认
6,73.9129993222864,74.3774045801527,002687,乔治白,bottom_area,2024-08-01,4.1,2024-07-25,3.93,4.325699745547061,5.852417302798981,32.82051282051282,False,-0.9662,0.7466,1,1,1,100.0,64.00000000000001,64.00000000000001,3.6743002544529397,4.325699745547061,历史1/1次成功; 当前距低点4.33%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
7,73.00334020397491,72.96810409736852,002563,森马服饰,bottom_area,2024-08-01,4.97,2024-07-30,4.78,3.9748953974895294,7.531380753138063,29.080118694362017,True,-2.1654,0.7218,1,1,1,100.0,28.929384965831446,28.929384965831446,4.025104602510471,3.9748953974895294,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-2.17%; 状态bottom_area; 底部已确认
8,72.78277127686187,72.60737867473462,000726,鲁泰A,bottom_area,2024-08-01,5.63,2024-07-30,5.42,3.8745387453874534,4.612546125461255,28.211920529801326,False,0.0,0.9418,1,1,1,100.0,12.480252764612954,12.480252764612954,4.125461254612547,3.8745387453874534,历史1/1次成功; 当前距低点3.87%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,72.45850473182563,70.57110203226483,002372,伟星新材,bottom_area,2024-08-01,13.67,2024-07-30,13.32,2.627627627627625,5.780780780780778,29.3368700265252,False,-2.4964,0.4912,1,1,1,100.0,8.720930232558127,8.720930232558127,5.372372372372375,2.627627627627625,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
10,71.8909708817608,71.79112532575219,603367,辰欣药业,bottom_area,2024-08-01,13.23,2024-07-30,12.73,3.927729772191673,5.577376276512169,27.048710601719193,False,-0.6757,0.8008,1,1,1,100.0,31.216931216931226,31.216931216931226,4.072270227808327,3.927729772191673,历史1/1次成功; 当前距低点3.93%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
11,71.67208058982568,70.7137146602578,603317,天味食品,confirmed_rebound,2024-08-01,10.33,2024-07-30,10.0,3.3000000000000007,8.200000000000003,31.74061433447099,True,-3.5481,0.7379,2,2,2,100.0,12.299541184181786,14.347826086956525,4.699999999999999,3.3000000000000007,历史2/2次成功; 当前距低点3.30%; 最新日涨幅-3.55%; 状态confirmed_rebound; 底部已确认
