rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.6433112150062,77.85755565000562,300454,深信服,bottom_area,2024-01-17,62.5,2024-01-17,62.5,0.0,4.6400000000000095,31.303583205100026,False,-2.8749,1.1503,4,4,4,100.0,17.782557258094812,29.49391262831224,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
2,85.49563924437446,78.17464663141253,688079,美迪凯,bottom_area,2024-01-17,9.92,2024-01-17,9.89,0.3033367037411462,3.6400404448938257,29.758522727272723,False,-3.2195,1.5682,4,4,4,100.0,21.162657612593186,30.064655172413808,9.696663296258855,0.3033367037411462,历史4/4次成功; 当前距低点0.30%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
3,84.59757169198278,76.90688335634798,300609,汇纳科技,bottom_area,2024-01-17,23.39,2024-01-17,23.39,0.0,3.8905515177426255,29.33534743202417,False,-3.8635,1.93,4,4,4,100.0,22.886469657784787,49.87035436473638,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
4,83.10847617006381,75.55316015460346,002146,荣盛发展,bottom_area,2024-01-17,1.6,2024-01-10,1.6,0.0,6.874999999999992,27.927927927927932,False,-3.0303,1.4519,4,4,4,100.0,15.608387927975553,19.587628865979376,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
5,83.08719336620678,77.05667126704661,002355,兴民智通,bottom_area,2024-01-17,4.83,2024-01-17,4.78,1.0460251046025069,3.7656903765690317,31.024531024531015,False,-2.621,1.7274,4,5,4,80.0,17.535529599679155,21.138211382113823,8.953974895397494,1.0460251046025069,历史4/5次成功; 当前距低点1.05%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
6,82.46334108800094,76.22225457573693,688156,路德科技,bottom_area,2024-01-17,22.02,2024-01-16,21.83,0.8703618873110457,3.527256069628966,27.49916971105945,False,-1.0337,0.8468,3,3,3,100.0,24.0681703161618,44.22535211267606,9.129638112688955,0.8703618873110457,历史3/3次成功; 当前距低点0.87%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
7,82.15028049502287,74.68207317729352,000070,特发信息,bottom_area,2024-01-17,7.17,2024-01-17,7.17,0.0,2.7894002789400303,30.858244937319185,False,-1.6461,0.9397,2,2,2,100.0,34.04340417899739,50.60532687651331,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
8,81.26754695647338,75.35764913080415,601016,节能风电,bottom_area,2024-01-17,2.92,2023-12-27,2.89,1.0380622837370175,5.8823529411764675,29.166666666666664,False,-1.6835,0.3352,1,1,1,100.0,14.970059880239523,14.970059880239523,8.961937716262982,1.0380622837370175,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
9,81.26693865347055,74.43050187101035,600996,贵广网络,bottom_area,2024-01-17,7.73,2024-01-17,7.7,0.3896103896103928,4.155844155844148,32.03883495145631,False,-3.736,0.9229,2,2,2,100.0,35.42372881355932,40.00000000000001,9.610389610389609,0.3896103896103928,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
10,80.62573927671728,73.3583977802966,603306,华懋科技,bottom_area,2024-01-17,22.49,2024-01-17,22.48,0.044483985765115704,3.247330960854095,28.17891373801917,False,-2.4295,1.2738,2,2,2,100.0,15.214092837855201,19.519094766619503,9.955516014234885,0.044483985765115704,历史2/2次成功; 当前距低点0.04%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
11,80.52874209168999,73.52799209221259,688010,福光股份,bottom_area,2024-01-17,21.93,2024-01-17,21.88,0.2285191956124347,6.627056672760509,27.066666666666674,False,-5.27,0.9876,2,2,2,100.0,28.59685945273632,42.08955223880597,9.771480804387565,0.2285191956124347,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-5.27%; 状态bottom_area; 底部未确认
12,79.915,72.65,603013,亚普股份,bottom_area,2024-01-17,16.0,2024-01-17,16.0,0.0,4.062499999999991,29.67032967032967,False,-3.5564,0.5196,1,1,1,100.0,53.30739299610896,53.30739299610896,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.56%; 状态bottom_area; 底部未确认
13,79.31313692552153,72.20955035429061,000021,深科技,bottom_area,2024-01-17,12.92,2024-01-16,12.91,0.07745933384972724,5.03485670023238,27.471910112359556,False,-2.1953,1.8246,1,1,1,100.0,26.108374384236456,26.108374384236456,9.922540666150272,0.07745933384972724,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
14,79.0568964264446,72.04858510806112,603039,泛微网络,bottom_area,2024-01-17,38.49,2024-01-17,38.44,0.130072840790854,3.772112382934451,31.83188508600816,False,-3.0234,0.5195,2,2,2,100.0,19.43629669389389,25.971438060445035,9.869927159209146,0.130072840790854,历史2/2次成功; 当前距低点0.13%; 最新日涨幅-3.02%; 状态bottom_area; 底部未确认
