rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.2135549474291,76.58931297709925,002110,三钢闽光,bottom_area,2022-08-25,5.3,2022-08-25,5.24,1.1450381679389239,2.099236641221363,29.47510094212651,False,-0.5629,0.5024,1,1,1,100.0,22.90322580645161,22.90322580645161,13.854961832061075,1.1450381679389239,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
2,86.06560340791113,77.5086142186348,688083,中望软件,bottom_area,2022-08-25,186.77,2022-08-25,183.33,1.8763977526864113,3.8509791087110528,29.20801637255281,False,-0.469,0.7143,2,2,2,100.0,20.144091907310933,21.52777777777778,13.123602247313586,1.8763977526864113,历史2/2次成功; 当前距低点1.88%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
3,82.35233453100602,73.98874046641825,688160,步科股份,bottom_area,2022-08-25,41.3,2022-08-25,40.59,1.7491993101749044,11.234294161123417,30.7928388746803,False,-7.4199,10.9061,1,1,1,100.0,26.542553191489354,26.542553191489354,13.250800689825097,1.7491993101749044,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-7.42%; 状态bottom_area; 底部未确认
4,82.20481729540799,75.48833347628442,600248,陕建股份,bottom_area,2022-08-25,4.58,2022-08-03,4.45,2.921348314606739,5.393258426966296,28.2258064516129,False,2.0045,1.2506,1,1,1,100.0,16.28498727735369,16.28498727735369,12.078651685393261,2.921348314606739,历史1/1次成功; 当前距低点2.92%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
5,81.04583091639113,71.38878620689655,002471,中超控股,bottom_area,2022-08-25,2.92,2022-08-25,2.9,0.6896551724137937,4.1379310344827624,30.78758949880669,False,-2.6667,6.7748,1,1,1,100.0,29.2,29.2,14.310344827586205,0.6896551724137937,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
6,78.95756557980691,71.4947194945885,688259,创耀科技,bottom_area,2022-08-25,78.71,2022-08-25,77.04,2.1677050882658198,10.462097611630305,27.709486722342113,False,-6.8631,9.94,1,1,1,100.0,18.26390911739005,18.26390911739005,12.832294911734179,2.1677050882658198,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-6.86%; 状态bottom_area; 底部未确认
7,77.75436143326654,74.12084449659397,000715,中兴商业,bottom_area,2022-08-25,5.11,2022-08-03,4.87,4.928131416837787,7.802874743326487,27.421758569299552,True,0.5906,1.6758,1,1,1,100.0,24.33862433862435,24.33862433862435,10.071868583162214,4.928131416837787,历史1/1次成功; 当前距低点4.93%; 最新日涨幅0.59%; 状态bottom_area; 底部已确认
8,73.7881249550858,68.89158980620196,002077,大港股份,bottom_area,2022-08-25,15.8,2022-08-25,15.22,3.8107752956636007,9.592641261498022,32.355555555555554,False,-4.3004,18.578,1,1,1,100.0,24.40944881889765,24.40944881889765,11.189224704336398,3.8107752956636007,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-4.30%; 状态bottom_area; 底部未确认
9,65.66440666210443,58.78651688723856,300552,万集科技,bottom_area,2022-08-25,22.15,2022-08-25,21.81,1.5589179275561664,5.41036221916552,32.497678737233066,False,-1.9912,2.8656,1,2,1,50.0,23.929299796057098,23.929299796057098,13.441082072443834,1.5589179275561664,历史1/2次成功; 当前距低点1.56%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
10,64.48234608431547,59.4136858401582,603180,金牌家居,bottom_area,2022-08-25,23.93,2022-08-10,23.21,3.102111158983192,5.342524773804388,27.15003138731952,False,2.5718,0.8762,1,2,1,50.0,23.744619799139173,23.744619799139173,11.897888841016806,3.102111158983192,历史1/2次成功; 当前距低点3.10%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
11,60.870289202216775,54.29401748705678,300400,劲拓股份,bottom_area,2022-08-25,16.38,2022-08-25,16.16,1.3613861386138542,9.653465346534645,27.338129496402875,False,-6.4,4.0355,1,3,1,33.33333333333333,27.014218009478668,27.014218009478668,13.638613861386146,1.3613861386138542,历史1/3次成功; 当前距低点1.36%; 最新日涨幅-6.40%; 状态bottom_area; 底部未确认
12,57.375596711725734,52.11107263152497,002607,中公教育,bottom_area,2022-08-25,4.39,2022-08-25,4.29,2.3310023310023227,3.030303030303028,28.02013422818792,False,-0.2273,1.8266,1,4,1,25.0,18.337408312958438,18.337408312958438,12.668997668997678,2.3310023310023227,历史1/4次成功; 当前距低点2.33%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
