rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.56880206007921,87.1737283869519,603221,爱丽家居,bottom_area,2025-09-01,12.22,2025-08-28,11.98,2.0033388981636078,2.754590984974959,31.931818181818183,False,0.4934,1.4833,4,4,4,100.0,17.856672444972688,20.699708454810505,12.996661101836393,2.0033388981636078,历史4/4次成功; 当前距低点2.00%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
2,90.34576392934528,81.16138031573452,600658,电子城,bottom_area,2025-09-01,6.42,2025-08-29,6.31,1.7432646592710037,7.92393026941363,29.101123595505623,False,1.7433,5.4524,1,1,1,100.0,32.344213649851625,32.344213649851625,13.256735340728994,1.7432646592710037,历史1/1次成功; 当前距低点1.74%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
3,89.11827117535448,79.49579978699587,603511,爱慕股份,bottom_area,2025-09-01,14.85,2025-09-01,14.65,1.3651877133105754,2.047781569965863,31.54205607476635,False,0.678,0.8572,1,1,1,100.0,18.754988028731056,18.754988028731056,13.634812286689424,1.3651877133105754,历史1/1次成功; 当前距低点1.37%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
4,87.31671669549301,79.09399029540343,300510,金冠股份,bottom_area,2025-09-01,4.67,2025-08-28,4.57,2.1881838074398168,5.68927789934354,27.8041074249605,False,0.4301,5.9432,3,4,3,75.0,30.849727829925854,40.000000000000014,12.811816192560183,2.1881838074398168,历史3/4次成功; 当前距低点2.19%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
5,84.65056352914998,78.33985313751668,002097,山河智能,bottom_area,2025-09-01,15.48,2025-08-28,14.98,3.337783711615487,7.009345794392528,28.59866539561487,True,-1.2755,5.7924,1,1,1,100.0,50.210970464135016,50.210970464135016,11.662216288384512,3.337783711615487,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-1.28%; 状态bottom_area; 底部已确认
6,84.48776699620619,77.15489623445507,002041,登海种业,bottom_area,2025-09-01,9.78,2025-06-23,9.53,2.623294858342078,7.345225603357829,29.719764011799416,True,-0.4073,1.4397,2,2,2,100.0,18.2043468358871,21.395106715252467,12.376705141657922,2.623294858342078,历史2/2次成功; 当前距低点2.62%; 最新日涨幅-0.41%; 状态bottom_area; 底部已确认
7,81.60096496171992,74.45172981809911,300665,飞鹿股份,bottom_area,2025-09-01,9.56,2025-08-28,9.32,2.5751072961373414,6.115879828326183,27.470817120622566,False,-0.2088,8.8487,4,5,4,80.0,22.274056200496023,23.50486787204451,12.424892703862659,2.5751072961373414,历史4/5次成功; 当前距低点2.58%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
8,80.0029277990977,72.80240986191612,603280,南方路机,bottom_area,2025-09-01,42.92,2025-09-01,41.9,2.4343675417661172,3.747016706443915,29.46127946127946,False,-2.0091,15.7271,1,1,1,100.0,18.348214285714302,18.348214285714302,12.565632458233884,2.4343675417661172,历史1/1次成功; 当前距低点2.43%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
9,79.56939968240485,74.76948839758818,000026,飞亚达,bottom_area,2025-09-01,17.54,2025-08-28,16.84,4.156769596199521,8.966745843230413,27.0047680970958,False,0.4007,2.7171,1,1,1,100.0,27.564102564102562,27.564102564102562,10.84323040380048,4.156769596199521,历史1/1次成功; 当前距低点4.16%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
10,71.52980419179235,65.69507302078668,605169,洪通燃气,bottom_area,2025-09-01,15.11,2025-08-28,14.68,2.929155313351497,4.2915531335149915,29.626078619367206,False,0.332,1.2888,2,4,2,50.0,22.06208137219406,26.09375,12.070844686648503,2.929155313351497,历史2/4次成功; 当前距低点2.93%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
11,71.145842727787,63.824075686242196,603767,中马传动,bottom_area,2025-09-01,29.25,2025-08-29,28.77,1.6684045881126188,9.141466805700379,29.17282127031019,False,1.2812,9.0524,1,2,1,50.0,29.881925522252505,29.881925522252505,13.331595411887381,1.6684045881126188,历史1/2次成功; 当前距低点1.67%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
