rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.47532858452887,79.4861269191402,300725,药石科技,bottom_area,2024-04-19,29.98,2024-04-16,29.31,2.285909245991135,9.757761856021846,27.053260328521656,True,-1.7049,2.4607,1,1,1,100.0,43.26881720430109,43.26881720430109,17.714090754008865,2.285909245991135,历史1/1次成功; 当前距低点2.29%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
2,87.85433919018124,79.18843498434704,603122,合富中国,bottom_area,2024-04-19,5.83,2024-04-16,5.59,4.293381037567088,8.586762075134176,29.150823827629914,True,-0.6814,2.6475,2,2,2,100.0,49.609375,72.1590909090909,15.706618962432914,4.293381037567088,历史2/2次成功; 当前距低点4.29%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
3,86.60843092753713,76.09230357898129,000042,中洲控股,bottom_area,2024-04-19,3.56,2024-04-17,3.46,2.890173410404627,6.358381502890179,32.81553398058253,False,-1.385,1.3208,2,2,2,100.0,24.956445993031362,28.57142857142858,17.10982658959537,2.890173410404627,历史2/2次成功; 当前距低点2.89%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
4,85.83566661862108,77.47165525505265,300584,海辰药业,bottom_area,2024-04-19,14.82,2024-04-16,14.2,4.366197183098599,10.98591549295775,28.96448224112056,True,-2.5641,1.7348,2,2,2,100.0,41.271961465147655,54.23197492163009,15.633802816901401,4.366197183098599,历史2/2次成功; 当前距低点4.37%; 最新日涨幅-2.56%; 状态bottom_area; 底部已确认
5,85.81260150811559,74.25132186242291,600241,时代万恒,bottom_area,2024-04-19,5.96,2024-04-16,5.84,2.054794520547947,9.07534246575343,28.34355828220859,True,-3.2468,1.8056,1,1,1,100.0,22.50673854447439,22.50673854447439,17.945205479452053,2.054794520547947,历史1/1次成功; 当前距低点2.05%; 最新日涨幅-3.25%; 状态bottom_area; 底部已确认
6,85.11316198224853,76.50621301775148,600052,东望时代,bottom_area,2024-04-19,3.52,2024-04-16,3.38,4.14201183431953,9.467455621301783,27.311827956989255,True,-1.1236,0.678,1,1,1,100.0,56.0655737704918,56.0655737704918,15.85798816568047,4.14201183431953,历史1/1次成功; 当前距低点4.14%; 最新日涨幅-1.12%; 状态bottom_area; 底部已确认
7,84.60052061989097,70.80101709500565,688114,华大智造,bottom_area,2024-04-19,51.82,2024-04-19,51.7,0.23210831721469524,3.1528046421663354,30.53876125218326,False,-2.2264,0.4416,1,1,1,100.0,20.431312141156706,20.431312141156706,19.767891682785304,0.23210831721469524,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
8,83.61106598984772,69.6758883248731,002200,交投生态,bottom_area,2024-04-19,5.56,2024-04-19,5.56,0.0,3.237410071942457,28.072445019404924,False,-4.9573,1.0616,1,1,1,100.0,34.01015228426395,34.01015228426395,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.96%; 状态bottom_area; 底部未确认
9,83.33971852935517,74.44542185943922,688337,普源精电,bottom_area,2024-04-19,28.14,2024-04-16,27.11,3.7993360383622323,8.889708594614534,29.364252214695156,True,-1.9512,1.6124,3,4,3,75.0,38.886602295188766,54.46153846153845,16.20066396163777,3.7993360383622323,历史3/4次成功; 当前距低点3.80%; 最新日涨幅-1.95%; 状态bottom_area; 底部已确认
10,80.78740971760716,73.42081918081918,688232,新点软件,bottom_area,2024-04-19,20.97,2024-04-16,20.02,4.7452547452547424,6.893106893106888,29.803646563814866,False,-0.6632,1.7319,1,1,1,100.0,51.87398153177622,51.87398153177622,15.254745254745258,4.7452547452547424,历史1/1次成功; 当前距低点4.75%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
11,80.43215897681962,71.8246786782381,301520,万邦医药,bottom_area,2024-04-19,42.54,2024-04-16,40.99,3.781410100024389,10.026835813613074,27.80908770693906,False,-0.4213,2.9246,1,1,1,100.0,29.60372960372961,29.60372960372961,16.218589899975612,3.781410100024389,历史1/1次成功; 当前距低点3.78%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
