rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.25403004138578,83.6467462010931,600421,退市华嵘,bottom_area,2025-03-19,6.49,2025-03-14,6.42,1.0903426791277304,6.386292834890968,30.065359477124183,False,-1.6667,2.1725,3,3,3,100.0,26.842621018840468,44.900662251655625,13.909657320872268,1.0903426791277304,历史3/3次成功; 当前距低点1.09%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
2,84.07027501405327,78.07454307886987,603103,横店影视,bottom_area,2025-03-19,13.51,2025-03-10,13.05,3.5249042145593794,8.812260536398457,27.580466148723637,True,-2.1723,0.6437,2,2,2,100.0,34.20067036594215,37.951807228915676,11.47509578544062,3.5249042145593794,历史2/2次成功; 当前距低点3.52%; 最新日涨幅-2.17%; 状态bottom_area; 底部已确认
3,79.8491730054125,70.37293207998869,002760,凤形股份,bottom_area,2025-03-19,21.02,2025-03-19,20.87,0.7187350263536109,2.2999520843315784,28.649572649572647,False,-1.2682,7.8906,1,1,1,100.0,24.094881398252184,24.094881398252184,14.281264973646387,0.7187350263536109,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
4,78.04557087608498,73.75807072527496,603048,浙江黎明,bottom_area,2025-03-19,19.19,2025-03-14,18.37,4.463799673380513,6.69569951007077,27.391304347826086,False,0.1043,4.1703,1,1,1,100.0,25.889967637540458,25.889967637540458,10.536200326619486,4.463799673380513,历史1/1次成功; 当前距低点4.46%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
5,71.86548828374863,67.94343181218677,002718,友邦吊顶,bottom_area,2025-03-19,13.98,2025-03-05,13.38,4.484304932735423,6.87593423019432,27.32210755024443,False,-1.6186,2.1197,1,1,1,100.0,17.352941176470598,17.352941176470598,10.515695067264577,4.484304932735423,历史1/1次成功; 当前距低点4.48%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
6,58.33727903898046,52.95937853107346,688227,品高股份,bottom_area,2025-03-19,36.83,2025-03-19,36.0,2.305555555555551,5.8333333333333375,27.681799919646444,False,-3.4347,1.972,1,3,1,33.33333333333333,31.412429378531087,31.412429378531087,12.694444444444446,2.305555555555551,历史1/3次成功; 当前距低点2.31%; 最新日涨幅-3.43%; 状态bottom_area; 底部未确认
