rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.1114282107239,80.8841667476622,002137,实益达,bottom_area,2023-12-20,6.91,2023-12-20,6.9,0.14492753623188095,2.4637681159420275,28.865979381443292,False,-1.8466,3.6284,3,3,3,100.0,40.23979317349941,89.3034825870647,7.855072463768119,0.14492753623188095,历史3/3次成功; 当前距低点0.14%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
2,86.89610567722714,81.01066644701304,300707,威唐工业,bottom_area,2023-12-20,16.98,2023-12-20,16.92,0.3546099290780066,3.5460992907801288,27.006039689387396,False,-2.3577,4.6475,5,5,5,100.0,26.823532716725207,59.14285714285715,7.6453900709219935,0.3546099290780066,历史5/5次成功; 当前距低点0.35%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
3,86.4176087377093,80.90243958602501,300480,光力科技,bottom_area,2023-12-20,21.1,2023-12-20,20.98,0.5719733079123022,2.049571020019064,27.076816127911012,False,-1.1246,1.168,4,4,4,100.0,28.906122193898153,39.69465648854962,7.428026692087698,0.5719733079123022,历史4/4次成功; 当前距低点0.57%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
4,86.08173668978887,79.88296610946975,000301,东方盛虹,bottom_area,2023-12-20,8.66,2023-12-20,8.65,0.11560693641618251,1.849710982658961,29.845904298459043,False,-0.8018,0.2363,5,5,5,100.0,17.830913572573255,28.337639965546952,7.884393063583818,0.11560693641618251,历史5/5次成功; 当前距低点0.12%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
5,82.43837692116001,77.92975930103098,002812,恩捷股份,bottom_area,2023-12-20,50.72,2023-12-20,50.18,1.0761259465922661,2.5707453168593046,30.334582812716924,False,-1.0341,2.3817,2,2,2,100.0,12.59852935086754,16.39800995024876,6.923874053407735,1.0761259465922661,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
6,82.18211957823749,82.18211957823749,002309,中利集团,confirmed_rebound,2023-12-20,2.6,2023-12-19,2.5,4.0000000000000036,8.399999999999999,31.129476584022036,True,0.7752,2.3668,4,4,4,100.0,16.51677192600807,30.136986301369873,3.9999999999999964,4.0000000000000036,历史4/4次成功; 当前距低点4.00%; 最新日涨幅0.78%; 状态confirmed_rebound; 底部已确认
7,81.6529218341032,79.81896136411824,301499,维科精密,bottom_area,2023-12-20,30.64,2023-12-19,29.8,2.8187919463087243,3.7583892617449695,28.537170263788976,False,1.3228,7.8416,2,2,2,100.0,21.64412366506522,21.950454687989964,5.181208053691276,2.8187919463087243,历史2/2次成功; 当前距低点2.82%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
8,81.48780805917731,75.53905107594716,603032,德新科技,bottom_area,2023-12-20,16.65,2023-12-19,16.64,0.06009615384614189,2.1033653846153717,31.66324435318275,False,-1.3626,1.2572,3,3,3,100.0,10.462743584496554,12.354085603112855,7.939903846153857,0.06009615384614189,历史3/3次成功; 当前距低点0.06%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
9,80.78140110664928,77.33940179142674,601933,永辉超市,bottom_area,2023-12-20,2.93,2023-12-20,2.88,1.7361111111111205,1.7361111111111205,27.819548872180455,False,0.0,0.3578,1,1,1,100.0,11.70825335892515,11.70825335892515,6.26388888888888,1.7361111111111205,历史1/1次成功; 当前距低点1.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,79.84035735763523,73.92625681262521,002706,良信股份,bottom_area,2023-12-20,8.3,2023-12-20,8.3,0.0,2.65060240963854,28.448275862068957,False,-2.2379,0.6672,3,3,3,100.0,13.31320867002797,14.727153188691638,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
11,78.96107898526759,73.19094705212055,002459,晶澳科技,bottom_area,2023-12-20,17.88,2023-12-20,17.87,0.05595970900950201,2.5181869054280877,28.348035284683238,False,-1.27,0.7613,2,2,2,100.0,14.454490261624771,15.855457227138645,7.944040290990498,0.05595970900950201,历史2/2次成功; 当前距低点0.06%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
