rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.17203144917687,87.10031607493033,300454,深信服,bottom_area,2024-01-16,64.35,2024-01-16,63.07,2.029491041699689,3.7577295068970944,30.677071883930534,False,0.0,1.1838,4,4,4,100.0,17.782557258094812,29.49391262831224,7.970508958300311,2.029491041699689,历史4/4次成功; 当前距低点2.03%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,90.88338867281757,86.65625431594233,688079,美迪凯,bottom_area,2024-01-16,10.25,2024-01-16,10.0,2.5,2.599999999999998,28.97727272727273,False,1.5857,2.2393,4,4,4,100.0,21.162657612593186,30.064655172413808,7.500000000000001,2.5,历史4/4次成功; 当前距低点2.50%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
3,88.87655642129594,83.85956669223036,300745,欣锐科技,bottom_area,2024-01-16,23.0,2024-01-16,22.56,1.950354609929084,4.565602836879438,32.25225225225225,False,-2.4597,4.4098,4,4,4,100.0,21.862232273487457,36.150000000000006,8.049645390070918,1.950354609929084,历史4/4次成功; 当前距低点1.95%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
4,87.9889475984312,82.75518886287921,002095,生意宝,bottom_area,2024-01-16,17.14,2024-01-10,16.84,1.7814726840855148,7.422802850356295,30.240265120132566,True,-0.9821,1.2741,3,3,3,100.0,21.32766979889348,33.84030418250951,8.218527315914486,1.7814726840855148,历史3/3次成功; 当前距低点1.78%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
5,87.7702127725228,83.3215996236872,300609,汇纳科技,bottom_area,2024-01-16,24.33,2024-01-16,23.79,2.2698612862547254,3.8251366120218586,28.126888217522666,False,-0.6939,2.4385,4,4,4,100.0,22.886469657784787,49.87035436473638,7.7301387137452755,2.2698612862547254,历史4/4次成功; 当前距低点2.27%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
6,87.56074526450045,81.52207317729352,000070,特发信息,bottom_area,2024-01-16,7.29,2024-01-16,7.2,1.249999999999998,3.055555555555552,30.568948891031816,False,-1.6194,1.1706,2,2,2,100.0,34.04340417899739,50.60532687651331,8.750000000000002,1.249999999999998,历史2/2次成功; 当前距低点1.25%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
7,86.2713594347954,80.75162790697674,603013,亚普股份,bottom_area,2024-01-16,16.59,2024-01-10,16.34,1.5299877600979193,3.671970624235015,28.175824175824175,False,-0.1805,0.4763,1,1,1,100.0,53.30739299610896,53.30739299610896,8.470012239902081,1.5299877600979193,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
8,86.13306542494972,81.23005576675844,688156,路德科技,bottom_area,2024-01-16,22.25,2024-01-16,21.83,1.9239578561612538,3.527256069628966,27.49916971105945,False,-1.1111,1.1883,3,3,3,100.0,24.0681703161618,44.22535211267606,8.076042143838746,1.9239578561612538,历史3/3次成功; 当前距低点1.92%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
9,85.33790887963019,80.22826979472141,600172,黄河旋风,bottom_area,2024-01-16,3.47,2024-01-16,3.41,1.7595307917888579,3.5190615835777024,30.122950819672127,False,-0.5731,1.6908,1,1,1,100.0,51.074589127686465,51.074589127686465,8.240469208211143,1.7595307917888579,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
10,84.99214831699761,80.69759793200244,002284,亚太股份,bottom_area,2024-01-16,8.08,2024-01-10,7.9,2.278481012658224,5.69620253164556,30.457746478873233,False,0.6227,1.4634,2,2,2,100.0,19.744809897113992,27.214170692431566,7.721518987341777,2.278481012658224,历史2/2次成功; 当前距低点2.28%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
11,84.93672548098142,80.35407100097214,688072,拓荆科技,bottom_area,2024-01-16,195.0,2024-01-16,191.01,2.088895869326218,4.381969530391082,29.192615658362993,False,1.0991,1.5752,2,2,2,100.0,15.573943994816789,19.9367088607595,7.911104130673782,2.088895869326218,历史2/2次成功; 当前距低点2.09%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
