rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,77.15582959641257,71.44058295964126,000980,众泰汽车,bottom_area,2022-03-09,3.45,2022-03-09,3.45,0.0,4.637681159420281,31.1377245508982,False,-4.9587,1.2633,1,1,1,100.0,43.49775784753364,43.49775784753364,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.96%; 状态bottom_area; 底部未确认
2,74.40786678911353,73.21841815698473,603233,大参林,bottom_area,2022-03-09,31.32,2022-03-09,30.36,3.162055335968382,6.357048748353096,27.368421052631575,False,-1.9718,0.4618,2,2,2,100.0,12.838195284906629,17.155425219941353,4.837944664031618,3.162055335968382,历史2/2次成功; 当前距低点3.16%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
3,73.08084410786523,70.7354537488308,603156,养元饮品,bottom_area,2022-03-09,23.09,2022-03-09,22.57,2.303943287549843,6.335844040762072,28.801261829652997,False,-3.2272,0.2718,1,1,1,100.0,15.851851851851857,15.851851851851857,5.696056712450157,2.303943287549843,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
4,72.9966572629202,74.09531892535752,603348,文灿股份,bottom_area,2022-03-09,36.85,2022-03-09,35.17,4.776798407733863,6.6249644583451754,30.00995024875622,False,1.5991,1.1925,1,1,1,100.0,31.539888682745836,31.539888682745836,3.2232015922661374,4.776798407733863,历史1/1次成功; 当前距低点4.78%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
5,72.42614611928455,71.50998543239815,601966,玲珑轮胎,bottom_area,2022-03-09,21.98,2022-03-09,21.27,3.338034790785147,7.381288199341797,27.8493894165536,False,-1.7434,1.2821,1,1,1,100.0,22.476907287033857,22.476907287033857,4.661965209214853,3.338034790785147,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
6,71.80223886033023,71.75841692632942,002111,威海广泰,bottom_area,2022-03-09,9.17,2022-03-09,8.82,3.968253968253964,7.482993197278913,31.415241057542765,False,-2.3429,1.232,2,2,2,100.0,14.871161150260495,15.227629513343796,4.031746031746036,3.968253968253964,历史2/2次成功; 当前距低点3.97%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
7,69.21538951625183,67.73981321187162,688258,卓易信息,confirmed_rebound,2022-03-09,28.94,2022-03-09,28.13,2.8794880910060514,8.425168858869538,27.649176954732518,False,-3.2431,2.6266,1,1,1,100.0,17.01637666325486,17.01637666325486,5.120511908993949,2.8794880910060514,历史1/1次成功; 当前距低点2.88%; 最新日涨幅-3.24%; 状态confirmed_rebound; 底部未确认
8,67.30572641847029,66.89822454308096,300572,安车检测,bottom_area,2022-03-09,17.73,2022-03-09,17.1,3.6842105263157836,7.602339181286533,30.204081632653057,False,-3.0088,3.1667,1,1,1,100.0,12.140992167101823,12.140992167101823,4.315789473684217,3.6842105263157836,历史1/1次成功; 当前距低点3.68%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
9,66.97567327594722,67.29197295101659,600183,生益科技,confirmed_rebound,2022-03-09,17.19,2022-03-09,16.49,4.2449969678593265,8.18677986658582,30.97530347425702,False,-2.2184,1.0215,1,1,1,100.0,21.132075471698116,21.132075471698116,3.755003032140674,4.2449969678593265,历史1/1次成功; 当前距低点4.24%; 最新日涨幅-2.22%; 状态confirmed_rebound; 底部未确认
10,66.86760256898674,67.8422741829574,603129,春风动力,bottom_area,2022-03-09,105.8,2022-03-09,101.0,4.75247524752475,7.920792079207921,29.360749755210513,False,-2.2,0.8288,1,1,1,100.0,20.09633197480549,20.09633197480549,3.2475247524752504,4.75247524752475,历史1/1次成功; 当前距低点4.75%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
11,66.74954884505239,66.5970849304263,002511,中顺洁柔,bottom_area,2022-03-09,12.58,2022-03-09,12.11,3.8810900082576443,7.597027250206441,31.42695356738392,False,-3.0069,1.494,1,1,1,100.0,12.93532338308459,12.93532338308459,4.118909991742356,3.8810900082576443,历史1/1次成功; 当前距低点3.88%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
12,65.88426458737521,65.05944982199829,605266,健之佳,confirmed_rebound,2022-03-09,65.5,2022-03-09,63.38,3.3449037551277963,9.656042915746287,28.537602886458448,False,-3.9308,1.3385,1,1,1,100.0,8.310916041342214,8.310916041342214,4.655096244872204,3.3449037551277963,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-3.93%; 状态confirmed_rebound; 底部未确认
13,65.62987085532023,65.7088003452244,601901,方正证券,confirmed_rebound,2022-03-09,6.66,2022-03-09,6.4,4.0624999999999964,10.156249999999991,29.51541850220264,False,-4.8571,0.4499,1,1,1,100.0,20.598388952819345,20.598388952819345,3.9375000000000036,4.0624999999999964,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-4.86%; 状态confirmed_rebound; 底部未确认
14,64.11811624694401,65.18031395585422,605319,无锡振华,confirmed_rebound,2022-03-09,15.12,2022-03-09,14.42,4.85436893203883,9.500693481276,31.169451073985677,False,-2.5773,6.0904,1,1,1,100.0,17.248790972595383,17.248790972595383,3.1456310679611703,4.85436893203883,历史1/1次成功; 当前距低点4.85%; 最新日涨幅-2.58%; 状态confirmed_rebound; 底部未确认
