rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.30326178725018,81.92400144196108,600935,华塑股份,bottom_area,2023-06-27,3.69,2023-06-27,3.65,1.0958904109589052,1.6438356164383578,28.571428571428577,False,0.8197,0.2216,1,1,1,100.0,28.50877192982458,28.50877192982458,13.904109589041095,1.0958904109589052,历史1/1次成功; 当前距低点1.10%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
2,89.72344282772367,80.0163255488341,002041,登海种业,bottom_area,2023-06-27,14.99,2023-06-26,14.79,1.3522650439486212,2.096010818120355,30.235849056603776,False,0.604,0.3424,1,1,1,100.0,21.395106715252467,21.395106715252467,13.647734956051377,1.3522650439486212,历史1/1次成功; 当前距低点1.35%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
3,89.43024118214525,83.05272283192642,600009,上海机场,bottom_area,2023-06-27,46.4,2023-06-06,44.82,3.5252119589468953,8.366800535475234,29.83719474013776,True,1.4429,0.3353,3,3,3,100.0,21.829065044759854,27.704918032786885,11.474788041053104,3.5252119589468953,历史3/3次成功; 当前距低点3.53%; 最新日涨幅1.44%; 状态bottom_area; 底部已确认
4,89.21775356957458,80.94724337515342,002299,圣农发展,bottom_area,2023-06-27,18.88,2023-06-26,18.46,2.275189599133251,4.1170097508125565,27.00672202451561,False,1.4508,0.75,2,2,2,100.0,21.046643339662563,26.73830594184577,12.724810400866748,2.275189599133251,历史2/2次成功; 当前距低点2.28%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
5,87.75061352638984,80.67231840743621,600421,退市华嵘,bottom_area,2023-06-27,10.36,2023-06-27,10.06,2.9821073558648004,4.07554671968191,28.449502133712656,False,0.2904,1.9805,1,1,1,100.0,44.900662251655625,44.900662251655625,12.017892644135198,2.9821073558648004,历史1/1次成功; 当前距低点2.98%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
6,86.15452165969288,79.20809725736083,688302,海创药业,bottom_area,2023-06-27,54.18,2023-06-26,52.61,2.984223531647976,5.873408097319908,29.70336718332443,False,2.5554,1.4328,1,1,1,100.0,37.054445750097926,37.054445750097926,12.015776468352025,2.984223531647976,历史1/1次成功; 当前距低点2.98%; 最新日涨幅2.56%; 状态bottom_area; 底部未确认
7,85.20795572055837,75.72967755204276,688236,春立医疗,bottom_area,2023-06-27,25.1,2023-06-27,24.81,1.1688835147118206,6.126561870213622,29.11428571428572,False,-3.1262,3.1624,1,1,1,100.0,28.788881535407025,28.788881535407025,13.831116485288177,1.1688835147118206,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
8,83.81431674923238,78.31432650444164,002395,双象股份,bottom_area,2023-06-27,11.32,2023-06-26,10.9,3.8532110091743115,3.944954128440364,29.677419354838708,False,2.2584,2.8518,2,2,2,100.0,26.23466454494123,36.59976387249114,11.146788990825687,3.8532110091743115,历史2/2次成功; 当前距低点3.85%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
9,82.42385650156487,76.91276326809421,601595,上海电影,bottom_area,2023-06-27,28.54,2023-06-26,27.5,3.7818181818181786,11.890909090909089,32.91046596730911,False,3.4058,3.9383,2,2,2,100.0,17.824240444299242,19.99999999999999,11.218181818181822,3.7818181818181786,历史2/2次成功; 当前距低点3.78%; 最新日涨幅3.41%; 状态bottom_area; 底部未确认
10,81.80299382260743,75.27203761755487,601669,中国电建,bottom_area,2023-06-27,5.78,2023-06-07,5.61,3.030303030303029,4.812834224598923,29.78723404255319,False,2.4823,0.942,1,1,1,100.0,16.457680250783696,16.457680250783696,11.96969696969697,3.030303030303029,历史1/1次成功; 当前距低点3.03%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
11,80.46043184596661,74.74001180782763,002481,双塔食品,bottom_area,2023-06-27,4.39,2023-06-26,4.24,3.5377358490565913,3.7735849056603805,31.61290322580645,False,2.8103,0.8152,1,1,1,100.0,19.817470664928287,19.817470664928287,11.462264150943408,3.5377358490565913,历史1/1次成功; 当前距低点3.54%; 最新日涨幅2.81%; 状态bottom_area; 底部未确认
12,79.77254201548358,74.609935097025,600256,广汇能源,bottom_area,2023-06-27,7.45,2023-06-01,7.17,3.905160390516042,5.718270571827059,29.49852507374631,False,2.4759,1.4498,1,1,1,100.0,23.62204724409449,23.62204724409449,11.094839609483957,3.905160390516042,历史1/1次成功; 当前距低点3.91%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
13,79.7174747861717,74.66418902027266,601086,国芳集团,bottom_area,2023-06-27,4.44,2023-06-26,4.27,3.9812646370023614,3.9812646370023614,28.83333333333334,False,2.7778,1.5798,1,1,1,100.0,24.846625766871185,24.846625766871185,11.018735362997639,3.9812646370023614,历史1/1次成功; 当前距低点3.98%; 最新日涨幅2.78%; 状态bottom_area; 底部未确认
14,78.76427513538663,74.15154644268773,688176,亚虹医药,bottom_area,2023-06-27,11.51,2023-06-21,11.04,4.257246376811601,4.981884057971022,31.767614338689743,False,2.1295,1.2556,1,1,1,100.0,25.473484848484844,25.473484848484844,10.742753623188399,4.257246376811601,历史1/1次成功; 当前距低点4.26%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
15,77.87289063478381,70.64401825663782,300364,中文在线,bottom_area,2023-06-27,18.04,2023-06-27,17.64,2.2675736961451167,4.761904761904761,27.347611202635914,False,0.7259,8.8797,3,5,3,60.0,18.892937009939157,20.7773851590106,12.732426303854883,2.2675736961451167,历史3/5次成功; 当前距低点2.27%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
16,77.17102118722437,73.13079420417125,000657,中钨高新,bottom_area,2023-06-27,9.53,2023-06-14,9.11,4.610318331503841,8.12294182217344,27.294493216280923,True,1.5991,0.428,1,1,1,100.0,15.120000000000006,15.120000000000006,10.38968166849616,4.610318331503841,历史1/1次成功; 当前距低点4.61%; 最新日涨幅1.60%; 状态bottom_area; 底部已确认
17,76.2158911066314,69.79666972750896,601666,平煤股份,bottom_area,2023-06-27,7.41,2023-06-26,7.21,2.773925104022194,3.051317614424407,29.10521140609636,False,2.4896,0.876,2,3,2,66.66666666666666,22.766410204370302,27.30923694779115,12.226074895977805,2.773925104022194,历史2/3次成功; 当前距低点2.77%; 最新日涨幅2.49%; 状态bottom_area; 底部未确认
18,73.42262417250613,65.0621392755925,002545,东方铁塔,bottom_area,2023-06-27,7.0,2023-06-26,6.93,1.0101010101010142,2.0202020202020283,27.58620689655173,False,0.1431,0.4837,1,2,1,50.0,28.468653648509758,28.468653648509758,13.989898989898986,1.0101010101010142,历史1/2次成功; 当前距低点1.01%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
19,73.04688798543809,69.28082195226766,600995,南网储能,bottom_area,2023-06-27,11.24,2023-06-07,10.74,4.655493482309125,6.983240223463687,32.7909887359199,False,-2.0906,1.5331,1,1,1,100.0,26.64165103189493,26.64165103189493,10.344506517690874,4.655493482309125,历史1/1次成功; 当前距低点4.66%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
20,67.66760985500858,63.37345242306331,002554,惠博普,bottom_area,2023-06-27,3.66,2023-06-26,3.52,3.9772727272727306,3.9772727272727306,27.27272727272727,False,3.9773,1.5951,2,4,2,50.0,22.428141081963094,28.404669260700388,11.022727272727268,3.9772727272727306,历史2/4次成功; 当前距低点3.98%; 最新日涨幅3.98%; 状态bottom_area; 底部未确认
21,67.65948340214467,62.00353525939734,000792,盐湖股份,bottom_area,2023-06-27,19.02,2023-05-30,18.5,2.8108108108108083,7.5675675675675595,29.49695121951219,True,0.1053,0.244,1,2,1,50.0,24.904214559386965,24.904214559386965,12.189189189189191,2.8108108108108083,历史1/2次成功; 当前距低点2.81%; 最新日涨幅0.11%; 状态bottom_area; 底部已确认
22,64.44630384975926,57.686338870730204,001219,青岛食品,bottom_area,2023-06-27,17.69,2023-06-26,17.42,1.5499425947187115,1.6073478760045785,29.158194387962578,False,0.683,2.226,1,4,1,25.0,16.264559068219636,16.264559068219636,13.450057405281287,1.5499425947187115,历史1/4次成功; 当前距低点1.55%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
23,61.75018876754779,56.332886890517564,603335,迪生力,bottom_area,2023-06-27,6.39,2023-06-27,6.23,2.568218298555365,2.568218298555365,27.134502923976612,False,1.9139,4.3032,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,12.431781701444635,2.568218298555365,历史1/3次成功; 当前距低点2.57%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
24,60.13379092976422,55.58339015151517,000545,金浦钛业,bottom_area,2023-06-27,2.84,2023-06-26,2.75,3.2727272727272676,3.2727272727272676,29.30591259640103,False,2.8986,0.6862,1,3,1,33.33333333333333,24.6875,24.6875,11.727272727272732,3.2727272727272676,历史1/3次成功; 当前距低点3.27%; 最新日涨幅2.90%; 状态bottom_area; 底部未确认
25,59.78716808961509,52.837608247422686,688256,寒武纪,bottom_area,2023-06-27,196.69,2023-06-27,195.0,0.8666666666666656,3.9230769230769256,27.643784786641927,False,-2.8691,3.2577,1,2,1,50.0,23.298969072164944,23.298969072164944,14.133333333333335,0.8666666666666656,历史1/2次成功; 当前距低点0.87%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
26,58.585035460992955,55.3466666666667,601388,怡球资源,bottom_area,2023-06-27,2.82,2023-06-26,2.7,4.444444444444431,5.185185185185174,28.571428571428566,False,4.4444,0.7775,1,2,1,50.0,18.333333333333325,18.333333333333325,10.555555555555568,4.444444444444431,历史1/2次成功; 当前距低点4.44%; 最新日涨幅4.44%; 状态bottom_area; 底部未确认
27,56.90224136325505,53.17596986873583,600409,三友化工,bottom_area,2023-06-27,5.38,2023-06-14,5.18,3.8610038610038644,6.370656370656372,30.000000000000004,False,3.263,0.7118,1,3,1,33.33333333333333,18.95551257253386,18.95551257253386,11.138996138996134,3.8610038610038644,历史1/3次成功; 当前距低点3.86%; 最新日涨幅3.26%; 状态bottom_area; 底部未确认
