rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.70107555015186,77.50873108598175,300633,开立医疗,bottom_area,2023-08-09,43.19,2023-08-08,42.3,2.1040189125295523,3.3096926713948127,32.44969658256148,False,0.817,1.0941,1,1,1,100.0,17.12846347607052,17.12846347607052,12.895981087470448,2.1040189125295523,历史1/1次成功; 当前距低点2.10%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
2,85.52709230492722,78.0500305543431,688143,长盈通,bottom_area,2023-08-09,29.75,2023-08-09,29.0,2.586206896551724,3.655172413793099,30.605407992342666,False,0.2021,0.952,1,1,1,100.0,25.949367088607595,25.949367088607595,12.413793103448276,2.586206896551724,历史1/1次成功; 当前距低点2.59%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
3,84.90976559334577,74.44609826667245,688328,深科达,bottom_area,2023-08-09,22.76,2023-08-09,22.66,0.4413062665489913,3.662842012356568,27.994915792818553,False,-2.1917,3.5617,2,2,2,100.0,25.92621803443088,29.170984455958543,14.558693733451008,0.4413062665489913,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
4,83.00894433003653,73.43666917116283,300342,天银机电,bottom_area,2023-08-09,10.94,2023-08-09,10.84,0.9225092250922476,4.243542435424362,30.10960670535139,False,-3.3569,4.7375,3,3,3,100.0,19.9461838944793,26.68539325842696,14.077490774907753,0.9225092250922476,历史3/3次成功; 当前距低点0.92%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
5,82.84519237139371,75.98732728501776,688300,联瑞新材,bottom_area,2023-08-09,43.18,2023-08-08,41.98,2.8585040495474106,6.479275845640796,28.239316239316242,False,-2.9445,0.3219,2,2,2,100.0,24.003852247235756,26.809910956252438,12.141495950452589,2.8585040495474106,历史2/2次成功; 当前距低点2.86%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
6,79.13449758559192,72.88459080148499,002045,国光电器,bottom_area,2023-08-09,13.72,2023-07-28,13.31,3.0803906836964696,6.536438767843721,27.937195452084456,False,-1.4368,1.0962,3,4,3,75.0,30.875707313510432,33.77563329312426,11.91960931630353,3.0803906836964696,历史3/4次成功; 当前距低点3.08%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
7,78.61127561298075,74.11412259203625,688278,特宝生物,bottom_area,2023-08-09,34.18,2023-07-28,32.76,4.33455433455434,10.012210012210017,28.205128205128215,True,1.1243,0.4165,1,1,1,100.0,17.0263788968825,17.0263788968825,10.665445665445661,4.33455433455434,历史1/1次成功; 当前距低点4.33%; 最新日涨幅1.12%; 状态bottom_area; 底部已确认
8,78.37444100229611,73.20742609949532,600935,华塑股份,bottom_area,2023-08-09,3.79,2023-06-27,3.65,3.835616438356168,7.671232876712336,28.571428571428577,True,-0.2632,0.2933,1,1,1,100.0,28.50877192982458,28.50877192982458,11.164383561643831,3.835616438356168,历史1/1次成功; 当前距低点3.84%; 最新日涨幅-0.26%; 状态bottom_area; 底部已确认
9,77.20078508377458,73.60263639845411,002755,奥赛康,bottom_area,2023-08-09,8.08,2023-08-08,7.7,4.935064935064934,5.844155844155846,31.00358422939068,False,1.7632,0.5216,1,1,1,100.0,30.831099195710454,30.831099195710454,10.064935064935066,4.935064935064934,历史1/1次成功; 当前距低点4.94%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
10,77.01350851323299,73.01120175060231,002219,新里程,bottom_area,2023-08-09,3.84,2023-08-07,3.67,4.632152588555857,5.449591280653956,29.42307692307693,False,1.3193,0.7278,1,1,1,100.0,23.938223938223942,23.938223938223942,10.367847411444142,4.632152588555857,历史1/1次成功; 当前距低点4.63%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
11,72.93131719793385,69.14428360685967,601669,中国电建,bottom_area,2023-08-09,5.87,2023-06-07,5.61,4.634581105169336,8.377896613190726,29.78723404255319,True,-0.6768,0.4663,1,1,1,100.0,16.457680250783696,16.457680250783696,10.365418894830663,4.634581105169336,历史1/1次成功; 当前距低点4.63%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
