rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.36818755328217,85.06705882352941,301260,格力博,bottom_area,2025-06-16,19.32,2025-06-16,19.04,1.4705882352941237,2.4684873949579957,27.272727272727277,False,0.625,2.6543,1,1,1,100.0,58.71313672922254,58.71313672922254,18.529411764705877,1.4705882352941237,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
2,98.28298358535841,83.93487157628093,002136,安纳达,bottom_area,2025-06-16,10.6,2025-06-13,10.46,1.3384321223709252,2.963671128107062,30.0334448160535,False,0.6648,3.0233,1,1,1,100.0,42.29299363057326,42.29299363057326,18.661567877629075,1.3384321223709252,历史1/1次成功; 当前距低点1.34%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
3,98.1729433579115,83.3473575273485,000811,冰轮环境,bottom_area,2025-06-16,8.95,2025-06-16,8.86,1.0158013544018043,1.4672686230248395,31.264546159813815,False,0.0,1.6517,1,1,1,100.0,35.17948717948718,35.17948717948718,18.984198645598198,1.0158013544018043,历史1/1次成功; 当前距低点1.02%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,97.09225575398904,83.90017621145375,605005,合兴股份,bottom_area,2025-06-16,18.52,2025-06-16,18.16,1.9823788546255476,2.1475770925110163,31.75497933107854,False,0.5975,0.9563,1,1,1,100.0,96.96521095484826,96.96521095484826,18.017621145374456,1.9823788546255476,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
5,95.3583011501277,81.90283534366797,002909,集泰股份,bottom_area,2025-06-16,6.16,2025-06-16,6.06,1.650165016501659,2.640264026402643,27.598566308243726,False,0.9836,3.5526,1,1,1,100.0,35.18930957683742,35.18930957683742,18.349834983498344,1.650165016501659,历史1/1次成功; 当前距低点1.65%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
6,92.656054848333,79.75177464530752,688448,磁谷科技,bottom_area,2025-06-16,28.8,2025-06-13,28.3,1.76678445229682,2.65017667844523,28.154353896928153,False,1.2302,1.618,1,1,1,100.0,25.053995680345576,25.053995680345576,18.23321554770318,1.76678445229682,历史1/1次成功; 当前距低点1.77%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
7,91.27256657560952,79.16844091903722,603577,汇金通,bottom_area,2025-06-16,9.34,2025-06-16,9.14,2.1881838074398168,2.297592997811806,28.926905132192836,False,0.7551,3.3986,1,1,1,100.0,27.083333333333325,27.083333333333325,17.811816192560183,2.1881838074398168,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
8,91.05475063830109,80.71578844270326,001230,劲旅环境,bottom_area,2025-06-16,21.11,2025-06-13,20.42,3.3790401567090975,5.484818805093033,27.356812522234076,False,2.9254,12.5887,1,1,1,100.0,84.69119579500656,84.69119579500656,16.6209598432909,3.3790401567090975,历史1/1次成功; 当前距低点3.38%; 最新日涨幅2.93%; 状态bottom_area; 底部未确认
9,89.21596374576714,78.11535996173161,600770,综艺股份,bottom_area,2025-06-16,5.32,2025-06-13,5.18,2.702702702702714,3.281853281853281,31.390728476821195,False,2.3077,2.6989,1,1,1,100.0,27.72861356932153,27.72861356932153,17.297297297297288,2.702702702702714,历史1/1次成功; 当前距低点2.70%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
10,88.94015657122874,76.48736816524485,688188,柏楚电子,bottom_area,2025-06-16,139.01,2025-06-11,136.66,1.7195960778574524,2.8757500365871556,31.8675840063815,False,-0.3513,0.264,1,1,1,100.0,29.3981033481711,29.3981033481711,18.28040392214255,1.7195960778574524,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
11,77.94946439201456,70.09843920145192,605388,均瑶健康,bottom_area,2025-06-16,9.0,2025-06-16,8.64,4.16666666666666,5.555555555555539,29.9837925445705,False,-1.0989,7.5419,1,1,1,100.0,25.045372050816695,25.045372050816695,15.833333333333341,4.16666666666666,历史1/1次成功; 当前距低点4.17%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
12,69.65139834637631,60.93933102242906,300819,聚杰微纤,bottom_area,2025-06-16,21.6,2025-06-13,21.04,2.6615969581749157,3.9923954372623567,32.12903225806452,False,1.1236,1.4411,1,2,1,50.0,26.54716175842936,26.54716175842936,17.338403041825085,2.6615969581749157,历史1/2次成功; 当前距低点2.66%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
