rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.33146273644404,81.05111620732517,603033,三维股份,bottom_area,2023-08-03,15.3,2023-08-01,15.1,1.3245033112582854,2.7814569536423837,29.995363931386187,False,-0.3906,0.1272,3,3,3,100.0,15.757977188140112,24.922480620155024,6.675496688741715,1.3245033112582854,历史3/3次成功; 当前距低点1.32%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
2,83.49765844634396,78.69221450222868,002829,星网宇达,bottom_area,2023-08-03,30.76,2023-08-02,30.48,0.9186351706036784,2.1981627296587867,31.918695555059195,False,0.0325,1.2305,3,3,3,100.0,15.4661435011025,21.628131021194598,7.081364829396322,0.9186351706036784,历史3/3次成功; 当前距低点0.92%; 最新日涨幅0.03%; 状态bottom_area; 底部未确认
3,83.25374761567966,79.16106662034223,300633,开立医疗,bottom_area,2023-08-03,44.1,2023-08-02,43.5,1.3793103448275894,4.597701149425287,30.53337591823698,False,0.387,1.0916,1,1,1,100.0,17.12846347607052,17.12846347607052,6.620689655172411,1.3793103448275894,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
4,81.16506223034655,78.80366044651957,600081,东风科技,bottom_area,2023-08-03,11.64,2023-07-28,11.36,2.4647887323943762,4.5774647887324065,31.27646702964308,False,0.0,0.0,2,2,2,100.0,11.84612234612234,13.923013923013915,5.535211267605624,2.4647887323943762,历史2/2次成功; 当前距低点2.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,80.15553125504643,80.12774128697002,002045,国光电器,bottom_area,2023-08-03,13.84,2023-07-28,13.31,3.9819684447783574,6.386175807663408,27.937195452084456,False,-0.7885,1.6067,4,4,4,100.0,26.70230828529398,33.77563329312426,4.018031555221643,3.9819684447783574,历史4/4次成功; 当前距低点3.98%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
6,79.66403497089433,75.18256446179888,300342,天银机电,bottom_area,2023-08-03,11.22,2023-07-28,11.11,0.9900990099010011,4.230423042304237,28.368794326241137,False,-1.0582,2.7689,3,3,3,100.0,19.9461838944793,26.68539325842696,7.009900990098999,0.9900990099010011,历史3/3次成功; 当前距低点0.99%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
7,78.9205381258914,77.19982978117346,002403,爱仕达,bottom_area,2023-08-03,8.65,2023-07-28,8.41,2.8537455410225947,3.8049940546967926,32.61217948717949,False,-0.5747,1.4382,3,3,3,100.0,13.797686100564366,21.63892445582587,5.146254458977405,2.8537455410225947,历史3/3次成功; 当前距低点2.85%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
8,78.4881362985739,76.55496456728581,688095,福昕软件,bottom_area,2023-08-03,98.78,2023-08-02,96.18,2.7032647119983304,3.9301310043667983,28.75555555555555,False,-0.1011,2.1215,2,2,2,100.0,25.152731777645194,31.679509356817103,5.29673528800167,2.7032647119983304,历史2/2次成功; 当前距低点2.70%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
9,76.31635851525523,76.48060639518755,688027,国盾量子,bottom_area,2023-08-03,142.3,2023-07-28,136.68,4.111793971319874,7.952882645595555,27.096223597183695,True,-0.1474,0.5735,3,3,3,100.0,16.15858413869275,26.382393397524062,3.888206028680126,4.111793971319874,历史3/3次成功; 当前距低点4.11%; 最新日涨幅-0.15%; 状态bottom_area; 底部已确认
10,76.14137110697929,74.01094444610135,688143,长盈通,bottom_area,2023-08-03,30.46,2023-08-01,29.71,2.524402558061259,6.294177044766064,28.906436946637946,False,-1.2322,1.737,1,1,1,100.0,25.949367088607595,25.949367088607595,5.475597441938741,2.524402558061259,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
11,76.065339379917,76.65271651798587,688300,联瑞新材,bottom_area,2023-08-03,44.37,2023-08-02,42.5,4.399999999999994,5.5764705882352885,27.350427350427353,False,0.8638,0.8252,2,2,2,100.0,24.003852247235756,26.809910956252438,3.600000000000006,4.399999999999994,历史2/2次成功; 当前距低点4.40%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
