rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.01215591623848,78.87023402347987,603319,美湖股份,bottom_area,2024-12-31,19.7,2024-12-31,19.62,0.4077471967380137,5.504587155963294,30.07840342124019,False,-3.5732,4.0008,4,4,4,100.0,26.182245333561973,43.981481481481474,14.592252803261985,0.4077471967380137,历史4/4次成功; 当前距低点0.41%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
2,89.2824643674648,79.28077673007546,002481,双塔食品,bottom_area,2024-12-31,5.41,2024-12-25,5.35,1.1214953271028132,7.4766355140186995,28.18791946308725,True,-2.17,2.3821,3,4,3,75.0,32.057989655214385,54.6583850931677,13.878504672897185,1.1214953271028132,历史3/4次成功; 当前距低点1.12%; 最新日涨幅-2.17%; 状态bottom_area; 底部已确认
3,86.93168555093555,76.61775675675676,600106,重庆路桥,bottom_area,2024-12-31,5.59,2024-12-25,5.55,0.7207207207207215,7.567567567567567,30.88418430884184,True,-2.9514,1.6911,1,1,1,100.0,48.50000000000001,48.50000000000001,14.279279279279278,0.7207207207207215,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-2.95%; 状态bottom_area; 底部已确认
4,85.79467823141538,76.26687737041719,002421,达实智能,bottom_area,2024-12-31,3.43,2024-12-25,3.39,1.1799410029498536,8.259587020648961,28.78151260504201,True,-3.6517,3.4806,1,1,1,100.0,22.619047619047613,22.619047619047613,13.820058997050147,1.1799410029498536,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-3.65%; 状态bottom_area; 底部已确认
5,85.48860929919327,74.97652478742552,688280,精进电动,bottom_area,2024-12-31,4.39,2024-12-30,4.37,0.4576659038901504,5.949656750572077,27.166666666666668,False,-3.0905,1.0111,3,3,3,100.0,22.526898109113223,32.37518910741301,14.54233409610985,0.4576659038901504,历史3/3次成功; 当前距低点0.46%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
6,84.71604720150823,79.92474692757754,300536,农尚环境,bottom_area,2024-12-31,5.73,2024-12-30,5.49,4.371584699453555,12.386156648451726,31.116687578419068,True,3.0576,3.1948,5,6,5,83.33333333333334,34.8313263924641,60.27027027027027,10.628415300546445,4.371584699453555,历史5/6次成功; 当前距低点4.37%; 最新日涨幅3.06%; 状态bottom_area; 底部已确认
7,84.62847192433289,73.58997558637643,300551,古鳌科技,bottom_area,2024-12-31,9.97,2024-12-31,9.97,0.0,8.124373119358062,31.241379310344826,False,-6.032,5.9085,3,3,3,100.0,21.720298851486206,28.36676217765042,15.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-6.03%; 状态bottom_area; 底部未确认
8,84.50437093996821,73.78948062035995,300705,九典制药,bottom_area,2024-12-31,17.95,2024-12-31,17.91,0.22333891680624873,7.091010608598546,32.87106446776612,False,-10.1152,11.784,2,2,2,100.0,29.939211562786006,41.42097631706138,14.776661083193751,0.22333891680624873,历史2/2次成功; 当前距低点0.22%; 最新日涨幅-10.12%; 状态bottom_area; 底部未确认
9,83.97112495089922,73.82313432822872,000691,亚太实业,bottom_area,2024-12-31,3.43,2024-12-26,3.41,0.5865102639296192,8.504398826979473,30.691056910569102,True,-2.0,3.714,3,4,3,75.0,35.99665446230238,76.05633802816902,14.413489736070382,0.5865102639296192,历史3/4次成功; 当前距低点0.59%; 最新日涨幅-2.00%; 状态bottom_area; 底部已确认
10,83.8639677859024,74.82854788787651,603058,永吉股份,bottom_area,2024-12-31,8.82,2024-12-25,8.7,1.3793103448275978,6.781609195402298,28.21782178217822,False,-2.9703,1.7316,1,1,1,100.0,16.308470290771165,16.308470290771165,13.620689655172402,1.3793103448275978,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
11,83.09383199488826,72.47475573049317,002016,世荣兆业,bottom_area,2024-12-31,6.18,2024-12-31,6.17,0.16207455429497222,3.2414910858995163,29.080459770114935,False,-2.2152,0.6004,1,1,1,100.0,28.571428571428566,28.571428571428566,14.837925445705027,0.16207455429497222,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
