rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
13,75.11133339386183,66.2895324918982,301499,维科精密,bottom_area,2024-10-16,26.3,2024-10-14,25.5,3.137254901960787,8.78431372549019,29.166666666666668,True,-0.6047,8.3306,2,3,2,66.66666666666666,21.64412366506522,21.950454687989964,16.862745098039213,3.137254901960787,历史2/3次成功; 当前距低点3.14%; 最新日涨幅-0.60%; 状态bottom_area; 底部已确认
14,74.51029282993878,65.22858585858589,000430,张家界,bottom_area,2024-10-16,6.1,2024-10-16,5.94,2.693602693602681,3.5353535353535346,28.433734939759038,False,0.0,3.8269,1,2,1,50.0,53.99999999999999,53.99999999999999,17.30639730639732,2.693602693602681,历史1/2次成功; 当前距低点2.69%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
15,70.85212295193747,62.12029729688786,688320,禾川科技,bottom_area,2024-10-16,26.28,2024-10-14,25.57,2.7766914352757173,9.307782557684781,30.440696409140365,True,-1.573,2.0468,2,5,2,40.0,35.920181555465064,38.29133374308544,17.22330856472428,2.7766914352757173,历史2/5次成功; 当前距低点2.78%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
16,68.85836436287767,58.62732191163208,688121,卓然股份,bottom_area,2024-10-16,11.22,2024-10-16,11.09,1.1722272317403135,3.2461677186654594,27.98701298701299,False,-1.4925,1.831,1,5,1,20.0,55.206611570247944,55.206611570247944,18.82777276825969,1.1722272317403135,历史1/5次成功; 当前距低点1.17%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
17,67.48375445181735,57.285746839977556,688177,百奥泰,bottom_area,2024-10-16,22.02,2024-10-16,21.8,1.0091743119266001,3.4862385321100824,28.242264647794595,False,-1.2556,0.6151,1,3,1,33.33333333333333,28.56629536471435,28.56629536471435,18.9908256880734,1.0091743119266001,历史1/3次成功; 当前距低点1.01%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
18,66.53012863453233,56.61865443425078,688148,芳源股份,bottom_area,2024-10-16,4.41,2024-10-16,4.36,1.146788990825684,3.6697247706421847,27.333333333333325,False,-1.5625,1.796,1,3,1,33.33333333333333,26.66666666666668,26.66666666666668,18.853211009174316,1.146788990825684,历史1/3次成功; 当前距低点1.15%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
19,66.08816355158501,57.55000680437809,688117,圣诺生物,bottom_area,2024-10-16,26.84,2024-10-14,26.21,2.4036627241510833,5.036245707745136,29.123850730124385,False,1.9757,1.8942,1,3,1,33.33333333333333,24.6076585059636,24.6076585059636,17.596337275848917,2.4036627241510833,历史1/3次成功; 当前距低点2.40%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
20,65.32417059148676,55.75044210129011,300693,盛弘股份,bottom_area,2024-10-16,24.12,2024-10-16,23.81,1.3019739605207992,3.149937001259975,27.62917933130699,False,-1.6313,3.2891,1,5,1,20.0,36.12334801762114,36.12334801762114,18.698026039479203,1.3019739605207992,历史1/5次成功; 当前距低点1.30%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
21,65.27833870271564,55.2104192740926,688062,迈威生物,bottom_area,2024-10-16,23.69,2024-10-16,23.5,0.8085106382978777,4.553191489361703,28.78787878787879,False,-1.4559,1.4458,1,2,1,50.0,35.34313725490197,35.34313725490197,19.191489361702125,0.8085106382978777,历史1/2次成功; 当前距低点0.81%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
22,65.12621950565887,55.710380540985284,688105,诺唯赞,bottom_area,2024-10-16,21.3,2024-10-16,21.0,1.428571428571432,3.7142857142857197,27.785419532324617,False,-1.4345,1.2283,1,3,1,33.33333333333333,25.237580993520524,25.237580993520524,18.57142857142857,1.428571428571432,历史1/3次成功; 当前距低点1.43%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
23,60.193816633630966,54.27925007385876,300615,欣天科技,bottom_area,2024-10-16,11.6,2024-10-11,11.12,4.316546762589932,11.960431654676261,28.165374677002593,True,-1.1925,5.0479,1,2,1,50.0,24.306326304106545,24.306326304106545,15.683453237410069,4.316546762589932,历史1/2次成功; 当前距低点4.32%; 最新日涨幅-1.19%; 状态bottom_area; 底部已确认
24,58.80186442971186,51.728820897486514,300759,康龙化成,bottom_area,2024-10-16,26.08,2024-10-16,25.33,2.9609159099881563,3.8294512435846917,30.45030203185064,False,-4.8522,4.6613,1,3,1,33.33333333333333,32.829977628635355,32.829977628635355,17.039084090011844,2.9609159099881563,历史1/3次成功; 当前距低点2.96%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
25,58.31708640766166,49.19879035207468,300347,泰格医药,bottom_area,2024-10-16,60.01,2024-10-16,59.61,0.6710283509478251,2.9357490353967455,27.99855054958329,False,-2.232,1.7804,1,3,1,33.33333333333333,20.78172934893761,20.78172934893761,19.328971649052175,0.6710283509478251,历史1/3次成功; 当前距低点0.67%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
