rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
17,76.99505731222412,72.47720789792066,688115,思林杰,bottom_area,2025-09-05,53.71,2025-09-05,51.52,4.250776397515523,4.289596273291913,32.30850085402706,False,2.5979,2.8361,5,7,5,71.42857142857143,28.297117196461112,53.58819584171696,10.749223602484475,4.250776397515523,历史5/7次成功; 当前距低点4.25%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
18,76.56636982614175,69.79873567309889,688011,新光光电,bottom_area,2025-09-05,34.86,2025-09-04,34.0,2.529411764705881,14.705882352941178,29.387331256490135,False,0.548,3.783,3,5,3,60.0,17.558034928109123,19.069767441860456,12.470588235294118,2.529411764705881,历史3/5次成功; 当前距低点2.53%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
19,75.66449556964126,65.79521353881849,000691,亚太实业,bottom_area,2025-09-05,5.83,2025-09-05,5.83,0.0,0.0,27.397260273972595,False,-5.0489,0.6169,4,6,4,66.66666666666666,35.36853157070869,76.05633802816902,15.0,0.0,历史4/6次成功; 当前距低点0.00%; 最新日涨幅-5.05%; 状态bottom_area; 底部未确认
20,74.91608937246988,71.37154038515068,603280,南方路机,bottom_area,2025-09-05,43.07,2025-09-04,41.06,4.89527520701412,5.138821237213832,30.875420875420872,False,3.2854,15.3751,1,1,1,100.0,18.348214285714302,18.348214285714302,10.104724792985879,4.89527520701412,历史1/1次成功; 当前距低点4.90%; 最新日涨幅3.29%; 状态bottom_area; 底部未确认
21,73.65494045610048,69.89051244821877,002795,永和智控,bottom_area,2025-09-05,4.92,2025-08-28,4.7,4.680851063829781,5.957446808510643,31.884057971014496,False,1.6529,2.856,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,10.319148936170219,4.680851063829781,历史4/6次成功; 当前距低点4.68%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
22,72.78115079972233,69.11687068148447,300192,科德教育,bottom_area,2025-09-05,19.73,2025-09-05,18.84,4.723991507431001,5.732484076433131,32.18142548596112,False,-0.6045,10.7541,1,1,1,100.0,26.599845797995382,26.599845797995382,10.276008492568998,4.723991507431001,历史1/1次成功; 当前距低点4.72%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
23,72.36081686094788,66.18995881812101,605169,洪通燃气,bottom_area,2025-09-05,14.77,2025-09-05,14.38,2.71210013908205,2.71210013908205,31.064237775647165,False,0.6817,1.1441,2,4,2,50.0,22.06208137219406,26.09375,12.28789986091795,2.71210013908205,历史2/4次成功; 当前距低点2.71%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
24,71.57753928274695,65.67018110001167,603192,汇得科技,bottom_area,2025-09-05,22.2,2025-09-04,21.58,2.873030583873962,2.873030583873962,27.266599258510286,False,1.6484,1.3524,2,4,2,50.0,21.240273286259704,25.562817719680464,12.126969416126038,2.873030583873962,历史2/4次成功; 当前距低点2.87%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
25,70.76592970454811,66.30828488641869,002148,北纬科技,bottom_area,2025-09-05,10.13,2025-09-05,9.74,4.004106776180704,4.004106776180704,32.31410701876303,False,1.9115,6.8592,2,3,2,66.66666666666666,19.09129929808615,19.756097560975626,10.995893223819294,4.004106776180704,历史2/3次成功; 当前距低点4.00%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
26,67.97564079516961,61.095730296557285,601669,中国电建,bottom_area,2025-09-05,5.75,2025-09-04,5.65,1.7699115044247724,1.9469026548672466,27.93367346938775,False,1.0545,1.6177,1,2,1,50.0,16.457680250783696,16.457680250783696,13.230088495575226,1.7699115044247724,历史1/2次成功; 当前距低点1.77%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
