rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
39,76.34599023616174,72.0342620084177,002383,合众思壮,bottom_area,2024-12-25,8.37,2024-12-25,8.21,1.9488428745432198,6.577344701583423,31.06633081444164,False,-4.0138,4.8173,1,1,1,100.0,18.48184818481848,18.48184818481848,8.05115712545678,1.9488428745432198,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-4.01%; 状态bottom_area; 底部未确认
40,75.81610748582602,69.46280238924841,002321,华英农业,bottom_area,2024-12-25,2.46,2024-12-25,2.45,0.40816326530611374,7.346938775510193,30.790960451977394,False,-6.8182,3.3146,1,1,1,100.0,25.609756097560986,25.609756097560986,9.591836734693887,0.40816326530611374,历史1/1次成功; 当前距低点0.41%; 最新日涨幅-6.82%; 状态bottom_area; 底部未确认
41,75.66483250188254,74.94763029807321,000882,华联股份,bottom_area,2024-12-25,2.09,2024-12-25,2.0,4.499999999999993,8.499999999999996,31.506849315068493,False,-0.4762,6.3246,3,3,3,100.0,21.868980097167658,29.268292682926838,5.500000000000008,4.499999999999993,历史3/3次成功; 当前距低点4.50%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
42,74.83694260513994,70.99729308135252,000668,荣丰控股,bottom_area,2024-12-25,6.86,2024-12-25,6.71,2.235469448584208,7.153502235469455,32.085020242914986,False,-4.0559,3.7855,1,1,1,100.0,16.420233463035032,16.420233463035032,7.764530551415792,2.235469448584208,历史1/1次成功; 当前距低点2.24%; 最新日涨幅-4.06%; 状态bottom_area; 底部未确认
43,73.9739015495319,67.92867656006682,300340,科恒股份,bottom_area,2024-12-25,9.54,2024-12-25,9.49,0.5268703898840773,6.95468914646997,29.703703703703706,False,-5.4509,5.188,3,4,3,75.0,22.983554026895213,42.54473161033797,9.473129610115922,0.5268703898840773,历史3/4次成功; 当前距低点0.53%; 最新日涨幅-5.45%; 状态bottom_area; 底部未确认
44,73.94106496288072,70.04423765663151,002374,中锐股份,bottom_area,2024-12-25,2.84,2024-12-25,2.78,2.158273381294966,8.992805755395684,31.86274509803922,False,-5.0167,2.8569,3,4,3,75.0,14.51667186012914,20.94240837696336,7.841726618705034,2.158273381294966,历史3/4次成功; 当前距低点2.16%; 最新日涨幅-5.02%; 状态bottom_area; 底部未确认
45,73.83364799180966,70.9288597267179,603123,翠微股份,bottom_area,2024-12-25,8.18,2024-12-25,7.95,2.8930817610062833,6.289308176100618,29.770318021201415,False,-3.0806,2.7928,4,5,4,80.0,17.446699687162493,29.08496732026144,7.1069182389937176,2.8930817610062833,历史4/5次成功; 当前距低点2.89%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
46,73.74652693206096,68.90075924864011,002355,兴民智通,bottom_area,2024-12-25,6.37,2024-12-25,6.28,1.433121019108278,7.643312101910821,27.733026467203675,False,-5.4896,5.438,4,6,4,66.66666666666666,17.535529599679155,21.138211382113823,8.566878980891723,1.433121019108278,历史4/6次成功; 当前距低点1.43%; 最新日涨幅-5.49%; 状态bottom_area; 底部未确认
47,73.59071476033826,72.19175210528161,300355,蒙草生态,bottom_area,2024-12-25,5.47,2024-12-25,5.26,3.9923954372623567,7.604562737642592,29.58500669344043,False,-3.5273,6.609,2,2,2,100.0,27.711901624945106,33.201581027668,6.007604562737644,3.9923954372623567,历史2/2次成功; 当前距低点3.99%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
48,73.34586181802794,71.22756977996215,002725,跃岭股份,bottom_area,2024-12-25,10.76,2024-12-25,10.4,3.4615384615384563,7.211538461538461,29.107021131561005,False,-3.5842,5.6254,2,2,2,100.0,16.020846625106657,18.562874251497018,6.5384615384615445,3.4615384615384563,历史2/2次成功; 当前距低点3.46%; 最新日涨幅-3.58%; 状态bottom_area; 底部未确认
49,73.21656842147189,69.64935057667114,600250,南京商旅,bottom_area,2024-12-25,9.04,2024-12-25,8.83,2.3782559456398533,6.002265005662507,31.069476971116316,False,-4.034,4.5603,3,4,3,75.0,15.09018350930115,19.004524886877824,7.621744054360146,2.3782559456398533,历史3/4次成功; 当前距低点2.38%; 最新日涨幅-4.03%; 状态bottom_area; 底部未确认
50,73.19383528778896,69.88904140325253,002583,海能达,bottom_area,2024-12-25,14.74,2024-12-25,14.37,2.5748086290883854,6.750173973556024,28.078078078078082,False,-3.7859,10.8885,1,1,1,100.0,14.621532675129286,14.621532675129286,7.425191370911616,2.5748086290883854,历史1/1次成功; 当前距低点2.57%; 最新日涨幅-3.79%; 状态bottom_area; 底部未确认
51,73.08832681017614,66.44393346379648,002743,富煌钢构,bottom_area,2024-12-25,6.16,2024-12-25,6.16,0.0,4.383116883116876,29.51945080091533,False,-9.9415,3.6646,1,1,1,100.0,16.634050880626212,16.634050880626212,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.94%; 状态bottom_area; 底部未确认
52,73.01160108973352,67.60095436225987,002298,中电鑫龙,bottom_area,2024-12-25,5.26,2024-12-25,5.21,0.9596928982725494,6.717850287907863,28.23691460055096,False,-4.8825,5.3758,4,5,4,80.0,15.69383962538324,23.734729493891784,9.040307101727452,0.9596928982725494,历史4/5次成功; 当前距低点0.96%; 最新日涨幅-4.88%; 状态bottom_area; 底部未确认
53,72.64391480275687,66.57345383946421,688196,卓越新能,bottom_area,2024-12-25,33.35,2024-12-25,33.21,0.42155977115326876,6.233062330623307,30.61011282908483,False,-4.6871,0.9023,3,4,3,75.0,14.406506009105732,19.41979522184301,9.578440228846732,0.42155977115326876,历史3/4次成功; 当前距低点0.42%; 最新日涨幅-4.69%; 状态bottom_area; 底部未确认
