rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.87396106330176,83.79157119476265,688315,诺禾致源,bottom_area,2022-04-28,18.6,2022-04-27,18.33,1.4729950900163837,9.165302782324078,29.904397705544937,True,-5.8228,1.1697,2,2,2,100.0,54.319731958499396,86.2826357231662,18.527004909983617,1.4729950900163837,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-5.82%; 状态bottom_area; 底部已确认
2,89.67048504773678,77.61461139896373,000607,华媒控股,bottom_area,2022-04-28,3.94,2022-04-28,3.86,2.072538860103629,7.25388601036269,28.518518518518526,False,-4.3689,2.2456,1,1,1,100.0,59.82721382289418,59.82721382289418,17.927461139896373,2.072538860103629,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
3,88.30323358461581,75.12806545547784,001212,中旗新材,bottom_area,2022-04-28,22.33,2022-04-28,22.08,1.1322463768115945,7.201086956521754,31.193518229978203,False,-7.8035,4.6356,1,1,1,100.0,25.105307497893843,25.105307497893843,18.867753623188406,1.1322463768115945,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-7.80%; 状态bottom_area; 底部未确认
4,88.04112337634142,77.21433127381704,000012,南玻A,bottom_area,2022-04-28,5.52,2022-04-27,5.37,2.793296089385465,4.655493482309125,29.527559055118108,False,-1.0753,1.7874,1,1,1,100.0,46.467991169977914,46.467991169977914,17.206703910614536,2.793296089385465,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
5,87.78173166985059,75.22265508817098,300559,佳发教育,bottom_area,2022-04-28,7.99,2022-04-27,7.87,1.5247776365946646,9.021601016518424,29.035166816952206,True,-6.6589,1.6948,1,1,1,100.0,21.231979030144167,21.231979030144167,18.475222363405337,1.5247776365946646,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-6.66%; 状态bottom_area; 底部已确认
6,87.39489508839301,74.98590436590436,001218,丽臣实业,bottom_area,2022-04-28,29.32,2022-04-27,28.86,1.593901593901597,5.440055440055441,32.72727272727273,False,-3.4891,1.6044,1,1,1,100.0,29.999999999999993,29.999999999999993,18.406098406098405,1.593901593901597,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
7,86.86497494809537,76.46251633097442,002722,物产金轮,bottom_area,2022-04-28,12.04,2022-04-27,11.69,2.9940119760479016,5.474764756201887,27.61609907120743,False,-1.7143,0.6381,1,1,1,100.0,44.886363636363626,44.886363636363626,17.0059880239521,2.9940119760479016,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
8,86.62338931077254,75.19680787885522,688317,之江生物,bottom_area,2022-04-28,30.68,2022-04-28,30.01,2.2325891369543425,8.297234255248245,30.91620626151012,False,-12.2426,7.0944,1,1,1,100.0,38.96296296296296,38.96296296296296,17.767410863045658,2.2325891369543425,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-12.24%; 状态bottom_area; 底部未确认
9,85.57541420959679,74.11013966190245,603230,内蒙新华,bottom_area,2022-04-28,10.2,2022-04-27,9.99,2.102102102102093,6.406406406406412,31.43445435827042,False,-3.4091,3.512,1,1,1,100.0,31.521142229544196,31.521142229544196,17.897897897897906,2.102102102102093,历史1/1次成功; 当前距低点2.10%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
10,83.53590126050422,72.54714285714286,002274,华昌化工,bottom_area,2022-04-28,8.16,2022-04-27,7.98,2.2556390977443574,10.651629072681699,30.48780487804878,False,-7.2727,2.9435,1,1,1,100.0,24.999999999999993,24.999999999999993,17.744360902255643,2.2556390977443574,历史1/1次成功; 当前距低点2.26%; 最新日涨幅-7.27%; 状态bottom_area; 底部未确认
11,83.3587851061587,72.51604226633565,600955,维远股份,bottom_area,2022-04-28,26.15,2022-04-28,25.55,2.348336594911929,8.414872798434436,31.354110693175706,False,-7.4664,4.7245,1,1,1,100.0,25.969084423305596,25.969084423305596,17.651663405088073,2.348336594911929,历史1/1次成功; 当前距低点2.35%; 最新日涨幅-7.47%; 状态bottom_area; 底部未确认
