rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.61156496790271,80.59828091564275,001332,锡装股份,bottom_area,2023-05-19,44.23,2023-05-19,43.7,1.2128146453089108,1.6704805491990775,30.213989140849563,False,-0.3829,1.3655,2,2,2,100.0,28.620958639500337,31.086142322097377,13.78718535469109,1.2128146453089108,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
2,88.363879623254,79.70375959079284,000629,钒钛股份,bottom_area,2023-05-19,4.16,2023-04-25,4.08,1.960784313725492,9.803921568627459,31.08108108108108,False,0.241,0.3861,1,1,1,100.0,27.173913043478265,27.173913043478265,13.039215686274508,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
3,87.04965255811332,76.1306134969325,688077,大地熊,bottom_area,2023-05-19,26.16,2023-05-19,26.08,0.3067484662576758,2.3006134969325207,32.25974025974027,False,-0.5701,1.0105,1,1,1,100.0,53.68518518518518,53.68518518518518,14.693251533742323,0.3067484662576758,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
4,85.71244505187151,78.09761023908597,688289,圣湘生物,bottom_area,2023-05-19,18.43,2023-04-26,17.98,2.5027808676306966,12.45828698553948,27.058823529411757,False,0.6554,0.5868,1,1,1,100.0,25.182530200451346,25.182530200451346,12.497219132369302,2.5027808676306966,历史1/1次成功; 当前距低点2.50%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
5,85.5893295701098,80.2197253149745,002245,蔚蓝锂芯,bottom_area,2023-05-19,11.13,2023-04-26,10.7,4.018691588785061,8.317757009345799,29.512516469038214,False,0.2703,1.7359,3,3,3,100.0,21.840549125830286,25.653923541247494,10.981308411214938,4.018691588785061,历史3/3次成功; 当前距低点4.02%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
6,84.82476057873556,77.32921080945226,002041,登海种业,bottom_area,2023-05-19,15.8,2023-05-19,15.41,2.530824140168725,2.8552887735236827,27.311320754716977,False,1.5424,0.5925,1,1,1,100.0,21.395106715252467,21.395106715252467,12.469175859831275,2.530824140168725,历史1/1次成功; 当前距低点2.53%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
7,84.58061015719156,75.20616452072795,600160,巨化股份,bottom_area,2023-05-19,13.57,2023-05-19,13.41,1.1931394481730064,2.386278896346013,29.606299212598426,False,-0.0736,0.4372,1,1,1,100.0,16.05657237936772,16.05657237936772,13.806860551826993,1.1931394481730064,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
8,83.82642599945505,73.1015881404711,300661,圣邦股份,bottom_area,2023-05-19,117.68,2023-05-19,117.5,0.15319148936170793,2.893617021276601,31.414896100863878,False,-1.8024,0.9086,1,1,1,100.0,31.832606108687024,31.832606108687024,14.84680851063829,0.15319148936170793,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
9,83.0208923903222,76.10142860691266,001201,东瑞股份,bottom_area,2023-05-19,24.02,2023-05-19,23.36,2.825342465753425,2.868150684931514,31.25367863449087,False,1.3502,1.0529,1,1,1,100.0,18.4043517679057,18.4043517679057,12.174657534246574,2.825342465753425,历史1/1次成功; 当前距低点2.83%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
10,82.74171959156733,76.74701442672549,300653,正海生物,bottom_area,2023-05-19,35.29,2023-05-18,34.11,3.459396071533274,3.723248314277347,29.129441097028884,False,2.2899,1.4546,1,1,1,100.0,29.647513278609367,29.647513278609367,11.540603928466725,3.459396071533274,历史1/1次成功; 当前距低点3.46%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
11,82.48453528112715,73.60429065743948,300528,幸福蓝海,bottom_area,2023-05-19,8.79,2023-05-19,8.67,1.38408304498269,4.844290657439446,28.583196046128506,False,-3.9344,3.8813,1,1,1,100.0,20.0,20.0,13.61591695501731,1.38408304498269,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
12,82.05205320560908,75.9287656529517,600199,金种子酒,bottom_area,2023-05-19,22.63,2023-05-17,21.9,3.3333333333333353,4.337899543379009,30.43202033036849,False,0.7569,1.566,1,1,1,100.0,23.70304114490161,23.70304114490161,11.666666666666664,3.3333333333333353,历史1/1次成功; 当前距低点3.33%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
13,81.50906313130905,76.62005515745369,688075,安旭生物,bottom_area,2023-05-19,67.35,2023-05-10,64.65,4.17633410672852,5.939675174013904,30.37906525953047,False,0.763,2.5868,4,5,4,80.0,31.086542584917854,40.134529147982065,10.82366589327148,4.17633410672852,历史4/5次成功; 当前距低点4.18%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
14,79.88148308738062,72.41141110731418,300364,中文在线,bottom_area,2023-05-19,18.82,2023-05-18,18.41,2.2270505160239007,10.320478001086359,27.803921568627448,True,-5.5221,11.4069,3,4,3,75.0,18.892937009939157,20.7773851590106,12.772949483976099,2.2270505160239007,历史3/4次成功; 当前距低点2.23%; 最新日涨幅-5.52%; 状态bottom_area; 底部已确认
15,77.13169312071214,71.27375722966542,002425,凯撒文化,bottom_area,2023-05-19,5.39,2023-05-17,5.22,3.256704980842911,8.620689655172416,28.296703296703303,True,-3.405,5.0036,1,1,1,100.0,21.231422505307858,21.231422505307858,11.743295019157088,3.256704980842911,历史1/1次成功; 当前距低点3.26%; 最新日涨幅-3.40%; 状态bottom_area; 底部已确认
16,75.94591835378588,71.81464572345793,600114,东睦股份,bottom_area,2023-05-19,7.44,2023-05-10,7.12,4.494382022471914,5.056179775280904,27.04918032786885,False,0.5405,0.8514,1,1,1,100.0,15.816326530612232,15.816326530612232,10.505617977528086,4.494382022471914,历史1/1次成功; 当前距低点4.49%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
17,74.82680955584138,68.36892655753786,601369,陕鼓动力,bottom_area,2023-05-19,9.29,2023-05-10,9.05,2.651933701657441,4.972375690607726,32.31114435302916,False,-0.5353,0.4083,2,3,2,66.66666666666666,36.068111455108365,55.572755417956664,12.348066298342559,2.651933701657441,历史2/3次成功; 当前距低点2.65%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
18,74.72157300498398,71.26350611531741,002383,合众思壮,bottom_area,2023-05-19,6.78,2023-05-15,6.46,4.953560371517033,5.572755417956661,29.166666666666664,False,0.2959,0.9585,1,1,1,100.0,18.48184818481848,18.48184818481848,10.046439628482966,4.953560371517033,历史1/1次成功; 当前距低点4.95%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
19,71.14271675083792,67.76008867936729,601858,中国科传,bottom_area,2023-05-19,37.81,2023-05-18,36.05,4.882108183079072,9.015256588072122,27.02429149797571,False,-1.2278,3.1315,1,1,1,100.0,21.243523316062173,21.243523316062173,10.117891816920928,4.882108183079072,历史1/1次成功; 当前距低点4.88%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
20,70.37345786557339,66.44302537840039,002370,亚太药业,bottom_area,2023-05-19,4.26,2023-04-25,4.08,4.411764705882345,9.558823529411757,32.56198347107438,True,0.4717,0.9656,2,3,2,66.66666666666666,15.619259360997129,15.633423180592995,10.588235294117654,4.411764705882345,历史2/3次成功; 当前距低点4.41%; 最新日涨幅0.47%; 状态bottom_area; 底部已确认
21,64.86560063297433,58.010274597114645,002758,浙农股份,bottom_area,2023-05-19,12.16,2023-05-19,11.98,1.502504173622702,2.587646076794647,28.902077151335316,False,-1.0578,1.1956,1,2,1,50.0,19.064430714916153,19.064430714916153,13.497495826377298,1.502504173622702,历史1/2次成功; 当前距低点1.50%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
22,64.70746190767971,59.775875284848425,300609,汇纳科技,bottom_area,2023-05-19,19.43,2023-05-17,18.82,3.241232731137085,5.685441020191288,27.615384615384613,False,-1.9677,4.9473,1,2,1,50.0,49.87035436473638,49.87035436473638,11.758767268862915,3.241232731137085,历史1/2次成功; 当前距低点3.24%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
23,63.29836896453733,58.65957770665836,002405,四维图新,bottom_area,2023-05-19,11.52,2023-05-16,11.14,3.411131059245951,4.039497307001789,27.75616083009079,False,1.3193,1.1816,1,2,1,50.0,23.478260869565215,23.478260869565215,11.588868940754049,3.411131059245951,历史1/2次成功; 当前距低点3.41%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
24,61.50547448498214,57.73898849700543,000518,四环生物,bottom_area,2023-05-19,2.79,2023-04-25,2.68,4.104477611940293,9.328358208955223,27.956989247311824,True,0.0,0.3404,1,2,1,50.0,17.834394904458602,17.834394904458602,10.895522388059705,4.104477611940293,历史1/2次成功; 当前距低点4.10%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
25,60.14386763156311,52.662996501862345,600248,陕建股份,bottom_area,2023-05-19,5.41,2023-05-19,5.39,0.37105751391466535,3.153988868274581,30.271668822768444,False,-2.6978,6.0326,1,2,1,50.0,16.28498727735369,16.28498727735369,14.628942486085334,0.37105751391466535,历史1/2次成功; 当前距低点0.37%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
26,59.24566877013376,54.8243502051984,002068,黑猫股份,bottom_area,2023-05-19,9.61,2023-05-10,9.3,3.3333333333333193,7.95698924731181,28.953399541634827,True,-1.2333,1.1765,1,2,1,50.0,15.184678522571824,15.184678522571824,11.66666666666668,3.3333333333333193,历史1/2次成功; 当前距低点3.33%; 最新日涨幅-1.23%; 状态bottom_area; 底部已确认
27,55.870415881771414,51.23109694918803,688298,东方生物,bottom_area,2023-05-19,53.53,2023-05-19,52.05,2.843419788664753,3.2853025936599445,32.99433573635429,False,2.0008,0.9816,1,6,1,16.666666666666664,15.470039788586028,15.470039788586028,12.156580211335246,2.843419788664753,历史1/6次成功; 当前距低点2.84%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
