rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.25745516973383,76.4917913212387,600203,福日电子,bottom_area,2025-03-28,9.29,2025-03-28,9.25,0.43243243243242324,3.135135135135126,30.711610486891384,False,-2.5184,4.904,3,3,3,100.0,20.149125092390385,24.045801526717554,14.567567567567577,0.43243243243242324,历史3/3次成功; 当前距低点0.43%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
2,86.79374264380365,75.79709339596761,603315,福鞍股份,bottom_area,2025-03-28,13.11,2025-03-28,13.08,0.22935779816513271,2.6758409785932695,32.472896231285496,False,-0.757,4.916,2,2,2,100.0,30.59155470851666,41.68490153172865,14.770642201834866,0.22935779816513271,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
3,86.23516156808306,75.19559991242018,301366,一博科技,bottom_area,2025-03-28,53.94,2025-03-28,53.86,0.14853323431117396,3.137764574823613,28.662251655629138,False,-1.8559,4.9628,2,2,2,100.0,26.366966057256242,36.479591836734706,14.851466765688826,0.14853323431117396,历史2/2次成功; 当前距低点0.15%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
4,85.81248001782815,76.42124392625944,002406,远东传动,bottom_area,2025-03-28,7.93,2025-03-28,7.83,1.2771392081736863,5.7471264367816,28.033088235294123,False,0.507,16.5508,3,5,3,60.0,37.81248021986791,67.88321167883211,13.722860791826314,1.2771392081736863,历史3/5次成功; 当前距低点1.28%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
5,83.63095502188476,74.48969846762236,300720,海川智能,bottom_area,2025-03-28,20.49,2025-03-28,20.23,1.2852199703410676,2.6198714780029717,31.423728813559322,False,-0.2434,2.8948,3,5,3,60.0,57.75229601757511,75.69193742478939,13.714780029658932,1.2852199703410676,历史3/5次成功; 当前距低点1.29%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
6,82.34563742325412,74.10438900666264,300509,新美星,bottom_area,2025-03-28,7.76,2025-03-25,7.62,1.8372703412073448,6.167979002624668,29.769585253456217,False,-1.6477,2.0934,1,1,1,100.0,18.028846153846153,18.028846153846153,13.162729658792655,1.8372703412073448,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
7,79.53026350999954,69.31605128205129,002730,电光科技,bottom_area,2025-03-28,16.27,2025-03-28,16.25,0.12307692307692046,2.7692307692307647,27.45535714285714,False,-2.047,2.947,2,3,2,66.66666666666666,66.31186981320792,113.1578947368421,14.87692307692308,0.12307692307692046,历史2/3次成功; 当前距低点0.12%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
8,76.57560941489974,66.75694532485859,002123,梦网科技,bottom_area,2025-03-28,14.73,2025-03-28,14.71,0.13596193065941245,2.243371855880342,28.13873961895456,False,-0.5402,3.9702,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,14.864038069340587,0.13596193065941245,历史2/3次成功; 当前距低点0.14%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
9,75.68454469744275,66.19579728479287,603028,赛福天,bottom_area,2025-03-28,6.46,2025-03-28,6.44,0.3105590062111735,3.881987577639751,29.540481400437635,False,-2.2693,9.5204,2,3,2,66.66666666666666,35.522608345632634,43.67816091954023,14.689440993788827,0.3105590062111735,历史2/3次成功; 当前距低点0.31%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
10,75.36539632708477,68.27054807946374,688031,星环科技,bottom_area,2025-03-28,50.86,2025-03-27,49.77,2.1900743419730686,7.353827606992157,28.16108545034642,True,-2.3425,3.0871,2,3,2,66.66666666666666,20.684144690836938,22.70402945387605,12.80992565802693,2.1900743419730686,历史2/3次成功; 当前距低点2.19%; 最新日涨幅-2.34%; 状态bottom_area; 底部已确认
11,74.22414724688227,64.54273673641937,002093,国脉科技,bottom_area,2025-03-28,10.81,2025-03-28,10.81,0.0,3.6077705827936986,31.926952141057935,False,-0.3687,7.217,2,3,2,66.66666666666666,35.086398224476845,52.409638554216855,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
12,73.81238371887285,66.50679824141976,002725,跃岭股份,bottom_area,2025-03-28,11.78,2025-03-24,11.56,1.903114186851201,7.698961937716252,27.795128044971896,False,-0.4227,2.5919,2,3,2,66.66666666666666,16.877590971902357,18.562874251497018,13.096885813148798,1.903114186851201,历史2/3次成功; 当前距低点1.90%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
13,73.33713717156292,63.99603833455703,300713,英可瑞,bottom_area,2025-03-28,15.98,2025-03-28,15.95,0.188087774294678,4.576802507836994,31.545064377682408,False,-2.8571,7.6844,3,5,3,60.0,19.972464838434856,23.73271889400922,14.81191222570532,0.188087774294678,历史3/5次成功; 当前距低点0.19%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
14,72.57583480480545,63.10942156939605,002767,先锋电子,bottom_area,2025-03-28,17.38,2025-03-28,17.38,0.0,0.0,28.27073875361123,False,-9.9948,2.3554,3,5,3,60.0,35.37323424406471,52.04379562043795,15.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
15,72.20188446266673,62.78424735884063,002173,创新医疗,bottom_area,2025-03-28,9.14,2025-03-28,9.14,0.0,2.735229759299781,31.22648607975921,False,-2.8693,7.0926,3,5,3,60.0,23.40993203677754,27.109266943291825,15.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
16,71.20358938971657,62.251822759823796,688023,安恒信息,bottom_area,2025-03-28,52.01,2025-03-28,51.86,0.2892402622445017,2.8731199382954147,27.851975514746798,False,-1.4962,1.522,2,4,2,50.0,33.50156213839389,39.261744966442954,14.710759737755497,0.2892402622445017,历史2/4次成功; 当前距低点0.29%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
17,70.5197136860484,61.68728026361824,300753,爱朋医疗,bottom_area,2025-03-28,22.07,2025-03-28,22.0,0.3181818181818195,5.136363636363632,28.963513077171456,False,-3.5402,10.7684,2,3,2,66.66666666666666,21.59176420648454,28.044496487119456,14.68181818181818,0.3181818181818195,历史2/3次成功; 当前距低点0.32%; 最新日涨幅-3.54%; 状态bottom_area; 底部未确认
